KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Lech Poznań,17,42,13,3,1,40,7,33,"2,47","2,35","0,41"
Lechia Gdańsk,17,40,12,4,1,30,11,19,"2,35","1,76","0,65"
Pogoń Szczecin,17,36,11,3,3,41,19,22,"2,12","2,41","1,12"
Raków Częstochowa,17,36,10,6,1,35,13,22,"2,12","2,06","0,76"
Wisła Płock,17,35,11,2,4,27,14,13,"2,06","1,59","0,82"
Legia Warszawa,17,30,10,0,7,29,21,8,"1,76","1,71","1,24"
Radomiak Radom,17,28,7,7,3,26,22,4,"1,65","1,53","1,29"
Cracovia,17,26,7,5,5,24,19,5,"1,53","1,41","1,12"
Górnik Zabrze,17,26,7,5,5,26,21,5,"1,53","1,53","1,24"
Piast Gliwice,17,25,7,4,6,23,22,1,"1,47","1,35","1,29"
Stal Mielec,17,25,7,4,6,21,21,0,"1,47","1,24","1,24"
Zagłębie Lubin,17,24,7,3,7,25,28,-3,"1,41","1,47","1,65"
Jagiellonia,17,23,5,8,4,23,20,3,"1,35","1,35","1,18"
Bruk-Bet,17,20,5,5,7,19,26,-7,"1,18","1,12","1,53"
Wisła Kraków,17,20,5,5,7,21,21,0,"1,18","1,24","1,24"
Górnik Łęczna,17,18,4,6,7,15,27,-12,"1,06","0,88","1,59"
Warta Poznań,17,18,4,6,7,16,22,-6,"1,06","0,94","1,29"
Śląsk Wrocław,17,17,3,8,6,18,25,-7,"1,00","1,06","1,47"
