KLUB,DLA xG,G DLA,PRZECIW xG,G PRZECIW,BILANS xG,BILANS G,pkt,xPKT,BILANS xPKT
Bruk-Bet,"44,40",35,"49,98",54,"-5,58",-19,32,"42,59","-10,59"
Cracovia,"35,10",38,"35,85",42,"-0,76",-4,46,"46,15","-0,15"
Górnik Ł,"26,43",27,"49,81",58,"-23,38",-31,28,"30,83","-2,83"
Górnik Z,"46,03",54,"40,90",53,"5,13",1,47,"49,47","-2,47"
Jagiellonia,"35,08",39,"44,25",48,"-9,17",-9,40,"40,90","-0,90"
Lech,"60,40",67,"24,42",24,"35,97",43,74,"69,87","4,13"
Lechia,"44,47",49,"45,39",39,"-0,91",10,57,"46,30","10,70"
Legia,"41,18",42,"39,94",47,"1,24",-5,43,"48,78","-5,78"
Piast,"34,77",42,"38,50",36,"-3,73",6,54,"43,28","10,72"
Pogoń,"52,27",57,"26,89",28,"25,37",29,65,"62,50","2,50"
Radomiak,"43,30",40,"39,14",40,"4,17",0,48,"49,18","-1,18"
Raków,"51,58",58,"33,93",30,"17,65",28,69,"57,74","11,26"
Stal,"34,37",39,"49,43",48,"-15,07",-9,37,"37,78","-0,78"
Śląsk,"36,40",41,"40,10",48,"-3,70",-7,35,"42,52","-7,52"
Warta,"34,34",34,"34,55",35,"-0,21",-1,42,"47,05","-5,05"
Wisła K,"37,86",36,"46,46",51,"-8,60",-15,31,"42,25","-11,25"
Wisła P,"34,65",46,"43,24",48,"-8,59",-2,48,"39,81","8,19"
Zagłębie,"38,94",41,"48,78",56,"-9,84",-15,38,"41,05","-3,05"
