KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM
Cracovia,0,3,1,-2,0,5,-3,2,6
Górnik Zabrze,-3,-1,0,0,5,3,0,-2,2
Jagiellonia,1,0,1,1,-2,0,0,-2,-1
Korona Kielce,-1,2,-3,-3,-5,-7,4,4,-9
Lech Poznań,-2,6,5,-1,3,6,4,1,22
Lechia Gdańsk,-4,-2,-9,-2,-1,-3,-4,1,-24
Legia Warszawa,-3,6,8,1,3,3,2,0,20
Miedź Legnica,-1,-1,-5,2,-2,-6,-4,-5,-22
Piast Gliwice,5,-3,2,0,3,4,-2,-4,5
Pogoń Szczecin,4,2,4,0,-6,3,2,2,11
Radomiak Radom,2,2,-4,-2,-2,-2,-1,0,-7
Raków Częstochowa,7,0,5,0,11,1,9,6,39
Stal Mielec,-2,2,1,2,-3,2,-5,-1,-4
Śląsk Wrocław,-1,-4,-3,2,1,-2,-3,-3,-13
Warta Poznań,-1,-2,1,0,-3,3,2,2,2
Widzew Łódź,-2,-4,-9,-1,3,0,1,3,-9
Wisła Płock,1,0,1,1,-2,-9,0,-1,-9
Zagłębie Lubin,0,-6,4,2,-3,-1,-2,-3,-9
