ZAWODNIK,KLUB,POZYCJA,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Dominik Furman,Wisła Płock,pomocnik,4908,66,06.06.2020,Jagiellonia,155,1,21.05.2023,Raków
Tom Hateley,Piast Gliwice,pomocnik,3831,60,14.06.2020,Jagiellonia,1989,35,23.04.2022,Jagiellonia
Bartłomiej Wdowik,Jagiellonia Białystok,pomocnik,3162,54,20.03.2021,Lech,296,4,29.04.2023,Warta
Daniel Łukasik,Radomiak Radom,pomocnik,3055,45,16.08.2019,Zagłębie S,356,10,15.05.2022,Wisła K
Bartosz Slisz,Legia Warszawa,pomocnik,2936,34,06.05.2022,Górnik Z,22,0,27.05.2023,Śląsk
Marcin Budziński,Cracovia,pomocnik,2750,44,13.03.2017,Zagłębie L,557,13,04.10.2019,Wisła P
Conrado,Lechia Gdańsk,pomocnik,2742,43,16.10.2021,Bruk-Bet,619,8,24.10.2022,Zagłębie L
Michał Rzuchowski,Śląsk Wrocław,pomocnik,2681,41,11.09.2020,Jagiellonia,116,1,21.05.2023,Miedź
Adam Deja,Korona Kielce,pomocnik,2486,37,02.08.2019,Korona,82,3,06.02.2023,Cracovia
Ben Lederman,Raków Częstochowa,pomocnik,2484,40,04.12.2021,Lechia,74,1,21.05.2023,Wisła P
Maciej Wolski,Stal Mielec,pomocnik,2446,39,15.12.2019,Piast,2446,39,15.12.2019,Piast
Jean Mvondo,Górnik Zabrze,pomocnik,2259,43,-,-,2259,43,-,-
Michał Kaput,Piast Gliwice,pomocnik,2161,45,-,-,97,5,24.10.2022,Radomiak
Niilo Maenpaa,Warta Poznań,pomocnik,2153,43,-,-,625,11,04.03.2023,Widzew
Maciej Domański,Stal Mielec,pomocnik,2034,29,13.08.2022,Górnik Z,334,4,30.04.2023,Korona
Jakub Kałuziński,Lechia Gdańsk,pomocnik,1944,34,05.02.2022,Śląsk,441,5,22.04.2023,Cracovia
Adriel Ba Loua,Lech Poznań,pomocnik,1924,43,17.09.2021,Wisła K,1120,28,13.03.2022,Wisła K
Leandro Rossi,Radomiak Radom,pomocnik,1833,30,14.12.2021,Piast,416,11,06.08.2022,Jagiellonia
Thabo Cele,Radomiak Radom,pomocnik,1771,33,-,-,1013,18,25.07.2022,Stal
Arkadiusz Woźniak,Zagłębie Lubin,pomocnik,1760,42,12.05.2017,Piast,741,25,29.10.2017,Jagiellonia
Marek Hanousek,Widzew Łódź,pomocnik,1647,19,16.10.2022,Zagłębie L,1647,19,16.10.2022,Zagłębie L
Filip Lesniak,Wisła Płock,pomocnik,1637,29,21.05.2022,Stal,835,13,31.07.2022,Lech
Kacper Sezonienko,Lechia Gdańsk,napastnik,1626,44,24.09.2021,Górnik Ł,49,0,27.05.2023,Piast
Mikołaj Lebedyński,Stal Mielec,napastnik,1616,39,-,-,353,14,14.10.2022,Korona
Mateusz Cholewiak,Górnik Zabrze,pomocnik,1609,36,15.12.2021,Raków,913,23,06.05.2022,Legia
Szymon Czyż,Raków Częstochowa,pomocnik,1597,31,-,-,256,5,28.08.2022,Śląsk
Norbert Wojtuszek,Górnik Zabrze,pomocnik,1587,40,-,-,601,11,05.11.2022,Pogoń
Mateusz Kupczak,Warta Poznań,pomocnik,1557,21,07.05.2022,Wisła P,1201,15,28.08.2022,Cracovia
Bartosz Kwiecień,Korona Kielce,pomocnik,1543,31,03.11.2019,ŁKS,1543,31,03.11.2019,ŁKS
Fabian Hiszpański,Stal Mielec,pomocnik,1506,20,07.10.2022,Pogoń,1506,20,07.10.2022,Pogoń
Roberto Alves,Radomiak Radom,pomocnik,1482,18,24.10.2022,Piast,502,5,24.04.2023,Lech
Piotr Wlazło,Stal Mielec,pomocnik,1482,17,04.11.2022,Zagłębie L,1482,17,04.11.2022,Zagłębie L
Adrian Danek,Korona Kielce,pomocnik,1475,24,22.04.2018,Arka,5,1,12.05.2023,Piast
Rafał Kurzawa,Pogoń Szczecin,pomocnik,1462,28,31.10.2021,Legia,1112,20,04.03.2022,Radomiak
Łukasz Zjawiński,Widzew Łódź,napastnik,1459,39,28.11.2020,Jagiellonia,1459,39,28.11.2020,Jagiellonia
Bassekou Diabate,Lechia Gdańsk,napastnik,1425,41,-,-,98,1,06.05.2023,Zagłębie L
Filip Starzyński,Zagłębie Lubin,pomocnik,1353,22,01.10.2022,Górnik Z,624,12,27.02.2023,Miedź
Tomas Prikryl,Jagiellonia Białystok,pomocnik,1289,19,02.10.2022,Korona,373,4,21.04.2023,Wisła P
