,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG
CRA,-,3,0,6,1,4,0,0,6,1,4 *,2,3,0,0,0,6,3
GÓR,3,-,1,0,4,0,1,0,1,2,0,2,9,4,1,5,1,3
JAG,0,1,-,2,7,1,2,0,0,6,0,1,0,0,2,0,1,0
KOR,6,0,2,-,3,4,1,1,1,0,2 *,5 *,2 *,0,2 *,2,6,0
LPO,1,4,7,3,-,13,0,1,0,0,0,3,0,5,8,2,5,1
LGD,4,0,1,4,13,-,6,2,4,2,3,8 *,0,0,1,0,8,2
LEG,0,1,2,1,0,6,-,0,5,1,5,2,4,1,9,0,13,8
MIE,0,0,0,1,1,2,0,-,3,4 *,0,2 *,0,3,0,2 *,4,4 *
PIA,6,1,0,1,0,4,5,3,-,0,2,5,2,1,0,3,5,2
POG,1,2,6,0,0,2,1,4 *,0,-,3,3,8,2,2,0,1,4
RAD,4 *,0,0,2 *,0,3,5,0,2,3,-,0,1,2,4 *,4 *,0,4 *
RCZ,2,2,1,5 *,3,8 *,2,2 *,5,3,0,-,0,2,0,1,3,0
STM,3,9,0,2 *,0,0,4,0,2,8,1,0,-,0,1,4,0,5
ŚLĄ,0,4,0,0,5,0,1,3,1,2,2,2,0,-,3,1,4,1
WAR,0,1,2,2 *,8,1,9,0,0,2,4 *,0,1,3,-,5,8 *,0
WID,0,5,0,2,2,0,0,2 *,3,0,4 *,1,4,1,5,-,0,3
WPŁ,6,1,1,6,5,8,13,4,5,1,0,3,0,4,8 *,0,-,7
ZAG,3,3,0,0,1,2,8,4 *,2,4,4 *,0,5,1,0,3,7,-
