,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG
CRA,-,0,1,1,4,0,1,4 *,3,5,0,1,0,2,3,4,0,1
GÓR,2,-,3,1,0,5,3,2,10,0,1,1,0,0,0,0,0,0
JAG,4,0,-,1,3,0,5,1,1,0,4 *,3,1,6,0,3,0,2
KOR,0,6,0,-,6,0,7,0,5,2,0,0,2 *,1,2 *,0,0,4
LPO,0,1,0,0,-,0,3,0,1,2,1,0,2,2,0,0,0,2
LGD,1,1,6,2,2,-,0,0,3,6,5,3,1,2,2,1,0,1
LEG,2,0,0,0,5,1,-,1,0,4,0,0,0,0,1,1,0,0
MIE,2,1,3,5 *,2,1,4 *,-,4 *,3,2 *,2 *,2 *,1,2 *,2 *,0,3
PIA,0,0,2,0,9,0,2,0,-,10,0,7,0,0,2,0,0,0
POG,0,3,1,1,5,0,0,0,2,-,0,5,0,3,0,1,0,0
RAD,3,3,1,2 *,2,0,2,2 *,1,6 *,-,4 *,0,0,0,0,1,1
RCZ,0,0,0,1,1,0,1,0,0,0,1,-,1,0,1,0,0,1
STM,1,1,5,0,1,6,2,1,5,1,3,9,-,1,0,0,3,1
ŚLĄ,3,1,4,2,0,1,3,0,5,0,4,5,3,-,4,2,0,3
WAR,1,2,1,0,6,0,0,1,1,8,1,7,2,0,-,0,2,2
WID,1,6,1,1,7,3,20,0,1,3,2,2,1,0,1,-,1,1
WPŁ,1,2,2,1,1,1,1,1,1,2,3,8,2,5,0,5,-,0
ZAG,0,1,4,2,0,0,6,0,1,3,0,2,0,0,3,0,1,-
