DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR,ŚREDNIA,"6,11","6,06","6,17","5,61","5,78","5,50","5,78","5,83","5,33","5,33","5,11","5,44","5,28","5,44","5,33","5,67","5,56","5,67","5,67","5,94","5,44","5,50","5,11","5,61","5,17","5,28","5,22","5,44","5,50","5,61","5,56","6,00","5,50","6,06",,
CRA,5,5,5,5,5,4,3,3,3,4,4,3,5,4,3,3,2,4,4,4,3,4,3,4,3,4,4,5,5,5,3,5,4,4,"3,94",CRA
GÓR,6,4,5,5,4,7,7,5,5,4,4,3,4,4,4,5,4,6,4,4,3,5,5,5,4,3,5,5,3,4,4,4,4,6,"4,53",GÓR
JAG,5,4,6,3,4,4,4,4,2,2,2,3,3,2,2,5,3,4,4,6,6,4,2,6,5,5,4,3,2,4,3,4,3,4,"3,74",JAG
KOR,8,8,8,7,8,8,8,8,9,8,6,7,6,8,8,8,8,6,6,6,5,5,5,4,4,4,4,4,5,4,5,6,5,5,"6,29",KOR
LPO,3,6,5,4,4,4,2,4,4,4,2,4,4,4,5,2,4,5,4,7,4,5,2,6,5,4,4,3,5,4,6,5,4,5,"4,21",LPO
LGD,5,5,5,5,6,3,5,6,6,5,3,4,5,5,5,6,5,5,6,5,6,6,6,5,5,4,2,3,3,6,5,5,6,6,"4,94",LGD
LEG,6,7,6,4,4,4,6,6,5,7,6,7,7,7,7,7,7,7,7,7,5,7,7,7,6,6,5,6,7,6,6,6,6,7,"6,21",LEG
MIE,5,4,3,4,4,3,3,3,3,3,4,3,2,3,1,3,3,3,5,4,3,3,1,1,3,5,4,5,4,4,4,6,5,4,"3,47",MIE
PIA,6,6,6,7,7,7,7,8,6,6,5,5,5,6,7,8,9,8,8,9,9,8,9,9,8,7,6,8,8,8,8,8,7,8,"7,26",PIA
POG,7,6,6,5,6,5,5,5,5,5,6,6,6,6,8,8,6,5,6,6,6,5,4,6,6,4,5,4,4,4,4,4,4,6,"5,41",POG
RAD,5,6,6,4,4,4,5,4,4,4,3,5,5,5,4,5,5,3,3,3,4,4,3,3,2,4,4,3,3,4,4,4,4,4,"4,03",RAD
RCZ,2,3,3,5,6,3,4,4,3,3,4,2,4,3,2,2,3,2,1,2,2,2,1,2,1,3,2,2,2,4,2,4,4,6,"2,88",RCZ
STM,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,9,8,8,8,10,8,8,10,11,11,10,8,10,9,11,9,"9,47",STM
ŚLĄ,6,5,6,5,4,5,5,6,6,4,4,4,3,4,3,4,3,5,5,6,4,5,5,7,5,7,6,5,7,7,5,6,5,5,"5,06",ŚLĄ
WAR,7,7,8,8,7,6,7,7,6,6,7,9,6,6,6,7,6,7,6,8,8,6,6,6,6,5,8,7,7,7,8,8,6,7,"6,82",WAR
WID,7,7,7,5,7,7,8,6,6,6,6,7,6,6,6,7,6,6,7,6,6,6,7,5,7,6,4,6,7,6,6,7,5,6,"6,26",WID
WPŁ,9,8,8,7,7,8,8,8,7,7,8,8,8,8,7,5,8,7,8,7,8,8,8,8,8,8,9,9,9,8,9,9,8,9,"7,91",WPŁ
ZAG,8,8,8,9,8,8,8,9,7,8,8,8,6,7,8,7,8,9,9,9,8,8,8,9,7,6,7,9,8,8,8,8,8,8,"7,94",ZAG
