SĘDZIA,GŁ.,VAR,R,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,RAD,RCZ,STM,ŚLĄ,WAR,WID,WPŁ,ZAG
Karol Arys,5,0,5,1/0 (1),1/0 (1),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),2/0 (2),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),1/0 (1),1/0 (1),1/0 (1),0/0 (0)
Bartosz Frankowski,23,27,50,2/4 (6),5/2 (7),2/6 (8),5/0 (5),5/5 (10),4/5 (9),1/3 (4),0/3 (3),2/3 (5),3/4 (7),3/2 (5),0/2 (2),3/0 (3),5/1 (6),1/1 (2),0/4 (4),2/4 (6),3/5 (8)
Paweł Gil,0,0,0,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0)
Patryk Gryckiewicz,6,0,6,0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),1/0 (1),0/0 (0),3/0 (3),1/0 (1),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),2/0 (2),0/0 (0),1/0 (1),2/0 (2)
Krzysztof Jakubik,22,18,40,2/1 (3),3/4 (7),2/1 (3),1/3 (4),0/2 (2),3/4 (7),2/0 (2),3/2 (5),4/2 (6),0/3 (3),3/1 (4),2/1 (3),2/5 (7),2/3 (5),5/1 (6),3/0 (3),2/1 (3),5/2 (7)
Sebastian Jarzębak,0,2,2,0/1 (1),0/0 (0),0/1 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/1 (1),0/0 (0),0/0 (0),0/0 (0),0/1 (1),0/0 (0),0/0 (0),0/0 (0)
Grzegorz Kawałko,1,0,1,0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0)
Marcin Kochanek,3,0,3,1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),2/0 (2),0/0 (0),1/0 (1),1/0 (1),0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),0/0 (0),0/0 (0)
Damian Kos,18,10,28,2/0 (2),1/2 (3),2/1 (3),1/1 (2),3/0 (3),0/0 (0),5/0 (5),5/1 (6),2/3 (5),2/2 (4),2/3 (5),1/0 (1),4/0 (4),3/1 (4),1/2 (3),2/2 (4),0/2 (2),0/0 (0)
Sebastian Krasny,9,0,9,0/0 (0),0/0 (0),0/0 (0),1/0 (1),0/0 (0),0/0 (0),0/0 (0),4/0 (4),2/0 (2),0/0 (0),3/0 (3),0/0 (0),0/0 (0),0/0 (0),3/0 (3),2/0 (2),1/0 (1),2/0 (2)
Łukasz Kuźma,16,0,16,3/0 (3),2/0 (2),0/0 (0),1/0 (1),1/0 (1),2/0 (2),1/0 (1),3/0 (3),0/0 (0),1/0 (1),2/0 (2),2/0 (2),3/0 (3),2/0 (2),3/0 (3),2/0 (2),1/0 (1),3/0 (3)
Tomasz Kwiatkowski,20,20,40,4/3 (7),4/2 (6),1/0 (1),5/1 (6),3/7 (10),2/3 (5),0/0 (0),0/3 (3),2/1 (3),4/2 (6),3/1 (4),3/2 (5),3/1 (4),0/0 (0),0/4 (4),2/3 (5),3/5 (8),1/2 (3)
Piotr Lasyk,25,28,53,5/2 (7),0/0 (0),3/3 (6),1/5 (6),4/2 (6),2/2 (4),9/5 (14),1/4 (5),0/4 (4),4/1 (5),2/4 (6),1/4 (5),3/4 (7),6/4 (10),0/0 (0),2/5 (7),5/2 (7),2/5 (7)
Paweł Malec,14,25,39,3/1 (4),1/3 (4),4/4 (8),0/1 (1),1/3 (4),3/0 (3),0/8 (8),2/3 (5),0/1 (1),1/0 (1),0/2 (2),0/5 (5),1/3 (4),0/8 (8),4/2 (6),0/0 (0),4/3 (7),4/3 (7)
Szymon Marciniak,19,29,48,1/0 (2),3/1 (4),3/0 (7),3/0 (8),2/0 (6),3/1 (5),3/0 (7),0/0 (3),3/0 (8),5/0 (5),2/1 (7),4/1 (12),2/6 (5),2/0 (6),0/0 (3),2/1 (6),0/1 (0),0/0 (2)
Jacek Małyszek,0,6,6,0/1 (0),0/1 (1),0/4 (0),0/5 (0),0/4 (0),0/2 (1),0/4 (0),0/3 (0),0/5 (0),0/0 (0),0/5 (1),0/8 (1),0/3 (6),0/4 (0),0/3 (0),0/4 (1),0/0 (1),0/2 (0)
Tomasz Musiał,14,17,31,0/1 (1),1/6 (7),2/1 (3),1/2 (3),0/0 (0),1/1 (2),2/2 (4),1/0 (1),1/3 (4),2/0 (2),3/2 (5),3/3 (6),2/3 (5),3/2 (5),0/1 (1),2/2 (4),1/2 (3),3/3 (6)
Wojciech Myć,13,7,20,2/0 (2),1/1 (2),0/1 (1),1/0 (1),0/1 (1),4/2 (6),1/1 (2),3/2 (5),1/0 (1),1/1 (2),2/1 (3),1/0 (1),1/1 (2),1/1 (2),4/1 (5),0/1 (1),1/0 (1),2/0 (2)
