ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%,KAN+2.AS,UDZIAŁ % Z 2.AS
Said Hamulic,Stal Mielec,9,3,12,25,"36,0%","48,0%",15,"60,0%"
Marc Gual,Jagiellonia,15,8,23,48,"31,3%","47,9%",23,"47,9%"
Leonardo Rocha,Radomiak Radom,6,0,6,13,"46,2%","46,2%",7,"53,8%"
Davo,Wisła Płock,9,3,12,29,"31,0%","41,4%",14,"48,3%"
Maurides,Radomiak Radom,4,4,8,21,"19,0%","38,1%",10,"47,6%"
Bartłomiej Pawłowski,Widzew Łódź,10,4,14,38,"26,3%","36,8%",15,"39,5%"
Kamil Grosicki,Pogoń Szczecin,13,8,21,57,"22,8%","36,8%",26,"45,6%"
Rafał Wolski,Wisła Płock,7,8,15,41,"17,1%","36,6%",17,"41,5%"
Jesus Imaz,Jagiellonia,14,3,17,48,"29,2%","35,4%",18,"37,5%"
Erik Exposito,Śląsk Wrocław,7,5,12,35,"20,0%","34,3%",15,"42,9%"
John Yeboah,Śląsk Wrocław,10,2,12,35,"28,6%","34,3%",16,"45,7%"
Kacper Chodyna,Zagłębie Lubin,7,5,12,35,"20,0%","34,3%",13,"37,1%"
Jakub Łukowski,Korona Kielce,12,1,13,39,"30,8%","33,3%",13,"33,3%"
Lukas Podolski,Górnik Zabrze,6,9,15,45,"13,3%","33,3%",19,"42,2%"
Adam Zrelak,Warta Poznań,8,4,12,37,"21,6%","32,4%",15,"40,5%"
Josue,Legia Warszawa,12,6,18,57,"21,1%","31,6%",30,"52,6%"
Flavio Paixao,Lechia Gdańsk,7,2,9,29,"24,1%","31,0%",11,"37,9%"
Łukasz Zwoliński,Lechia Gdańsk,9,0,9,29,"31,0%","31,0%",9,"31,0%"
Mikael Ishak,Lech Poznań,11,4,15,51,"21,6%","29,4%",18,"35,3%"
Bartosz Śpiączka,Korona/Wisła P,6,2,8,11,"18,2%","27,3%",9,"27,3%"
Rauno Sappinen,Piast/Stal,4,0,4,11,"27,3%","27,3%",5,"27,3%"
Paweł Wszołek,Legia Warszawa,7,8,15,57,"12,3%","26,3%",20,"35,1%"
Maciej Domański,Stal Mielec,4,5,9,36,"11,1%","25,0%",16,"44,4%"
Damian Kądzior,Piast Gliwice,3,6,9,37,"8,1%","24,3%",12,"32,4%"
Michał Chrapek,Piast Gliwice,4,5,9,37,"10,8%","24,3%",12,"32,4%"
Kamil Wilczek,Piast Gliwice,9,0,9,37,"24,3%","24,3%",10,"27,0%"
Kajetan Szmyt,Warta Poznań,3,6,9,37,"8,1%","24,3%",11,"29,7%"
Angelo Henriquez,Miedź Legnica,7,1,8,33,"21,2%","24,2%",10,"30,3%"
Ivi Lopez,Raków Częstochowa,9,6,15,63,"14,3%","23,8%",18,"28,6%"
Bartosz Nowak,Górnik/Raków,11,4,15,59,"16,9%","23,7%",16,"25,4%"
Michał Skóraś,Lech Poznań,9,3,12,51,"17,6%","23,5%",15,"29,4%"
Damjan Bohar,Zagłębie Lubin,3,5,8,35,"8,6%","22,9%",9,"25,7%"
Erik Janza,Górnik Zabrze,2,8,10,45,"4,4%","22,2%",19,"42,2%"
Szymon Włodarczyk,Górnik Zabrze,9,1,10,45,"20,0%","22,2%",12,"26,7%"
Daisuke Yokota,Górnik Zabrze,2,2,4,18,"11,1%","22,2%",7,"38,9%"
Michał Rakoczy,Cracovia,7,2,9,41,"17,1%","22,0%",10,"24,4%"
Kristoffer Velde,Lech Poznań,8,3,11,51,"15,7%","21,6%",12,"23,5%"
Maxime Dominguez,Miedź Legnica,1,6,7,33,"3,0%","21,2%",10,"30,3%"
Jordi Sanchez,Widzew Łódź,6,2,8,38,"15,8%","21,1%",12,"31,6%"
Sebastian Kowalczyk,Pogoń Szczecin,6,6,12,57,"10,5%","21,1%",19,"33,3%"
Roberto Alves,Radomiak Radom,3,4,7,34,"8,8%","20,6%",13,"38,2%"
Luis Machado,Radomiak Radom,3,4,7,34,"8,8%","20,6%",11,"32,4%"
Łukasz Łakomy,Zagłębie Lubin,4,3,7,35,"11,4%","20,0%",10,"28,6%"
Łukasz Sekulski,Wisła Płock,6,2,8,41,"14,6%","19,5%",11,"26,8%"
Ernest Muci,Legia Warszawa,5,6,11,57,"8,8%","19,3%",13,"22,8%"
Filip Mladenović,Legia Warszawa,6,5,11,57,"10,5%","19,3%",14,"24,6%"
Jan Grzesik,Warta Poznań,3,4,7,37,"8,1%","18,9%",12,"32,4%"
Miłosz Szczepański,Warta Poznań,4,3,7,37,"10,8%","18,9%",10,"27,0%"
Luciano Narsingh,Miedź Legnica,5,1,6,32,"15,6%","18,8%",8,"25,0%"
Ernest Terpiłowski,Widzew Łódź,3,4,7,38,"7,9%","18,4%",8,"21,1%"
Chuca,Miedź Legnica,6,0,6,33,"18,2%","18,2%",8,"24,2%"
Dawid Błanik,Korona Kielce,3,4,7,39,"7,7%","17,9%",10,"25,6%"
Jewgienij Szykawka,Korona Kielce,6,1,7,39,"15,4%","17,9%",7,"17,9%"
Jean Carlos Silva,Pogoń/Raków,4,3,7,28,"10,7%","17,9%",10,"25,0%"
Pontus Almqvist,Pogoń Szczecin,5,5,10,57,"8,8%","17,5%",14,"24,6%"
Vladislavs Gutkovskis,Raków Częstochowa,8,3,11,63,"12,7%","17,5%",12,"19,0%"
Władysław Koczerhin,Raków Częstochowa,8,3,11,63,"12,7%","17,5%",15,"23,8%"
Jani Atanasov,Cracovia,1,3,4,23,"4,3%","17,4%",5,"21,7%"
Benjamin Kallman,Cracovia,6,1,7,41,"14,6%","17,1%",10,"24,4%"
Patryk Makuch,Cracovia,6,1,7,41,"14,6%","17,1%",10,"24,4%"
Nene,Jagiellonia,5,3,8,48,"10,4%","16,7%",13,"27,1%"
Tomas Pekhart,Legia Warszawa,5,0,5,30,"16,7%","16,7%",7,"23,3%"
Maciej Żurawski,Warta Poznań,4,2,6,37,"10,8%","16,2%",7,"18,9%"
Grzegorz Tomasiewicz,Piast Gliwice,3,3,6,37,"8,1%","16,2%",11,"29,7%"
Dominik Kun,Widzew Łódź,4,2,6,38,"10,5%","15,8%",8,"21,1%"
Filip Marchwiński,Lech Poznań,5,3,8,51,"9,8%","15,7%",9,"17,6%"
Patryk Dziczek,Piast Gliwice,3,2,5,32,"9,4%","15,6%",6,"18,8%"
Piotr Krawczyk,Górnik Zabrze,4,3,7,45,"8,9%","15,6%",7,"15,6%"
Dani Pacheco,Górnik Zabrze,2,5,7,45,"4,4%","15,6%",8,"17,8%"
Olaf Kobacki,Miedź Legnica,1,4,5,33,"3,0%","15,2%",7,"21,2%"
Dawid Abramowicz,Radomiak Radom,4,1,5,34,"11,8%","14,7%",7,"20,6%"
Lisandro Semedo,Radomiak Radom,3,2,5,34,"8,8%","14,7%",8,"23,5%"
Filipe Nascimento,Radomiak Radom,3,2,5,34,"8,8%","14,7%",6,"17,6%"
Kristian Vallo,Wisła Płock,2,4,6,41,"4,9%","14,6%",9,"22,0%"
Fabian Piasecki,Raków Częstochowa,6,3,9,63,"9,5%","14,3%",10,"15,9%"
Fran Tudor,Raków Częstochowa,2,7,9,63,"3,2%","14,3%",13,"20,6%"
Petr Schwarz,Śląsk Wrocław,3,2,5,35,"8,6%","14,3%",5,"14,3%"
Nahuel Leiva,Śląsk Wrocław,3,2,5,35,"8,6%","14,3%",9,"25,7%"
Luka Zahović,Pogoń Szczecin,6,2,8,57,"10,5%","14,0%",13,"22,8%"
Mateusz Matras,Stal Mielec,2,3,5,36,"5,6%","13,9%",5,"13,9%"
Maciej Gajos,Lechia Gdańsk,4,0,4,29,"13,8%","13,8%",5,"17,2%"
Ilkay Durmus,Lechia Gdańsk,1,3,4,29,"3,4%","13,8%",4,"13,8%"
Jarosław Kubicki,Lechia Gdańsk,2,2,4,29,"6,9%","13,8%",6,"20,7%"
Konrad Matuszewski,Warta Poznań,0,5,5,37,"0,0%","13,5%",6,"16,2%"
Michael Ameyaw,Piast Gliwice,3,2,5,37,"8,1%","13,5%",6,"16,2%"
