KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA prz,% GOLI ZZA,% skut. ZZA
Cracovia,"11,41","5,09","22,54%","44,59%",6,"17,65%","3,47%"
Górnik Z,"12,38","5,44","28,65%","43,94%",6,"14,29%","3,24%"
Jagiellonia,"15,82","6,71","24,12%","42,38%",6,"12,77%","2,63%"
Korona,"13,03","4,79","23,93%","36,79%",5,"10,87%","3,07%"
Lech,"10,06","4,06","23,19%","40,35%",7,"24,14%","5,07%"
Lechia,"15,18","6,21","23,70%","40,89%",5,"10,42%","2,37%"
Legia,"10,15","4,09","28,06%","40,29%",5,"13,89%","3,60%"
Miedź,"14,50","5,82","33,33%","40,16%",12,"22,64%","6,06%"
Piast,"9,62","3,94","24,63%","40,98%",8,"25,81%","5,97%"
Pogoń,"11,79","4,41","21,33%","37,41%",6,"13,33%","4,00%"
Radomiak,"11,29","5,00","32,35%","44,27%",5,"12,20%","2,94%"
Raków,"8,26","3,97","20,00%","48,04%",5,"21,74%","3,70%"
Stal,"13,26","5,09","21,97%","38,36%",2,"5,13%","1,16%"
Śląsk,"10,47","3,88","30,30%","37,08%",6,"13,04%","4,55%"
Warta,"10,68","4,41","25,33%","41,32%",3,"9,68%","2,00%"
Widzew,"13,24","5,59","28,42%","42,22%",10,"22,22%","5,26%"
Wisła P,"15,29","6,29","26,17%","41,15%",11,"22,92%","5,14%"
Zagłębie,"13,26","5,35","20,88%","40,35%",6,"13,64%","3,30%"
