KLUB,M,PKT,Z,R,P,BZ,BS,BILANS,śr. Pkt,śr. BZ,śr. BS
Lech Poznań,17,32,8,8,1,26,14,12,"1,88","1,53","0,82"
Raków Częstochowa,17,31,9,4,4,22,14,8,"1,82","1,29","0,82"
Piast Gliwice,17,28,8,4,5,20,16,4,"1,65","1,18","0,94"
Zagłębie Lubin,17,28,8,4,5,22,24,-2,"1,65","1,29","1,41"
Pogoń Szczecin,17,26,7,5,5,24,23,1,"1,53","1,41","1,35"
Górnik Zabrze,17,25,7,4,6,22,20,2,"1,47","1,29","1,18"
Legia Warszawa,17,25,7,4,6,19,20,-1,"1,47","1,12","1,18"
Radomiak Radom,17,25,7,4,6,17,21,-4,"1,47","1,00","1,24"
Warta Poznań,17,23,7,2,8,16,17,-1,"1,35","0,94","1,00"
Widzew Łódź,17,23,6,5,6,16,19,-3,"1,35","0,94","1,12"
Stal Mielec,17,18,5,3,9,18,26,-8,"1,06","1,06","1,53"
Cracovia,17,17,4,5,8,18,25,-7,"1,00","1,06","1,47"
Korona Kielce,17,14,3,5,9,20,29,-9,"0,82","1,18","1,71"
Śląsk Wrocław,17,14,3,5,9,12,25,-13,"0,82","0,71","1,47"
Jagiellonia,17,13,1,10,6,18,27,-9,"0,76","1,06","1,59"
Lechia Gdańsk,17,11,3,2,12,13,34,-21,"0,65","0,76","2,00"
Wisła Płock,17,9,2,3,12,18,34,-16,"0,53","1,06","2,00"
Miedź Legnica,17,7,1,4,12,17,32,-15,"0,41","1,00","1,88"
