KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Cracovia,9,4,3,2,7,0,1,6
Górnik Zabrze,8,5,1,2,7,2,1,4
Jagiellonia,8,0,6,2,8,1,3,4
Korona Kielce,5,3,1,1,11,0,3,8
Lech Poznań,6,6,0,0,9,2,6,1
Lechia Gdańsk,6,3,0,3,9,0,1,8
Legia Warszawa,7,6,1,0,8,1,1,6
Miedź Legnica,9,1,4,4,8,0,0,8
Piast Gliwice,11,8,3,0,6,0,1,5
Pogoń Szczecin,9,6,2,1,7,1,2,4
Radomiak Radom,9,6,2,1,6,1,0,5
Raków Częstochowa,7,7,0,0,7,2,1,4
Stal Mielec,6,4,1,1,10,1,1,8
Śląsk Wrocław,8,3,3,2,7,0,0,7
Warta Poznań,7,7,0,0,8,0,0,8
Widzew Łódź,7,6,0,1,8,0,3,5
Wisła Płock,7,2,1,4,10,0,2,8
Zagłębie Lubin,10,7,3,0,7,1,1,5
