KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,06","1,47",43%,"11,71","3,88","4,82","3,00","33,17%","8,54%","3,76","1,24","2,76","13,24","2,35","0,18",CRA
Górnik Zabrze,"1,29","1,18",52%,"10,82","3,59","4,06","3,18","33,15%","11,96%","5,41","2,53","3,00","14,18","2,82","0,06",GÓR
Jagiellonia,"1,06","1,59",46%,"10,47","3,59","3,71","3,18","34,27%","8,99%","4,24","2,59","4,24","12,53","2,94","0,18",JAG
Korona Kielce,"1,18","1,71",42%,"12,47","4,12","5,65","2,71","33,02%","8,96%","5,12","1,47","2,82","14,71","2,35","0,06",KOR
Lech Poznań,"1,53","0,82",60%,"14,59","5,12","4,88","4,59","35,08%","10,48%","4,65","1,00","2,71","13,41","2,35","0,12",LPO
Lechia Gdańsk,"0,76","2,00",50%,"9,41","3,29","3,88","2,24","35,00%","8,13%","4,82","2,29","3,24","11,00","2,65","0,06",LGD
Legia Warszawa,"1,12","1,18",58%,"11,76","3,94","4,82","3,00","33,50%","9,50%","4,94","2,35","2,41","12,65","2,59","0,24",LEG
Miedź Legnica,"1,00","1,88",42%,"9,82","3,29","4,53","2,00","33,53%","9,58%","3,29","2,29","4,41","12,71","3,00","0,24",MIE
Piast Gliwice,"1,18","0,94",44%,"8,18","2,76","3,65","1,76","33,81%","12,95%","3,71","2,00","2,71","12,41","2,12","0,12",PIA
Pogoń Szczecin,"1,41","1,35",58%,"14,00","4,59","4,94","4,47","32,77%","9,24%","5,59","1,24","3,00","11,47","2,53","0,06",POG
Radomiak Radom,"1,00","1,24",45%,"12,35","3,71","5,12","3,53","30,00%","7,62%","4,65","1,59","4,00","11,71","2,53","0,00",RAD
Raków Częstochowa,"1,29","0,82",55%,"13,47","4,53","4,82","4,12","33,62%","9,61%","6,12","1,82","2,12","13,94","2,47","0,18",RCZ
Stal Mielec,"1,06","1,53",48%,"10,18","2,88","4,71","2,59","28,32%","10,40%","3,18","1,29","3,88","11,82","1,59","0,06",STM
Śląsk Wrocław,"0,71","1,47",48%,"9,71","3,53","3,65","2,53","36,36%","6,67%","4,35","1,35","2,76","11,59","2,41","0,18",ŚLĄ
Warta Poznań,"0,94","1,00",46%,"8,76","2,94","3,47","2,35","33,56%","10,74%","3,41","1,41","2,35","13,00","1,82","0,06",WAR
Widzew Łódź,"0,94","1,12",47%,"11,94","3,88","5,12","2,94","32,51%","7,88%","4,82","2,18","4,06","11,94","1,53","0,00",WID
Wisła Płock,"1,06","2,00",55%,"10,41","3,76","3,71","2,94","36,16%","10,17%","4,53","2,65","3,12","11,94","2,06","0,12",WPŁ
Zagłębie Lubin,"1,29","1,41",45%,"12,76","5,06","4,47","3,24","39,63%","9,68%","4,65","1,29","2,94","12,88","1,65","0,12",ZAG
