DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR,SUMA,24,24,25,21,24,17,21,23,21,23,18,23,21,23,26,30,22,25,27,30,23,26,17,18,20,14,19,17,21,23,24,32,29,29,,
CRA,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,0,2,2,2,1,2,0,1,1,2,1,2,2,2,1,2,2,2,"1,53",CRA
GÓR,1,3,2,2,2,1,2,1,1,1,1,1,2,1,3,4,3,3,2,3,2,1,1,0,1,0,1,0,0,0,0,1,1,1,"1,41",GÓR
JAG,1,1,2,1,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,3,2,3,0,2,1,1,0,0,0,1,1,1,1,2,"1,24",JAG
KOR,1,1,1,1,2,0,1,1,1,1,0,1,1,2,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,1,1,2,1,1,"0,94",KOR
LPO,1,1,2,1,2,2,1,2,1,1,0,1,1,0,1,0,0,1,2,2,1,2,0,1,2,0,1,0,0,1,1,1,1,1,"1,00",LPO
LGD,2,2,0,0,1,0,1,1,1,1,0,0,1,1,1,2,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,3,3,"0,85",LGD
LEG,2,2,2,1,1,1,1,1,2,3,2,3,3,3,3,3,3,3,4,3,2,2,1,2,1,0,1,0,3,1,2,3,3,4,"2,09",LEG
MIE,1,0,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,"0,97",MIE
PIA,2,1,2,2,2,2,2,2,2,1,0,1,0,0,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,2,1,"1,82",PIA
POG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,2,"1,15",POG
RAD,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"1,00",RAD
RCZ,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"0,32",RCZ
STM,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,2,2,1,"0,97",STM
ŚLĄ,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,1,3,2,2,2,2,2,"1,41",ŚLĄ
WAR,1,1,1,1,1,0,1,1,1,1,1,2,1,2,2,2,2,3,1,3,2,2,2,0,2,1,2,2,2,3,2,3,2,3,"1,65",WAR
WID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,0,1,1,1,2,2,1,1,1,1,1,"1,09",WID
WPŁ,1,1,1,1,1,1,1,1,1,2,0,0,0,2,0,0,0,1,1,1,2,1,0,0,1,2,2,1,1,1,2,3,1,0,"0,97",WPŁ
ZAG,3,4,2,2,2,2,3,3,2,3,4,3,2,2,3,4,2,3,3,3,2,3,3,3,2,1,2,3,2,2,2,2,2,2,"2,53",ZAG
