DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Średnia,DR,ŚREDNIA,"182,16","182,13","182,16","182,62","182,23","182,48","182,32","182,28","182,11","181,86","181,87","182,09","182,14","181,67","181,95","182,28","182,15","181,87","182,40","182,36","181,88","181,97","182,22","182,27","181,82","181,91","182,08","182,34","181,85","181,87","182,03","181,82","181,76","181,68",,
CRA,"184,45","184,45","184,18","184,18","184,55","184,91","184,36","184,18","184,18","182,36","183,45","183,82","184,64","183,27","183,55","182,91","183,36","183,00","183,00","183,18","183,55","183,36","184,45","183,64","183,73","182,18","182,55","183,00","183,00","183,00","183,09","183,82","183,18","183,18","183,58",CRA
GÓR,"181,18","180,82","182,73","183,09","182,09","184,27","184,27","182,73","181,73","181,00","180,82","181,55","182,09","181,27","180,82","181,36","180,82","182,09","181,09","182,55","181,27","181,91","183,27","182,09","181,36","181,45","181,00","181,27","180,64","181,00","181,82","181,91","181,91","182,27","181,81",GÓR
JAG,"182,18","182,00","181,09","181,73","182,73","183,36","182,55","181,91","183,45","183,45","182,91","184,64","184,09","183,91","182,55","183,36","184,55","183,27","182,73","183,36","183,36","183,36","182,91","183,09","182,55","183,64","182,64","183,27","181,45","182,27","182,36","183,09","182,36","182,36","182,90",JAG
KOR,"183,82","183,82","182,82","182,45","182,91","182,55","182,73","182,73","182,00","182,36","181,91","183,18","183,45","182,73","182,45","182,27","182,91","180,55","181,91","181,64","181,00","180,45","181,36","181,82","180,36","181,82","181,82","182,36","182,00","180,64","181,09","181,64","181,09","181,00","182,05",KOR
LPO,"180,27","181,64","180,73","179,45","180,45","182,55","181,45","182,55","180,82","180,64","181,45","180,64","181,55","179,27","182,36","179,82","179,45","180,73","183,55","182,82","181,64","181,18","180,55","181,55","181,36","180,64","182,00","180,36","180,64","182,09","181,64","180,27","181,09","180,91","181,12",LPO
LGD,"182,18","182,09","182,55","182,55","182,00","182,45","182,64","182,91","182,18","182,09","180,82","181,91","181,73","181,09","181,09","184,00","182,00","182,55","182,73","184,00","182,73","185,09","182,82","183,82","183,09","183,91","184,27","184,18","184,18","182,36","183,64","183,82","183,82","183,18","182,84",LGD
LEG,"181,91","182,27","181,55","182,00","182,00","182,00","181,45","180,55","180,64","181,09","182,00","182,09","181,64","182,36","182,36","182,36","181,91","181,18","182,27","181,91","182,00","182,00","183,27","183,64","182,45","182,82","181,64","182,82","181,18","182,27","182,64","181,64","182,45","181,64","182,00",LEG
MIE,"182,27","181,82","180,36","181,55","181,55","179,27","179,27","179,36","179,36","179,36","180,36","182,09","179,82","180,91","179,91","182,18","182,18","181,55","181,00","181,82","182,18","182,18","183,00","183,18","182,00","180,73","181,36","182,82","182,00","182,36","181,36","182,18","182,18","183,00","181,37",MIE
PIA,"179,45","178,45","181,91","181,55","180,45","180,45","180,45","181,55","181,73","180,73","180,91","180,00","179,82","178,91","179,45","181,27","180,55","178,27","180,36","178,55","178,55","178,45","178,55","178,55","178,27","178,36","178,00","178,45","178,45","179,45","179,27","179,09","178,36","178,00","179,55",PIA
POG,"180,55","181,00","180,09","181,18","181,45","181,18","181,73","180,27","180,91","181,18","181,36","181,36","181,91","180,73","181,27","181,00","181,00","180,27","180,55","180,55","179,91","179,73","181,00","180,91","179,91","180,73","180,91","180,73","181,27","180,55","182,18","181,73","181,45","179,91","180,90",POG
RAD,"180,82","182,00","182,91","181,73","182,09","182,09","183,27","182,18","182,18","182,55","182,91","182,82","182,73","182,55","182,82","182,45","182,64","183,82","182,55","183,73","182,27","182,45","182,82","182,55","182,64","183,55","184,27","183,82","182,45","182,64","181,00","181,82","181,18","181,91","182,53",RAD
RCZ,"181,82","181,55","182,36","184,45","180,55","180,82","180,64","180,45","180,09","180,73","180,18","179,18","179,64","182,00","179,73","181,82","179,64","182,73","182,55","182,73","181,18","183,18","182,82","182,64","182,64","181,36","183,00","184,00","184,55","182,09","183,45","181,64","181,82","179,73","181,70",RCZ
STM,"182,82","182,18","182,18","183,73","183,73","183,73","183,73","183,09","183,55","183,09","182,73","182,73","183,73","180,27","182,09","182,73","183,09","181,55","181,91","180,00","182,00","182,09","182,91","182,00","181,18","180,36","181,09","181,09","180,45","181,00","182,18","181,36","181,18","182,82","182,19",STM
ŚLĄ,"181,27","181,82","181,27","181,82","181,18","180,82","180,82","181,55","181,27","179,64","180,27","181,73","181,45","180,00","180,36","180,00","181,45","179,45","183,27","182,91","182,82","182,36","182,82","182,09","181,73","181,00","181,45","181,73","181,09","180,82","182,09","180,64","180,82","180,55","181,30",ŚLĄ
WAR,"183,27","181,73","182,82","182,82","183,73","184,27","183,00","183,64","184,91","184,45","182,55","182,00","184,73","184,09","184,09","183,91","184,09","181,27","183,18","182,64","182,36","181,91","181,91","182,00","182,55","182,64","183,00","182,36","182,36","181,27","180,73","180,91","182,82","182,91","182,85",WAR
WID,"182,09","182,09","182,82","184,00","182,18","182,18","182,36","184,00","183,36","183,27","183,27","182,36","181,64","181,64","181,64","183,00","182,45","183,36","183,27","182,45","182,45","182,45","181,82","181,82","182,82","183,45","182,91","182,00","181,09","183,09","183,09","181,82","180,91","182,45","182,52",WID
WPŁ,"183,45","183,73","183,73","184,00","183,00","184,73","184,00","184,00","183,18","183,00","183,18","182,55","182,55","183,82","182,82","183,55","183,45","183,55","183,09","183,36","181,73","180,27","180,64","183,00","181,82","182,82","183,36","183,64","183,64","183,73","182,00","182,55","182,27","181,55","182,99",WPŁ
ZAG,"185,00","184,91","182,73","184,82","183,55","183,09","183,09","183,36","182,36","182,55","182,64","182,91","181,36","181,18","185,82","183,00","183,18","184,45","184,18","184,27","182,91","183,09","183,09","182,55","182,36","183,00","182,18","184,27","182,91","183,00","182,91","182,91","182,82","182,82","183,21",ZAG
