ZAWODNIK,KLUB,MIN BEZ GOLA,MECZE BEZ GOLA,OSTATNI GOL,OSTATNI GOL PRZECIW,MIN BEZ GOLA LUB ASYSTY,MECZE BEZ GOLA LUB ASYSTY,OSTATNI GOL LUB ASYSTA,OSTATNI GOL LUB ASYSTA PRZECIW
Benedikt Zech,Pogoń Szczecin,11644,138,-,-,3629,45,07.10.2022,Stal
Artur Jędrzejczyk,Legia Warszawa,11340,137,10.02.2019,Wisła P,7295,91,22.08.2020,Raków
Mariusz Malec,Pogoń Szczecin,8559,111,15.02.2019,Górnik Z,4953,64,13.02.2022,Zagłębie L
Kamil Dankowski,ŁKS Łódź,6684,83,17.10.2016,Korona,1022,11,03.03.2024,Puszcza
Luis Mata,Zagłębie Lubin,5853,77,-,-,1998,28,17.07.2022,Widzew
Marcin Flis,ŁKS Łódź,5700,64,18.10.2021,Zagłębie L,2240,24,08.04.2023,Widzew
Bogdan Tiru,Warta Poznań,5175,68,21.04.2021,Stal,3891,50,14.02.2022,Górnik Z
Damian Jakubik,Radomiak Radom,4932,64,-,-,1107,17,30.04.2023,Śląsk
Jakub Kiełb,Warta Poznań,4848,78,30.01.2021,Cracovia,332,9,09.12.2023,Pogoń
Zoran Arsenić,Raków Częstochowa,4526,57,18.12.2021,Jagiellonia,2305,32,05.11.2022,Wisła P
Bojan Nastić,Jagiellonia Białystok,4197,57,20.03.2021,Lech,1517,21,14.08.2022,Raków
Wołodymyr Kostewycz,Warta Poznań,4098,48,05.10.2018,Górnik Z,194,2,06.06.2020,Zagłębie L
Serafin Szota,Widzew Łódź,3964,47,20.11.2021,Jagiellonia,3102,35,21.10.2022,Miedź
Erik Janza,Górnik Zabrze,3946,47,10.09.2022,Piast,405,5,19.04.2024,Raków
Tomasz Mokwa,Piast Gliwice,3937,57,15.10.2016,Ruch,3843,55,28.10.2016,Bruk-Bet
Cornel Rapa,Cracovia,3823,59,11.02.2022,Lechia,388,10,28.10.2023,Lech
Adam Marciniak,ŁKS Łódź,3823,45,28.04.2019,Korona,829,10,11.07.2020,ŁKS
Yuri Ribeiro,Legia Warszawa,3783,44,04.11.2022,Lechia,255,2,12.05.2024,Lech
