KLUB,RAZEM,KARNY,ROŻNY,WOLNY,WOLNY BEZP,AUT,PO SFG,% PO SFG,Z GRY,% Z GRY,PO SFG BEZ KARNYCH,% PO SFG BEZ KARNYCH,SUMA,823,90,99,48,13,20,271,"32,93%",552,"67,07%",180,"21,87%"
Cracovia,46,7,7,4,1,0,19,"41,30%",27,"58,70%",12,"26,09%"
Górnik Zabrze,41,1,7,4,1,2,15,"36,59%",26,"63,41%",14,"34,15%"
Jagiellonia Białystok,45,8,7,2,0,0,17,"37,78%",28,"62,22%",9,"20,00%"
Korona Kielce,44,5,4,2,1,1,13,"29,55%",31,"70,45%",8,"18,18%"
Lech Poznań,41,6,3,4,1,1,15,"36,59%",26,"63,41%",9,"21,95%"
Legia Warszawa,39,2,1,0,0,1,4,"10,26%",35,"89,74%",2,"5,13%"
ŁKS Łódź,75,8,8,5,0,2,23,"30,67%",52,"69,33%",15,"20,00%"
Piast Gliwice,35,7,2,1,1,1,12,"34,29%",23,"65,71%",5,"14,29%"
Pogoń Szczecin,38,2,6,3,0,1,12,"31,58%",26,"68,42%",10,"26,32%"
Puszcza Niepołomice,49,4,5,1,2,1,13,"26,53%",36,"73,47%",9,"18,37%"
Radomiak Radom,58,5,10,4,0,2,21,"36,21%",37,"63,79%",16,"27,59%"
Raków Częstochowa,39,6,5,2,0,1,14,"35,90%",25,"64,10%",8,"20,51%"
Ruch Chorzów,55,6,7,4,0,1,18,"32,73%",37,"67,27%",12,"21,82%"
Stal Mielec,48,5,5,2,4,2,18,"37,50%",30,"62,50%",13,"27,08%"
Śląsk Wrocław,31,6,3,2,0,0,11,"35,48%",20,"64,52%",5,"16,13%"
Warta Poznań,43,3,7,2,1,1,14,"32,56%",29,"67,44%",11,"25,58%"
Widzew Łódź,46,5,5,3,1,0,15,"32,61%",31,"67,39%",9,"19,57%"
Zagłębie Lubin,50,4,7,3,0,3,17,"34,00%",33,"66,00%",13,"26,00%"
