KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,46,58,36,10,54,60,53,33,350,150,200
Cracovia,4,3,1,2,3,3,7,2,25,10,15
Górnik Zabrze,0,0,2,0,1,5,3,3,14,2,12
Jagiellonia,3,5,3,0,3,0,2,0,16,11,5
Korona Kielce,3,2,2,1,5,3,3,1,20,8,12
Lech Poznań,3,2,2,0,2,3,1,3,16,7,9
Legia Warszawa,2,1,5,0,2,3,4,0,17,8,9
ŁKS Łódź,4,3,4,0,5,5,7,5,33,11,22
Piast Gliwice,2,0,0,0,5,5,2,1,15,2,13
Pogoń Szczecin,5,5,3,0,3,1,7,1,25,13,12
Puszcza Niepołomice,1,3,4,0,2,3,5,2,20,8,12
Radomiak Radom,1,8,3,0,6,7,0,3,28,12,16
Raków Częstochowa,2,2,0,0,3,2,0,2,11,4,7
Ruch Chorzów,3,4,1,3,4,2,3,2,22,11,11
Stal Mielec,2,5,0,0,1,5,2,2,17,7,10
Śląsk Wrocław,1,2,1,0,4,3,1,2,14,4,10
Warta Poznań,2,7,2,2,1,2,2,0,18,13,5
Widzew Łódź,3,5,2,2,3,2,2,2,21,12,9
Zagłębie Lubin,5,1,1,0,1,6,2,2,18,7,11
