KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,100,129,114,28,122,135,130,65,823,371,452
Cracovia,6,9,6,0,8,6,8,2,45,21,24
Górnik Zabrze,5,6,10,1,5,7,7,4,45,22,23
Jagiellonia,17,11,10,2,7,13,14,3,77,40,37
Korona Kielce,3,7,7,1,3,10,4,5,40,18,22
Lech Poznań,4,8,8,2,9,3,10,3,47,22,25
Legia Warszawa,7,10,7,2,7,9,6,3,51,26,25
ŁKS Łódź,1,4,3,3,7,6,7,3,34,11,23
Piast Gliwice,2,7,7,1,5,7,7,2,38,17,21
Pogoń Szczecin,6,7,7,2,15,14,6,2,59,22,37
Puszcza Niepołomice,6,9,3,1,4,9,4,3,39,19,20
Radomiak Radom,6,6,5,1,6,10,4,3,41,18,23
Raków Częstochowa,9,11,3,3,5,9,11,3,54,26,28
Ruch Chorzów,3,7,3,2,2,8,11,4,40,15,25
Stal Mielec,3,7,8,3,8,4,6,3,42,21,21
Śląsk Wrocław,5,4,6,1,8,10,10,6,50,16,34
Warta Poznań,10,5,4,1,6,3,3,1,33,20,13
Widzew Łódź,4,3,10,1,7,5,3,12,45,18,27
Zagłębie Lubin,3,8,7,1,10,2,9,3,43,19,24
