KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,54,71,78,18,68,75,77,32,473,221,252
Cracovia,4,4,5,0,6,4,7,2,32,13,19
Górnik Zabrze,2,5,5,0,3,3,4,1,23,12,11
Jagiellonia,9,9,7,2,2,6,9,2,46,27,19
Korona Kielce,3,5,6,1,1,5,3,4,28,15,13
Lech Poznań,4,2,7,1,4,3,6,2,29,14,15
Legia Warszawa,3,5,3,2,4,4,3,2,26,13,13
ŁKS Łódź,1,4,3,2,5,3,3,2,23,10,13
Piast Gliwice,0,3,5,1,4,5,6,1,25,9,16
Pogoń Szczecin,4,4,4,1,9,8,4,1,35,13,22
Puszcza Niepołomice,3,5,2,1,3,7,1,1,23,11,12
Radomiak Radom,1,4,4,0,3,4,2,2,20,9,11
Raków Częstochowa,6,5,2,2,3,7,6,2,33,15,18
Ruch Chorzów,2,3,1,1,2,3,8,1,21,7,14
Stal Mielec,2,5,6,1,6,2,1,2,25,14,11
Śląsk Wrocław,2,2,6,0,3,5,5,4,27,10,17
Warta Poznań,6,3,3,1,2,1,1,0,17,13,4
Widzew Łódź,1,1,6,1,4,3,2,3,21,9,12
Zagłębie Lubin,1,2,3,1,4,2,6,0,19,7,12
