,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCH,RCZ,STM,ŚLĄ,WAR,WID,ZAG
CRA,-,1,1,2,2,1,2,2,0,0,5,0,2,3,0,0,1,2
GÓR,0,-,1,8,3,0,7,2,0,1,1,2,2,1,3,1,0,1
JAG,0,0,-,2,0,2,7,4,1,2 *,3,7,1,0,1,3,3,6
KOR,3,0,0,-,1,1,1,2,1,2 *,4 *,3,0,2,4,0,0,0
LPO,6,2,5,0,-,0,8,0,1,0,4,0,0,3,1,8,1,2
LEG,0,5,1,9,5,-,11,4,2,2 *,0,2,1,1,1,2,0,8
ŁKS,1,0,0,0,0,1,-,0,0,1,1,1,1,1,0,1,0,0
PIA,5,0,3,7,1,0,6 *,-,4,0,0,0,0,7,1,3,0,3
POG,7,1,2,4,0,1,1,0,-,2 *,1,5,0,1,1,10,5,0
PUN,2 *,2 *,1,1,1,2 *,0,1,0,-,2 *,2 *,1,0,1,2 *,1,1
RAD,0,3,0,0,1,1,0,2,0,2 *,-,0,1,1,0,3,0,0
RCH,2,0,1,0,1,0,11,2,0,2 *,4 *,-,1,0,2,4,0,1
RCZ,0,0,0,2,1,2,2,1,7,2 *,0,2,-,11,0,0,4,0
STM,2,2,1,0,1,0,0,0,2,1,0,4,1,-,5,0,1,2
ŚLĄ,4,0,0,3,4,2,8,2,0,2 *,2,0,2,0,-,2,2,1
WAR,5,0,0,4 *,0,0,0,0,1,0,1,2,3,2,0,-,3,1
WID,6,2,0,2,2,1,3,1,0,0,1,2,0,2,0,0,-,0
ZAG,1,0,0,1,0,0,3,0,2,2 *,1,3,1,1,0,4,3,-
