,CRA,GÓR,JAG,KOR,LPO,LEG,ŁKS,PIA,POG,PUN,RAD,RCH,RCZ,STM,ŚLĄ,WAR,WID,ZAG
CRA,-,5,2,0,0,2,0,0,3,1,6 *,1,1,0,2,1,0,0
GÓR,5,-,3,2,0,3,4,1,4,0,0,4,4,0,1,3,1,5
JAG,2,3,-,1,1,0,1,0,0,0,2,0,3,2,2,4,2,2
KOR,0,2,1,-,5,0,11 *,0,0,0,1,1,7 *,4 *,0,1,1,2
LPO,0,0,1,5,-,1,6,2,2,2 *,0,6,5,0,0,10,0,1
LEG,2,3,0,0,1,-,0,1,0,0,7,4,0,6,0,1,2,10
ŁKS,0,4,1,11 *,6,0,-,1,2,2 *,4 *,0,0,2,7,8,2,9
PIA,0,1,0,0,2,1,1,-,1,2 *,1,1,7,1,0,1,5,1
POG,3,4,0,0,2,0,2,1,-,2 *,5,4,1,0,4,0,2,6
PUN,1,0,0,0,2 *,0,2 *,2 *,2 *,-,0,0,0,2 *,0,2 *,2 *,0
RAD,6 *,0,2,1,0,7,4 *,1,5,0,-,1,2,3,4,0,6 *,6 *
RCH,1,4,0,1,6,4,0,1,4,0,1,-,0,1,1,0,8,0
RCZ,1,4,3,7 *,5,0,0,7,1,0,2,0,-,0,1,1,1,2
STM,0,0,2,4 *,0,6,2,1,0,2 *,3,1,0,-,2,3,0,0
ŚLĄ,2,1,2,0,0,0,7,0,4,0,4,1,1,2,-,5,3,3
WAR,1,3,4,1,10,1,8,1,0,2 *,0,0,1,3,5,-,7,0
WID,0,1,2,1,0,2,2,5,2,2 *,6 *,8,1,0,3,7,-,1
ZAG,0,5,2,2,1,10,9,1,6,0,6 *,0,2,0,3,0,1,-
