ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Erik Exposito,Śląsk,"53,7%","75,0%","55,6%",80,44,"55,0%",19,"4,21","23,8%",40
Kamil Grosicki,Pogoń,"44,4%","37,3%","100,0%",94,37,"39,4%",13,"7,23","13,8%",85
Efthymis Koulouris,Pogoń,"50,0%","41,9%","41,7%",79,34,"43,0%",12,"6,58","15,2%",32
Jesus Imaz,Jagiellonia,"31,0%","42,9%","60,0%",81,33,"40,7%",12,"6,75","14,8%",32
Marc Gual,Legia,"45,5%","28,3%","40,0%",89,32,"36,0%",8,"11,13","9,0%",15
Wahan Biczachczjan,Pogoń,"29,7%","53,8%","0,0%",90,29,"32,2%",5,"18,00","5,6%",33
Kristoffer Velde,Lech,"35,3%","44,2%","42,9%",67,28,"41,8%",10,"6,70","14,9%",30
Mikael Ishak,Lech,"50,0%","48,1%","80,0%",49,27,"55,1%",11,"4,45","22,4%",16
Dawid Kurminowski,Zagłębie,"50,0%","57,6%","23,1%",55,27,"49,1%",12,"4,58","21,8%",17
Ilja Szkurin,Stal,"50,0%","73,7%","50,0%",41,25,"61,0%",16,"2,56","39,0%",29
Bartłomiej Pawłowski,Widzew,"50,0%","41,2%","60,0%",55,25,"45,5%",8,"6,88","14,5%",32
Daniel Szczepan,Ruch,"40,0%","37,2%","30,0%",69,25,"36,2%",10,"6,90","14,5%",22
Afimico Pululu,Jagiellonia,"52,8%","50,0%","60,0%",43,23,"53,5%",12,"3,58","27,9%",22
Sanchez Jordi,Widzew,"58,3%","40,9%","53,8%",47,23,"48,9%",8,"5,88","17,0%",16
Nene,Jagiellonia,"34,7%","100,0%","50,0%",56,22,"39,3%",9,"6,22","16,1%",30
Adrian Kapralik,Górnik Z,"29,4%","39,5%","28,6%",62,22,"35,5%",7,"8,86","11,3%",17
Jewgienij Szykawka,Korona,"55,6%","52,4%","31,3%",46,21,"45,7%",10,"4,60","21,7%",18
Nahuel Leiva,Śląsk,"66,7%","41,5%",-,47,21,"44,7%",9,"5,22","19,1%",43
Dani Ramirez,ŁKS,"50,0%","21,4%",-,50,21,"42,0%",9,"5,56","18,0%",45
Benjamin Kallman,Cracovia,"25,0%","45,0%","28,6%",51,21,"41,2%",9,"5,67","17,6%",38
Kacper Chodyna,Zagłębie,"28,6%","40,5%","0,0%",59,21,"35,6%",7,"8,43","11,9%",45
Patryk Makuch,Cracovia,"15,4%","30,4%","22,7%",81,21,"25,9%",4,"20,25","4,9%",36
Mateusz Żukowski,Śląsk,"50,0%","50,0%","50,0%",40,20,"50,0%",1,"40,00","2,5%",7
Lawrence Ennali,Górnik Z,"57,1%","41,0%",-,46,20,"43,5%",5,"9,20","10,9%",17
Michael Ameyaw,Piast,"57,9%","36,4%","10,0%",51,20,"39,2%",6,"8,50","11,8%",24
Josue,Legia,"36,4%",-,-,55,20,"36,4%",9,"6,11","16,4%",65
Pedro Henrique,Radomiak,"12,5%","47,6%","33,3%",56,20,"35,7%",8,"7,00","14,3%",13
Patryk Dziczek,Piast,"57,1%","36,0%","50,0%",44,19,"43,2%",8,"5,50","18,2%",23
Kay Tejan,ŁKS,"31,0%","69,2%","50,0%",44,19,"43,2%",7,"6,29","15,9%",25
Bartosz Nowak,Raków,"50,0%","38,9%","33,3%",47,19,"40,4%",7,"6,71","14,9%",41
Ante Crnac,Raków,"46,2%","28,6%","29,4%",51,19,"37,3%",8,"6,38","15,7%",17
Jorge Felix,Piast,"75,0%","45,8%","33,3%",40,18,"45,0%",7,"5,71","17,5%",30
Martin Remacle,Korona,"35,0%","21,7%","100,0%",67,18,"26,9%",6,"11,17","9,0%",27
Łukasz Zwoliński,Raków,"0,0%","81,3%","57,1%",26,17,"65,4%",5,"5,20","19,2%",3
Władysław Koczerhin,Raków,"25,0%","31,4%","0,0%",57,17,"29,8%",5,"11,40","8,8%",25
Michał Rakoczy,Cracovia,"26,3%","21,3%","100,0%",68,17,"25,0%",6,"11,33","8,8%",41
Koki Hinokio,Stal,"75,0%","34,2%",-,42,16,"38,1%",3,"14,00","7,1%",17
John Yeboah,Raków,"31,3%","55,6%","100,0%",42,16,"38,1%",3,"14,00","7,1%",30
Maciej Domański,Stal,"27,3%","38,2%",-,45,16,"35,6%",3,"15,00","6,7%",48
Jani Atanasov,Cracovia,"33,3%","32,4%","0,0%",50,16,"32,0%",5,"10,00","10,0%",25
