ZAWODNIK,KLUB,słupek,poprzeczka,SUMA
Pedro Henrique,Radomiak,1,4,5
Patryk Makuch,Cracovia,3,2,5
Leonardo Rocha,Radomiak,1,4,5
Kamil Grosicki,Pogoń,2,1,3
Jesus Imaz,Jagiellonia,0,3,3
Fabio Nunes,Widzew,2,1,3
Maciej Rosołek,Legia,1,2,3
Makana Baku,Legia,1,1,2
Frank Castaneda,Radomiak,1,1,2
Marc Gual,Legia,0,2,2
Koki Hinokio,Stal,1,1,2
Roman Jakuba,Puszcza,1,1,2
Sanchez Jordi,Widzew,1,1,2
Benjamin Kallman,Cracovia,2,0,2
Efthymis Koulouris,Pogoń,1,1,2
Patryk Kun,Legia,0,2,2
Dawid Kurminowski,Zagłębie,1,1,2
Jose Naranjo,Jagiellonia,1,1,2
Bartosz Nowak,Raków,2,0,2
Dani Pacheco,Górnik Z,1,1,2
Michał Rakoczy,Cracovia,1,1,2
Filip Starzyński,Ruch,0,2,2
Stratos Svarnas,Raków,2,0,2
Tomasz Swędrowski,Ruch,2,0,2
Kay Tejan,ŁKS,2,0,2
Kristoffer Velde,Lech,0,2,2
Dario Vizinger,Warta,1,1,2
Michał Walski,Puszcza,1,1,2
Krzysztof Wołkowicz,Stal,0,2,2
Dawid Abramowicz,Radomiak,1,0,1
Fran Alvarez,Widzew,1,0,1
Rafał Augustyniak,Legia,1,0,1
Miha Blazic,Lech,0,1,1
Mateusz Bochnak,Cracovia,1,0,1
Damjan Bohar,Zagłębie,1,0,1
Mateusz Cichocki,Radomiak,0,1,1
Artur Craciun,Puszcza,0,1,1
Ante Crnac,Raków,1,0,1
Adrian Dalmau,Korona,1,0,1
Kamil Dankowski,ŁKS,1,0,1
Maciej Domański,Stal,0,1,1
Christos Donis,Radomiak,0,1,1
Patryk Dziczek,Piast,1,0,1
Marco Ehmann,Stal,0,1,1
Marton Eppel,Warta,1,0,1
Erik Exposito,Śląsk,0,1,1
Jorge Felix,Piast,0,1,1
Krystian Getinger,Stal,1,0,1
Virgil Ghita,Cracovia,1,0,1
Giannis Papanikolaou,Raków,1,0,1
Wojciech Hajda,Puszcza,1,0,1
Kristoffer Hansen,Jagiellonia,1,0,1
Jakub Holubek,Piast,1,0,1
Juan Ibiza,Widzew,1,0,1
Mikael Ishak,Lech,0,1,1
Paweł Jaroszyński,Cracovia,0,1,1
Josue,Legia,1,0,1
Gabriel Kirejczyk,Piast,0,1,1
Antoni Klimek,Widzew,0,1,1
Karol Knap,Cracovia,1,0,1
Władysław Koczerhin,Raków,1,0,1
Bartosz Kopacz,Zagłębie,0,1,1
Tihomir Kostadinov,Piast,0,1,1
Miłosz Kozak,Ruch,0,1,1
Nika Kwekweskiri,Lech,0,1,1
Juliusz Letniowski,Ruch,1,0,1
Kamil Lukoszek,Górnik Z,1,0,1
Aleks Ławniczak,Zagłębie,0,1,1
Jordan Majchrzak,Puszcza,1,0,1
Tomasz Makowski,Zagłębie,0,1,1
Dominik Marczuk,Jagiellonia,1,0,1
Konrad Matuszewski,Warta,0,1,1
Miłosz Matysik,Jagiellonia,0,1,1
Antonio Milić,Lech,0,1,1
Łukasz Moneta,Ruch,0,1,1
Nacho Monsalve,ŁKS,1,0,1
Bartłomiej Pawłowski,Widzew,0,1,1
Tomas Pekhart,Legia,0,1,1
Tomasz Pieńko,Zagłębie,1,0,1
Wiktor Pleśnierowicz,Warta,1,0,1
Afimico Pululu,Jagiellonia,1,0,1
Bogdan Racovitan,Raków,0,1,1
Dani Ramirez,ŁKS,1,0,1
Yuri Ribeiro,Legia,0,1,1
Imad Rondić,Widzew,1,0,1
Maciej Sadlok,Ruch,0,1,1
Deian Sorescu,Raków,1,0,1
Dominik Steczyk,Ruch,0,1,1
Konrad Stępień,Puszcza,0,1,1
Daniel Szczepan,Ruch,1,0,1
Miłosz Szczepański,Piast,0,1,1
Kajetan Szmyt,Warta,1,0,1
Grzegorz Tomasiewicz,Piast,1,0,1
Michał Trąbka,Stal,0,1,1
Miłosz Trojak,Korona,0,1,1
Wahan Biczachczjan,Pogoń,1,0,1
Piotr Wlazło,Stal,0,1,1
Rafał Wolski,Radomiak,0,1,1
Łukasz Wolsztyński,Stal,0,1,1
John Yeboah,Raków,1,0,1
Dominick Zator,Korona,0,1,1
Paweł Zieliński,Widzew,1,0,1
Adam Zrelak,Warta,1,0,1
Patryk Sokołowski,Cracovia,0,1,1
Bartosz Kwiecień,Korona,0,1,1
Luka Vusković,Radomiak,0,1,1
Jin-hyun Lee,Puszcza,1,0,1
Jakub Jezierski,Śląsk,1,0,1
