KOL,STRZELEC,DLA,PRZECIW,BRAMKARZ,T/N/O,FAULOWAŁ,FAULOWANY,SĘDZIA
1,Josue,Legia Warszawa,ŁKS Łódź,Aleksander Bobek,O,Engjell Hoti,ręka,Karol Arys
1,Łukasz Zwoliński,Raków Częstochowa,Jagiellonia Białystok,Zlatan Alomerović,T,Nene,Łukasz Zwoliński,Paweł Raczkowski
1,Patryk Dziczek,Piast Gliwice,Lech Poznań,Filip Bednarek,T,Filip Bednarek,Michael Ameyaw,Szymon Marciniak
2,Kajetan Szmyt,Warta Poznań,Górnik Zabrze,Daniel Bielica,T,Kryspin Szcześniak,Stefan Savić,Krzysztof Jakubik
2,Erik Exposito,Śląsk Wrocław,Zagłębie Lubin,Szymon Weirauch,T,Szymon Weirauch,Piotr Samiec-Talar,Szymon Marciniak
3,Afimico Pululu,Jagiellonia Białystok,Widzew Łódź,Henrich Ravas,T,Marek Hanousek,ręka,Bartosz Frankowski
3,Dani Ramirez,ŁKS Łódź,Korona Kielce,Xavier Dziekoński,T,Miłosz Trojak,Maciej Śliwa,Szymon Marciniak
3,Adrian Dalmau,Korona Kielce,ŁKS Łódź,Aleksander Bobek,T,Adrien Louveau,ręka,Szymon Marciniak
3,Łukasz Zwoliński,Raków Częstochowa,Warta Poznań,Adrian Lis,T,Jakub Kiełb,Deian Sorescu,Karol Arys
4,Kacper Chodyna,Zagłębie Lubin,Cracovia,Sebastian Madejski,T,Kacper Śmiglewski,Mateusz Grzybek,Daniel Stefański
4,Patryk Dziczek,Piast Gliwice,Raków Częstochowa,Vladan Kovacević,T,Adnan Kovacević,Jorge Felix,Tomasz Musiał
4,Piotr Wlazło,Stal Mielec,Śląsk Wrocław,Kacper Trelowski,O,Petr Schwarz,ręka,Krzysztof Jakubik
4,Erik Exposito,Śląsk Wrocław,Stal Mielec,Mateusz Kochalski,T,Kamil Pajnowski,ręka,Krzysztof Jakubik
4,Kajetan Szmyt,Warta Poznań,Ruch Chorzów,Michał Buchalik,T,Remigiusz Szywacz,ręka,Patryk Gryckiewicz
4,Bartłomiej Wdowik,Jagiellonia Białystok,Lech Poznań,Bartosz Mrozek,T,Alan Czerwiński,Dominik Marczuk,Damian Sylwestrzak
5,Kajetan Szmyt,Warta Poznań,Radomiak Radom,Albert Posiadała,T,Albert Posiadała,Adam Zrelak,Marcin Kochanek
5,Pedro Henrique,Radomiak Radom,Warta Poznań,Jędrzej Grobelny,N,Dario Vizinger,Lisandro Semedo,Marcin Kochanek
5,Kristoffer Velde,Lech Poznań,Śląsk Wrocław,Rafał Leszczyński,T,Mateusz Żukowski,Filip Szymczak,Szymon Marciniak
