KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,GOLE ZZA DLA,% GOLI ZZA,% skut. ZZA
Cracovia,"13,18","5,44","23,78%","41,29%",7,"16,67%","3,78%"
Górnik Z,"11,85","4,85","23,64%","40,94%",5,"11,36%","3,03%"
Jagiellonia,"12,88","4,38","27,52%","34,02%",11,"14,67%","7,38%"
Korona,"12,74","5,88","24,00%","46,19%",4,"10,81%","2,00%"
Lech,"11,12","4,65","29,75%","41,80%",9,"19,15%","5,70%"
Legia,"13,50","5,65","21,88%","41,83%",7,"14,29%","3,65%"
ŁKS,"10,26","4,91","23,35%","47,85%",5,"14,71%","2,99%"
Piast,"11,85","4,38","21,48%","36,97%",5,"13,51%","3,36%"
Pogoń,"14,59","5,65","25,00%","38,71%",6,"10,91%","3,13%"
Puszcza,"10,12","3,71","22,22%","36,63%",4,"10,26%","3,17%"
Radomiak,"13,00","4,71","22,50%","36,20%",7,"17,95%","4,38%"
Raków,"13,41","4,65","24,68%","34,65%",8,"16,00%","5,06%"
Ruch,"11,94","4,94","22,02%","41,38%",5,"12,82%","2,98%"
Stal,"9,12","4,21","28,67%","46,13%",5,"11,90%","3,50%"
Śląsk,"11,65","5,06","30,81%","43,43%",6,"12,00%","3,49%"
Warta,"8,47","3,59","27,87%","42,36%",6,"19,35%","4,92%"
Widzew,"12,15","5,21","23,73%","42,86%",8,"18,60%","4,52%"
Zagłębie,"13,44","5,71","25,77%","42,45%",10,"23,26%","5,15%"
