POZ.,KLUB,MECZE,PUNKTY,Z,R,P,GOLE RAZEM,GOLE PL,GOLE ZAGR,% GOLI PL,B PKT
1.,Zagłębie Lubin,34,64,19,7,8,43,36,7,"83,7%",+17
2.,Piast Gliwice,34,59,15,14,5,38,25,13,"65,8%",+16
3.,Puszcza Niepołomice,34,56,14,14,6,39,27,12,"69,2%",+16
4.,Ruch Chorzów,34,53,12,17,5,40,33,7,"82,5%",+21
5.,Pogoń Szczecin,34,51,12,15,7,59,23,36,"39,0%",-4
6.,Jagiellonia Białystok,34,49,12,13,9,77,26,51,"33,8%",-14
7.,Raków Częstochowa,34,44,10,14,10,54,19,35,"35,2%",-8
8.,Śląsk Wrocław,34,44,10,14,10,50,13,37,"26,0%",-19
9.,Górnik Zabrze,34,43,10,13,11,45,18,27,"40,0%",-10
10.,Warta Poznań,34,43,8,19,7,33,18,15,"54,5%",+6
11.,Legia Warszawa,34,41,6,23,5,51,12,39,"23,5%",-18
12.,Widzew Łódź,34,41,8,17,9,45,16,29,"35,6%",-5
13.,Stal Mielec,34,41,8,17,9,42,16,26,"38,1%",-2
14.,Lech Poznań,34,38,8,14,12,47,14,33,"29,8%",-15
15.,Cracovia,34,32,5,17,12,45,21,24,"46,7%",-7
16.,Radomiak Radom,34,32,6,14,14,41,8,33,"19,5%",-6
17.,Korona Kielce,34,30,3,21,10,40,7,33,"17,5%",-8
18.,ŁKS Łódź,34,18,1,15,18,34,5,29,"14,7%",-6
