KOL,GOSP,GOŚĆ,ST GOSP,ST GOŚĆ,ST C GOSP,ST C GOŚĆ,G GOSP,G GOŚĆ,xG GOSP,xG GOŚĆ,xG/s gosp,xG/s gość,% GOSP,% REMIS,% GOŚĆ
1,Warta,Pogoń,5,12,1,3,0,1,"0,41","0,74","0,08","0,06",18%,42%,40%
1,Legia,ŁKS,17,3,9,1,3,0,"2,75","0,20","0,16","0,07",92%,7%,1%
1,Stal,Cracovia,8,17,4,8,2,2,"0,69","1,00","0,09","0,06",25%,34%,42%
1,Raków,Jagiellonia,11,6,6,1,3,0,"1,64","0,22","0,15","0,04",76%,20%,4%
1,Piast,Lech,14,6,5,2,1,2,"3,41","0,51","0,24","0,08",92%,6%,2%
1,Górnik Z,Radomiak,5,18,0,3,0,2,"0,49","1,88","0,10","0,10",8%,20%,72%
1,Zagłębie,Ruch,16,5,3,0,2,0,"0,87","0,76","0,05","0,15",35%,35%,30%
1,Widzew,Puszcza,12,12,6,4,3,2,"1,16","1,07","0,10","0,09",37%,29%,33%
1,Korona,Śląsk,11,4,5,2,1,1,"0,66","0,16","0,06","0,04",44%,48%,8%
2,Ruch,ŁKS,12,16,5,2,2,0,"1,70","1,15","0,14","0,07",51%,24%,25%
2,Warta,Górnik Z,9,11,3,1,2,0,"1,50","0,50","0,17","0,05",64%,25%,11%
2,Jagiellonia,Puszcza,12,10,6,6,4,1,"1,59","0,39","0,13","0,04",69%,23%,8%
2,Śląsk,Zagłębie,19,7,6,4,1,2,"1,67","0,94","0,09","0,13",55%,25%,21%
2,Stal,Piast,7,21,2,3,0,0,"0,40","1,39","0,06","0,07",10%,27%,63%
2,Lech,Radomiak,15,12,7,3,2,0,"1,54","0,87","0,10","0,07",54%,26%,21%
2,Pogoń,Widzew,23,8,9,1,2,1,"3,02","1,07","0,13","0,13",78%,13%,9%
3,Jagiellonia,Widzew,14,8,2,3,2,1,"1,35","0,52","0,10","0,06",58%,28%,14%
3,ŁKS,Korona,7,18,3,4,2,1,"0,99","1,83","0,14","0,10",19%,23%,58%
3,Raków,Warta,15,13,7,5,2,2,"1,80","0,60","0,12","0,05",68%,21%,11%
3,Górnik Z,Piast,7,9,3,0,0,0,"0,45","0,68","0,06","0,08",21%,43%,36%
3,Radomiak,Cracovia,24,10,4,4,0,1,"1,75","1,72","0,07","0,17",39%,23%,38%
3,Zagłębie,Lech,18,8,8,4,1,1,"1,75","0,75","0,10","0,09",62%,23%,15%
3,Legia,Ruch,22,6,6,1,3,0,"2,28","0,27","0,10","0,04",85%,13%,3%
3,Puszcza,Stal,6,9,3,2,1,0,"0,46","0,35","0,08","0,04",28%,51%,20%
4,Cracovia,Zagłębie,14,16,8,3,2,1,"0,93","1,38","0,07","0,09",25%,28%,48%
4,Piast,Raków,17,7,5,2,1,1,"1,48","0,33","0,09","0,05",68%,25%,7%
4,Stal,Śląsk,11,15,7,4,3,1,"1,33","1,98","0,12","0,13",25%,23%,53%
4,Korona,Górnik Z,20,12,4,3,0,1,"1,52","1,03","0,08","0,09",49%,26%,25%
4,Widzew,ŁKS,10,10,5,3,1,0,"1,19","0,47","0,12","0,05",55%,31%,14%
4,Pogoń,Radomiak,14,12,3,4,0,2,"1,46","1,61","0,10","0,13",34%,25%,41%
4,Puszcza,Legia,9,14,1,5,1,1,"1,48","0,52","0,16","0,04",63%,25%,12%
4,Warta,Ruch,9,9,4,2,2,2,"1,41","0,81","0,16","0,09",52%,27%,20%
5,Zagłębie,Puszcza,14,14,8,4,1,0,"1,32","1,40","0,09","0,10",35%,26%,39%
5,Górnik Z,Widzew,6,14,3,3,1,1,"0,47","0,94","0,08","0,07",18%,36%,46%
5,Radomiak,Warta,11,13,5,5,3,2,"2,14","1,34","0,19","0,10",57%,21%,22%
5,Raków,Stal,16,9,5,2,2,0,"1,55","0,24","0,10","0,03",72%,23%,5%
5,Ruch,Jagiellonia,12,11,3,4,0,1,"0,92","0,91","0,08","0,08",34%,33%,33%
5,ŁKS,Pogoń,13,16,5,4,1,0,"0,63","1,15","0,05","0,07",20%,31%,49%
5,Śląsk,Lech,10,11,3,4,3,1,"0,80","1,29","0,08","0,12",22%,29%,49%
5,Legia,Korona,15,8,5,1,1,0,"0,67","0,41","0,04","0,05",37%,44%,19%
5,Cracovia,Piast,15,13,3,7,1,1,"0,59","2,72","0,04","0,21",5%,11%,84%
6,Stal,Radomiak,5,14,2,3,2,0,"0,41","1,38","0,08","0,10",10%,27%,63%
6,Widzew,Śląsk,14,13,1,5,0,2,"0,96","0,68","0,07","0,05",41%,34%,25%
6,Warta,Cracovia,2,10,0,1,0,0,"0,01","0,63","0,01","0,06",1%,52%,47%
6,Puszcza,ŁKS,14,10,4,3,2,1,"1,64","0,69","0,12","0,07",61%,24%,14%
6,Piast,Ruch,14,7,6,1,0,0,"0,70","1,13","0,05","0,16",22%,31%,47%
6,Korona,Zagłębie,19,7,7,3,2,0,"1,54","0,29","0,08","0,04",70%,23%,6%
6,Jagiellonia,Górnik Z,19,7,8,1,4,1,"2,41","0,33","0,13","0,05",85%,12%,3%
3,Pogoń,Śląsk,14,6,2,3,0,2,"0,92","0,30","0,07","0,05",51%,38%,11%
7,ŁKS,Warta,10,5,1,2,0,2,"0,89","0,98","0,09","0,20",31%,33%,37%
7,Ruch,Stal,16,12,4,4,1,1,"1,51","1,01","0,09","0,08",49%,26%,25%
7,Radomiak,Piast,13,21,3,9,1,1,"1,24","2,06","0,10","0,10",22%,22%,57%
7,Cracovia,Korona,12,6,3,2,0,0,"0,92","0,37","0,08","0,06",49%,37%,14%
7,Lech,Górnik Z,20,6,5,2,1,1,"0,93","1,00","0,05","0,17",31%,32%,37%
7,Śląsk,Jagiellonia,10,7,4,3,2,1,"1,23","0,91","0,12","0,13",44%,30%,27%
7,Zagłębie,Pogoń,18,5,8,1,1,0,"0,90","0,22","0,05","0,04",53%,39%,9%
7,Legia,Widzew,17,8,10,3,3,1,"2,12","0,96","0,12","0,12",65%,20%,15%
7,Raków,Puszcza,13,7,6,1,2,0,"1,31","0,42","0,10","0,06",61%,28%,11%
8,Puszcza,Śląsk,6,18,4,7,1,3,"1,18","2,70","0,20","0,15",12%,16%,71%
8,Górnik Z,Ruch,14,10,3,1,1,0,"0,91","0,73","0,07","0,07",38%,35%,27%
8,Pogoń,Korona,24,10,9,7,3,1,"2,34","1,24","0,10","0,12",62%,19%,18%
8,Raków,ŁKS,9,15,1,5,1,0,"0,67","0,89","0,07","0,06",26%,36%,39%
8,Piast,Legia,9,6,3,3,1,1,"1,76","0,31","0,20","0,05",76%,19%,5%
8,Jagiellonia,Radomiak,11,10,5,4,3,2,"1,11","0,35","0,10","0,04",56%,32%,11%
8,Widzew,Cracovia,11,12,7,3,1,0,"0,48","0,89","0,04","0,07",19%,37%,44%
8,Warta,Lech,6,11,2,5,0,2,"0,26","1,12","0,04","0,10",8%,32%,60%
8,Stal,Zagłębie,16,8,6,4,4,2,"1,02","1,12","0,06","0,14",32%,30%,38%
9,Korona,Widzew,14,6,5,2,1,1,"1,45","0,92","0,10","0,15",49%,27%,23%
9,ŁKS,Jagiellonia,6,14,4,8,2,2,"1,27","1,90","0,21","0,14",24%,24%,52%
9,Radomiak,Puszcza,22,8,4,2,1,1,"3,05","1,91","0,14","0,24",62%,17%,21%
9,Śląsk,Piast,14,9,6,2,1,0,"1,77","0,56","0,13","0,06",68%,22%,10%
9,Cracovia,Pogoń,13,11,3,5,1,5,"2,13","2,42","0,16","0,22",34%,21%,46%
9,Lech,Stal,14,9,5,3,2,1,"1,50","0,45","0,11","0,05",65%,25%,10%
9,Zagłębie,Warta,9,7,2,2,1,0,"0,50","0,31","0,06","0,04",31%,51%,18%
9,Ruch,Raków,13,9,5,7,3,5,"1,67","1,39","0,13","0,15",44%,25%,31%
9,Legia,Górnik Z,15,9,5,3,2,1,"1,79","0,83","0,12","0,09",61%,23%,16%
6,Pogoń,Legia,13,17,5,7,3,4,"0,97","1,69","0,07","0,10",21%,24%,55%
6,Lech,Raków,12,7,6,2,4,1,"2,20","0,58","0,18","0,08",77%,16%,7%
10,Stal,Korona,19,9,9,4,2,3,"2,06","0,70","0,11","0,08",70%,19%,11%
