ZAWODNIK,KLUB,Strzały,G,xG,xG/s,G-xG,non-pen xG,non-pen xG/s,G - xG NON-PEN,KP,AST,xAST,KP-xAST
Ilja Szkurin,Stal,41,16,"7,118","0,174","8,882","6,368","0,159","8,632",29,6,"1,169","4,831"
Erik Exposito,Śląsk,80,19,"9,630","0,120","9,370","4,380","0,060","8,620",40,5,"5,279","-0,279"
Bartłomiej Wdowik,Jagiellonia,32,10,"3,065","0,096","6,935","0,815","0,028","6,185",59,6,"4,674","1,326"
Nene,Jagiellonia,56,9,"3,954","0,071","5,046","3,954","0,071","5,046",30,8,"4,434","3,566"
Mikael Ishak,Lech,49,11,"6,141","0,125","4,859","5,391","0,112","4,609",16,3,"1,668","1,332"
Filip Marchwiński,Lech,34,8,"3,439","0,101","4,561","3,439","0,101","4,561",20,5,"1,548","3,452"
Artur Siemaszko,Puszcza,30,5,"1,116","0,037","3,884","1,116","0,037","3,884",15,1,"1,955","-0,955"
Kristoffer Hansen,Jagiellonia,38,9,"5,140","0,135","3,860","5,140","0,135","3,860",18,3,"1,742","1,258"
Nahuel Leiva,Śląsk,47,9,"4,892","0,104","4,108","3,392","0,075","3,608",43,2,"2,761","-0,761"
Michał Feliks,Ruch,10,5,"1,405","0,140","3,595","1,405","0,140","3,595",7,1,"0,596","0,404"
Tomas Pekhart,Legia,26,8,"4,413","0,170","3,587","4,413","0,170","3,587",4,0,"0,383","-0,383"
Dawid Kurminowski,Zagłębie,55,12,"8,418","0,153","3,582","8,418","0,153","3,582",17,0,"1,164","-1,164"
Piotr Samiec-Talar,Śląsk,40,7,"3,858","0,096","3,142","3,858","0,096","3,142",23,8,"3,320","4,680"
Engjell Hoti,ŁKS,26,4,"0,923","0,035","3,077","0,923","0,035","3,077",15,0,"0,925","-0,925"
Alexander Gorgon,Pogoń,33,8,"5,023","0,152","2,977","5,023","0,152","2,977",30,4,"2,431","1,569"
Mateusz Kupczak,Warta,23,4,"1,044","0,045","2,956","1,044","0,045","2,956",6,0,"0,393","-0,393"
Kristoffer Velde,Lech,67,10,"6,835","0,102","3,165","6,085","0,092","2,915",30,5,"2,420","2,580"
Adam Zrelak,Warta,11,4,"1,186","0,108","2,814","1,186","0,108","2,814",8,1,"0,585","0,415"
Benjamin Kallman,Cracovia,51,9,"6,423","0,126","2,577","6,423","0,126","2,577",38,5,"2,853","2,147"
Fredrik Ulvestad,Pogoń,32,6,"3,438","0,107","2,562","3,438","0,107","2,562",18,3,"1,435","1,565"
Szymon Czyż,Górnik Z,18,4,"1,526","0,085","2,474","1,526","0,085","2,474",15,0,"1,204","-1,204"
Fran Alvarez,Widzew,46,6,"3,539","0,077","2,461","3,539","0,077","2,461",30,4,"2,539","1,461"
Mateusz Matras,Stal,6,3,"0,590","0,098","2,410","0,590","0,098","2,410",12,4,"1,651","2,349"
Giannis Papanikolaou,Raków,16,5,"3,350","0,209","1,650","2,600","0,173","2,400",3,0,"0,161","-0,161"
Martin Remacle,Korona,67,6,"3,605","0,054","2,395","3,605","0,054","2,395",27,1,"1,828","-0,828"
Sanchez Jordi,Widzew,47,8,"6,376","0,136","1,624","5,626","0,122","2,374",16,3,"2,350","0,650"
Jorge Felix,Piast,40,7,"4,642","0,116","2,358","4,642","0,116","2,358",30,7,"4,446","2,554"
Paweł Jaroszyński,Cracovia,13,3,"0,670","0,052","2,330","0,670","0,052","2,330",18,0,"1,281","-1,281"
Kay Tejan,ŁKS,44,7,"4,441","0,101","2,559","3,691","0,086","2,309",25,3,"2,361","0,639"
Władysław Koczerhin,Raków,57,5,"2,700","0,047","2,300","2,700","0,047","2,300",25,2,"2,456","-0,456"
Josue,Legia,55,9,"6,952","0,126","2,048","1,702","0,035","2,298",65,5,"5,011","-0,011"
Afimico Pululu,Jagiellonia,43,12,"9,298","0,216","2,702","4,798","0,130","2,202",22,4,"3,256","0,744"
Mateusz Skrzypczak,Jagiellonia,11,3,"0,888","0,081","2,112","0,888","0,081","2,112",4,1,"0,315","0,685"
Tomasz Swędrowski,Ruch,21,4,"1,992","0,095","2,008","1,992","0,095","2,008",14,1,"1,443","-0,443"
Łukasz Sołowiej,Puszcza,13,6,"3,522","0,271","2,478","2,022","0,184","1,978",3,1,"0,544","0,456"
Michał Rakoczy,Cracovia,68,6,"4,862","0,072","1,138","4,112","0,061","1,888",41,4,"3,333","0,667"
Luka Vusković,Radomiak,19,3,"1,160","0,061","1,840","1,160","0,061","1,840",4,1,"0,309","0,691"
Andrejs Ciganiks,Widzew,22,3,"1,208","0,055","1,792","1,208","0,055","1,792",16,2,"1,867","0,133"
Daisuke Yokota,Górnik Z,26,7,"4,471","0,172","2,529","2,221","0,097","1,779",29,1,"2,243","-1,243"
Jewgienij Szykawka,Korona,46,10,"8,225","0,179","1,775","8,225","0,179","1,775",18,1,"2,093","-1,093"
Mateusz Cholewiak,Puszcza,19,3,"1,239","0,065","1,761","1,239","0,065","1,761",10,3,"1,195","1,805"
Jani Atanasov,Cracovia,50,5,"3,038","0,061","1,962","2,288","0,047","1,712",25,2,"1,724","0,276"
Ronaldo Deaconu,Korona,28,3,"1,289","0,046","1,711","1,289","0,046","1,711",11,0,"0,847","-0,847"
Ernest Muci,Legia,42,4,"2,304","0,055","1,696","2,304","0,055","1,696",10,0,"0,465","-0,465"
Maciej Żurawski,Warta,28,4,"2,310","0,082","1,690","2,310","0,082","1,690",10,0,"0,486","-0,486"
Edi Semedo,Radomiak,26,4,"2,331","0,090","1,669","2,331","0,090","1,669",10,0,"1,286","-1,286"
Mateusz Wdowiak,Zagłębie,39,5,"3,337","0,086","1,663","3,337","0,086","1,663",22,1,"1,358","-0,358"
Jesus Imaz,Jagiellonia,81,12,"10,353","0,128","1,647","10,353","0,128","1,647",32,3,"3,147","-0,147"
Efthymis Koulouris,Pogoń,79,12,"10,371","0,131","1,629","10,371","0,131","1,629",32,2,"2,693","-0,693"
Kamil Glik,Cracovia,7,2,"0,415","0,059","1,585","0,415","0,059","1,585",2,0,"0,084","-0,084"
Otar Kakabadze,Cracovia,17,2,"0,478","0,028","1,522","0,478","0,028","1,522",12,0,"1,256","-1,256"
Dominik Marczuk,Jagiellonia,38,6,"4,484","0,118","1,516","4,484","0,118","1,516",49,10,"6,678","3,322"
Jose Naranjo,Jagiellonia,40,6,"4,518","0,113","1,482","4,518","0,113","1,482",19,2,"1,781","0,219"
Joel Pereira,Lech,10,2,"0,518","0,052","1,482","0,518","0,052","1,482",45,5,"4,762","0,238"
Łukasz Gerstenstein,Stal,10,2,"0,519","0,052","1,481","0,519","0,052","1,481",14,2,"1,259","0,741"
Virgil Ghita,Cracovia,30,4,"2,524","0,084","1,476","2,524","0,084","1,476",10,0,"0,373","-0,373"
Adriel Ba Loua,Lech,27,4,"2,544","0,094","1,456","2,544","0,094","1,456",21,3,"1,991","1,009"
Stipe Jurić,ŁKS,10,4,"2,560","0,256","1,440","2,560","0,256","1,440",2,0,"0,351","-0,351"
Sonny Kittel,Raków,10,3,"1,608","0,161","1,392","1,608","0,161","1,392",17,1,"1,309","-0,309"
Kamil Lukoszek,Górnik Z,23,3,"1,613","0,070","1,387","1,613","0,070","1,387",13,0,"1,129","-1,129"
Jakub Lewicki,Jagiellonia,7,2,"0,660","0,094","1,340","0,660","0,094","1,340",4,0,"0,420","-0,420"
Kaan Caliskaner,Jagiellonia,7,2,"0,675","0,096","1,325","0,675","0,096","1,325",5,1,"0,620","0,380"
Bert Esselink,Stal,11,2,"0,694","0,063","1,306","0,694","0,063","1,306",4,0,"0,251","-0,251"
Radovan Pankov,Legia,8,2,"0,700","0,088","1,300","0,700","0,088","1,300",12,4,"1,337","2,663"
Burak Ince,Śląsk,5,2,"0,708","0,142","1,292","0,708","0,142","1,292",4,0,"0,094","-0,094"
Jesper Karlstrom,Lech,24,2,"0,709","0,030","1,291","0,709","0,030","1,291",10,3,"1,264","1,736"
Antoni Klimek,Widzew,35,3,"1,748","0,050","1,252","1,748","0,050","1,252",17,3,"2,481","0,519"
Husein Balić,ŁKS,16,3,"1,786","0,112","1,214","1,786","0,112","1,214",7,0,"0,640","-0,640"
Aleks Ławniczak,Zagłębie,18,4,"2,790","0,155","1,210","2,790","0,155","1,210",2,0,"0,039","-0,039"
Damian Kądzior,Piast,20,2,"0,795","0,040","1,205","0,795","0,040","1,205",30,1,"2,669","-1,669"
Vagner Dias,Radomiak,11,2,"0,805","0,073","1,195","0,805","0,073","1,195",9,1,"0,905","0,095"
Lawrence Ennali,Górnik Z,46,5,"3,571","0,078","1,429","2,821","0,063","1,179",17,1,"1,721","-0,721"
Kamil Grosicki,Pogoń,94,13,"12,079","0,128","0,921","6,829","0,078","1,171",85,11,"8,483","2,517"
Kacper Chodyna,Zagłębie,59,7,"5,336","0,090","1,664","3,836","0,067","1,164",45,10,"6,013","3,987"
Gustav Berggren,Raków,18,2,"0,865","0,048","1,135","0,865","0,048","1,135",12,1,"0,628","0,372"
Stefan Savić,Warta,18,2,"0,875","0,049","1,125","0,875","0,049","1,125",7,1,"0,618","0,382"
Tomasz Makowski,Zagłębie,22,2,"0,977","0,044","1,023","0,977","0,044","1,023",21,2,"1,363","0,637"
Roman Jakuba,Puszcza,23,4,"2,978","0,129","1,022","2,978","0,129","1,022",19,2,"1,624","0,376"
Karol Knap,Cracovia,25,4,"2,493","0,100","1,507","0,993","0,043","1,007",30,3,"2,760","0,240"
