KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,32","1,35",45%,"13,18","4,12","5,00","4,06","31,25%","9,38%","5,26","1,53","2,82","13,00","2,06","0,09",CRA
Górnik Zabrze,"1,32","1,21",50%,"11,85","4,06","4,29","3,50","34,24%","10,92%","4,88","0,79","2,88","13,21","2,09","0,21",GÓR
Jagiellonia,"2,26","1,32",57%,"12,88","4,88","4,76","3,24","37,90%","17,12%","5,06","2,06","2,50","11,59","2,09","0,06",JAG
Korona Kielce,"1,18","1,29",50%,"12,74","4,09","4,68","3,97","32,10%","8,55%","4,76","1,71","2,53","13,21","2,12","0,03",KOR
Lech Poznań,"1,38","1,21",59%,"11,12","4,29","3,91","2,91","38,62%","12,43%","5,62","1,82","3,15","13,03","2,18","0,09",LPO
Legia Warszawa,"1,50","1,15",57%,"13,50","4,41","5,21","3,88","32,68%","10,68%","6,00","1,68","1,32","13,18","2,47","0,18",LEG
ŁKS Łódź,"1,00","2,21",49%,"10,26","3,15","3,97","3,15","30,66%","9,74%","4,12","1,50","3,53","14,21","2,50","0,18",ŁKS
Piast Gliwice,"1,12","1,03",50%,"11,85","4,00","4,47","3,38","33,75%","9,18%","5,24","1,47","2,18","12,97","2,15","0,09",PIA
Pogoń Szczecin,"1,74","1,12",56%,"14,59","4,91","5,44","4,24","33,67%","11,09%","6,24","1,29","2,65","10,85","1,94","0,06",POG
Puszcza Niepołomice,"1,15","1,44",38%,"10,12","3,38","3,85","2,88","33,43%","11,34%","4,38","1,82","3,74","16,26","2,79","0,12",PUN
Radomiak Radom,"1,21","1,71",49%,"13,00","4,15","5,74","3,12","31,90%","8,82%","5,32","1,50","2,65","13,35","2,59","0,21",RAD
Raków Częstochowa,"1,59","1,15",56%,"13,41","4,94","5,12","3,35","36,84%","10,96%","6,00","1,68","2,26","13,50","2,12","0,09",RCZ
Ruch Chorzów,"1,18","1,62",47%,"11,94","3,68","4,74","3,53","30,79%","9,61%","4,41","1,18","3,00","13,09","2,21","0,15",RCH
Stal Mielec,"1,24","1,41",48%,"9,12","3,50","3,50","2,12","38,39%","13,55%","3,62","1,12","3,38","11,74","1,85","0,12",STM
Śląsk Wrocław,"1,47","0,91",45%,"11,65","4,71","3,97","2,97","40,40%","12,63%","3,71","1,24","2,50","11,41","2,21","0,12",ŚLĄ
Warta Poznań,"0,97","1,26",41%,"8,47","2,85","3,15","2,47","33,68%","10,76%","3,44","1,35","2,97","15,09","2,18","0,06",WAR
Widzew Łódź,"1,32","1,35",53%,"12,15","4,12","4,71","3,32","33,90%","10,41%","5,68","1,82","3,12","11,65","2,29","0,09",WID
Zagłębie Lubin,"1,26","1,47",50%,"13,44","4,68","5,09","3,68","34,79%","9,41%","5,29","1,59","3,29","11,06","1,79","0,18",ZAG
