KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Cracovia,"1,24","0,76",56%,"12,65","4,18","5,18","3,29","33,02%","8,84%","4,94","1,65","2,47","11,47","2,24","0,06",CRA
Górnik Zabrze,"1,59","1,29",49%,"15,35","5,06","6,18","4,12","32,95%","9,96%","6,88","1,41","2,12","11,82","2,06","0,12",GÓR
Jagiellonia,"1,71","1,82",42%,"11,71","4,35","4,47","2,88","37,19%","14,57%","5,59","1,41","2,53","14,65","2,71","0,12",JAG
Korona Kielce,"1,41","0,71",50%,"12,41","4,24","4,94","3,24","34,12%","10,43%","5,18","1,41","3,12","15,06","2,12","0,18",KOR
Lech Poznań,"1,47","1,06",43%,"13,06","4,94","5,35","2,76","37,84%","10,81%","5,71","1,24","2,59","12,88","2,65","0,06",LPO
Legia Warszawa,"1,29","1,47",46%,"10,47","2,47","4,12","3,88","23,60%","12,36%","4,00","1,65","2,29","15,06","2,18","0,00",LEG
ŁKS Łódź,"2,47","0,65",52%,"14,94","5,94","5,35","3,65","39,76%","16,14%","6,24","1,41","2,29","13,24","2,18","0,18",ŁKS
Piast Gliwice,"1,18","0,76",50%,"11,82","3,76","4,71","3,35","31,84%","9,95%","4,53","1,06","2,76","15,12","3,00","0,12",PIA
Pogoń Szczecin,"0,76","1,41",44%,"10,82","3,88","4,12","2,82","35,87%","7,07%","5,24","3,12","2,94","10,18","1,82","0,12",POG
Puszcza Niepołomice,"1,71","0,94",61%,"15,24","5,76","5,53","3,94","37,84%","10,81%","6,94","1,29","1,82","13,12","2,12","0,12",PUN
Radomiak Radom,"1,76","1,24",52%,"12,41","4,29","4,18","3,94","34,60%","12,80%","4,76","1,12","2,71","15,06","2,12","0,06",RAD
Raków Częstochowa,"1,65","1,24",42%,"10,88","4,06","4,18","2,65","37,30%","14,05%","4,06","1,41","3,65","12,88","2,47","0,12",RCZ
Ruch Chorzów,"1,94","1,12",54%,"16,18","5,29","5,94","4,94","32,73%","11,27%","6,65","1,88","2,24","13,18","1,41","0,06",RCH
Stal Mielec,"1,82","1,00",51%,"15,18","5,12","5,94","4,12","33,72%","11,63%","5,94","1,76","1,88","11,18","1,76","0,06",STM
Śląsk Wrocław,"1,00","1,35",57%,"13,06","4,18","5,24","3,65","31,98%","7,66%","5,18","1,94","2,29","12,76","2,53","0,06",ŚLĄ
Warta Poznań,"1,47","0,94",60%,"12,82","5,06","4,82","2,94","39,45%","11,01%","5,94","1,35","2,00","12,35","2,06","0,06",WAR
Widzew Łódź,"1,47","1,41",49%,"12,59","4,94","3,76","3,88","39,25%","11,21%","4,35","2,06","1,94","12,35","1,71","0,06",WID
Zagłębie Lubin,"1,88","1,41",51%,"14,82","5,82","5,12","3,88","39,29%","12,70%","5,71","1,53","2,76","13,24","1,41","0,06",ZAG
