KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,34,51,59,2,58,54,59,22,339,146,193
Arka Gdynia,1,2,4,0,6,4,1,1,19,7,12
Bruk-Bet,3,2,0,0,0,2,5,3,15,5,10
Cracovia,2,5,3,1,1,3,3,0,18,11,7
Górnik Zabrze,3,3,5,0,5,11,2,1,30,11,19
Jagiellonia,2,5,3,0,7,4,4,1,26,10,16
Korona Kielce,2,5,7,0,2,3,6,0,25,14,11
Lech Poznań,0,1,3,0,4,4,4,0,16,4,12
Lechia Gdańsk,1,4,4,0,4,2,4,1,20,9,11
Legia Warszawa,2,3,4,1,4,2,3,2,21,10,11
Piast Gliwice,3,2,2,0,4,4,5,5,25,7,18
Pogoń Szczecin,1,5,2,0,5,2,2,1,18,8,10
Sandecja,1,3,3,0,2,0,7,0,16,7,9
Śląsk Wrocław,2,3,4,0,3,4,3,1,20,9,11
Wisła Kraków,6,5,5,0,3,4,2,1,26,16,10
Wisła Płock,3,2,6,0,4,2,6,0,23,11,12
Zagłębie Lubin,2,1,4,0,4,3,2,5,21,7,14
