KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,78,112,139,15,125,112,148,49,778,344,434
Arka Gdynia,5,6,10,1,9,3,9,5,48,22,26
Bruk-Bet,3,10,12,1,18,7,13,2,66,26,40
Cracovia,4,6,9,0,10,7,15,1,52,19,33
Górnik Zabrze,4,8,5,1,6,10,15,6,55,18,37
Jagiellonia,4,10,3,0,7,4,12,1,41,17,24
Korona Kielce,10,4,10,0,11,11,7,1,54,24,30
Lech Poznań,5,5,4,2,1,9,6,1,33,16,17
Lechia Gdańsk,4,17,9,2,7,9,3,7,58,32,26
Legia Warszawa,2,4,8,0,2,8,9,2,35,14,21
Piast Gliwice,5,4,8,0,3,6,15,4,45,17,28
Pogoń Szczecin,7,7,5,3,8,8,12,4,54,22,32
Sandecja,9,6,10,0,11,7,6,5,54,25,29
Śląsk Wrocław,3,9,12,2,9,8,9,2,54,26,28
Wisła Kraków,4,4,13,0,10,2,8,1,42,21,21
Wisła Płock,6,4,14,3,5,8,3,2,45,27,18
Zagłębie Lubin,3,8,7,0,8,5,6,5,42,18,24
