KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,34,51,59,2,58,54,59,22,339,146,193
Arka Gdynia,3,2,3,0,4,1,2,2,17,8,9
Bruk-Bet,2,5,3,0,8,3,5,1,27,10,17
Cracovia,3,4,5,0,8,4,8,1,33,12,21
Górnik Zabrze,1,4,3,0,3,3,8,1,23,8,15
Jagiellonia,1,6,1,0,4,2,5,0,19,8,11
Korona Kielce,4,1,4,0,4,7,3,1,24,9,15
Lech Poznań,2,3,3,0,1,6,2,0,17,8,9
Lechia Gdańsk,1,8,7,0,3,8,2,3,32,16,16
Legia Warszawa,1,3,2,0,0,2,6,1,15,6,9
Piast Gliwice,2,0,4,0,2,2,3,2,15,6,9
Pogoń Szczecin,3,4,2,1,3,3,8,2,26,10,16
Sandecja,3,2,5,0,3,4,2,2,21,10,11
Śląsk Wrocław,1,0,5,1,5,2,1,1,16,7,9
Wisła Kraków,2,3,5,0,4,2,2,0,18,10,8
Wisła Płock,3,2,5,0,2,3,1,2,18,10,8
Zagłębie Lubin,2,4,2,0,4,2,1,3,18,8,10
