KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,44,61,80,13,67,58,89,27,439,198,241
Arka Gdynia,2,4,7,1,5,2,7,3,31,14,17
Bruk-Bet,1,5,9,1,10,4,8,1,39,16,23
Cracovia,1,2,4,0,2,3,7,0,19,7,12
Górnik Zabrze,3,4,2,1,3,7,7,5,32,10,22
Jagiellonia,3,4,2,0,3,2,7,1,22,9,13
Korona Kielce,6,3,6,0,7,4,4,0,30,15,15
Lech Poznań,3,2,1,2,0,3,4,1,16,8,8
Lechia Gdańsk,3,9,2,2,4,1,1,4,26,16,10
Legia Warszawa,1,1,6,0,2,6,3,1,20,8,12
Piast Gliwice,3,4,4,0,1,4,12,2,30,11,19
Pogoń Szczecin,4,3,3,2,5,5,4,2,28,12,16
Sandecja,6,4,5,0,8,3,4,3,33,15,18
Śląsk Wrocław,2,9,7,1,4,6,8,1,38,19,19
Wisła Kraków,2,1,8,0,6,0,6,1,24,11,13
Wisła Płock,3,2,9,3,3,5,2,0,27,17,10
Zagłębie Lubin,1,4,5,0,4,3,5,2,24,10,14
