SĘDZIA,Śr. ŻK,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia,Mecze
Bartosz Frankowski,"4,12",107,1,5,84,1,1,7,11,1,1,1,1,0,0,0,0,26
Daniel Stefański,"4,36",122,1,5,91,1,3,10,8,9,1,0,0,0,0,0,0,28
Jarosław Przybył,"5,20",130,0,4,104,0,1,7,12,3,1,1,1,0,0,0,0,25
Krzysztof Jakubik,"4,22",114,1,3,86,1,2,8,13,3,1,0,1,0,0,0,0,27
Mariusz Złotek,"4,25",102,1,3,88,0,1,1,8,2,2,0,0,0,0,0,1,24
Paweł Gil,"4,15",83,2,4,67,2,1,6,4,4,1,0,0,0,0,0,0,20
Paweł Raczkowski,"5,36",118,1,5,97,1,4,3,7,5,0,1,1,0,0,0,0,22
Piotr Lasyk,"4,85",63,3,7,45,2,0,2,14,1,0,0,1,0,0,0,1,13
Szymon Marciniak,"3,92",94,1,2,77,1,2,5,9,0,1,0,0,0,0,0,0,24
Tomasz Kwiatkowski,"4,13",124,3,7,97,3,8,5,9,3,0,0,2,0,0,0,0,30
Tomasz Musiał,"4,20",105,2,6,93,2,1,1,3,6,1,0,0,0,0,0,0,25
Zbigniew Dobrynin,"3,54",46,2,2,37,1,1,4,4,0,0,0,0,0,0,0,1,13
Łukasz Szczech,"4,56",41,0,1,29,0,1,3,5,3,0,0,0,0,0,0,0,9
Dominik Sulikowski,"5,20",26,0,0,23,0,0,2,0,0,1,0,0,0,0,0,0,5
Yusuke Araki,"5,00",10,0,1,6,0,0,2,1,1,0,0,0,0,0,0,0,2
Artur Aluszyk,"5,00",10,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,2
Wojciech Myć,"6,00",6,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1
