ZAWODNIK,KLUB,GOL,ASYSTY,KANADYJSKA,CZAS,MIN/GOL,MIN/G+AS
Jakub Świerczok,Zagłębie Lubin,16,3,19,1645,"102,8","86,6"
Łukasz Sekulski,Jagiellonia,4,2,6,600,"150,0","100,0"
Carlitos,Wisła Kraków,24,7,31,3198,"133,3","103,2"
Igor Angulo,Górnik Zabrze,22,3,25,2878,"130,8","115,1"
Miroslav Radović,Legia Warszawa,2,2,4,475,"237,5","118,8"
Christian Gytkjaer,Lech Poznań,19,1,20,2428,"127,8","121,4"
Jarosław Niezgoda,Legia Warszawa,13,2,15,1857,"142,8","123,8"
Krzysztof Piątek,Cracovia,21,4,25,3155,"150,2","126,2"
Adam Buksa,Zagłębie/Pogoń,5,2,7,942,"188,4","134,6"
Semir Stilić,Wisła Płock,4,8,12,1616,"404,0","134,7"
Marco Paixao,Lechia Gdańsk,16,2,18,2428,"151,8","134,9"
Maciej Makuszewski,Lech Poznań,5,5,10,1349,"269,8","134,9"
Nika Kaczarawa,Korona Kielce,7,6,13,1802,"257,4","138,6"
Adam Frączczak,Pogoń Szczecin,14,5,19,2662,"190,1","140,1"
Arvydas Novikovas,Jagiellonia,9,8,17,2382,"264,7","140,1"
Armando Sadiku,Legia Warszawa,2,4,6,846,"423,0","141,0"
Darko Jevtić,Lech Poznań,5,7,12,1746,"349,2","145,5"
Marcin Robak,Śląsk Wrocław,19,0,19,2812,"148,0","148,0"
Joao Oliveira,Lechia Gdańsk,3,2,5,768,"256,0","153,6"
Kamil Biliński,Wisła Płock,5,0,5,773,"154,6","154,6"
Goran Cvijanović,Korona Kielce,8,3,11,1737,"217,1","157,9"
Arkadiusz Piech,Śląsk Wrocław,10,3,13,2080,"208,0","160,0"
Mateusz Piątkowski,Wisła Płock,2,2,4,649,"324,5","162,3"
Kasper Hamalainen,Legia Warszawa,8,6,14,2293,"286,6","163,8"
Karol Świderski,Jagiellonia,5,2,7,1156,"231,2","165,1"
Michał Kucharczyk,Legia Warszawa,7,4,11,1836,"262,3","166,9"
Michal Papadopulos,Piast Gliwice,9,1,10,1721,"191,2","172,1"
Rafał Kurzawa,Górnik Zabrze,2,16,18,3145,"1572,5","174,7"
Jakub Mares,Zagłębie Lubin,4,3,7,1228,"307,0","175,4"
Gabriel Iancu,Bruk-Bet,2,2,4,702,"351,0","175,5"
Patryk Tuszyński,Zagłębie Lubin,5,1,6,1067,"213,4","177,8"
Jacek Kiełb,Korona Kielce,6,2,8,1481,"246,8","185,1"
Fedor Cernych,Jagiellonia,3,6,9,1669,"556,3","185,4"
Mateusz Szwoch,Arka Gdynia,10,4,14,2598,"259,8","185,6"
Łukasz Wolsztyński,Górnik Zabrze,4,7,11,2111,"527,8","191,9"
Damian Kądzior,Górnik Zabrze,10,5,15,2906,"290,6","193,7"
Sebastian Szymański,Legia Warszawa,4,2,6,1190,"297,5","198,3"
Jesus Imaz,Wisła Kraków,8,3,11,2188,"273,5","198,9"
Flavio Paixao,Lechia Gdańsk,10,3,13,2607,"260,7","200,5"
Cristian Pasquato,Legia Warszawa,2,3,5,1004,"502,0","200,8"
Jose Kante,Wisła Płock,9,1,10,2055,"228,3","205,5"
Elia Soriano,Korona Kielce,5,0,5,1043,"208,6","208,6"
Cillian Sheridan,Jagiellonia,6,1,7,1482,"247,0","211,7"
Adrian Danek,Sandecja,3,4,7,1483,"494,3","211,9"
Filip Starzyński,Zagłębie Lubin,6,3,9,1928,"321,3","214,2"
Sławomir Peszko,Lechia Gdańsk,4,5,9,1931,"482,8","214,6"
Deniss Rakels,Lech/Cracovia,1,4,5,1075,"1075,0","215,0"
Nico Varela,Wisła Płock,8,2,10,2162,"270,3","216,2"
Roman Bezjak,Jagiellonia,3,1,4,902,"300,7","225,5"
Giorgi Merebaszwili,Wisła Płock,5,5,10,2282,"456,4","228,2"
Kamil Jóźwiak,Lech Poznań,3,1,4,916,"305,3","229,0"
Filip Piszczek,Sandecja,6,2,8,1916,"319,3","239,5"
Karol Angielski,Piast Gliwice,2,2,4,959,"479,5","239,8"
Robert Pich,Śląsk Wrocław,6,5,11,2639,"439,8","239,9"
Jakub Kosecki,Śląsk Wrocław,4,4,8,1934,"483,5","241,8"
Roman Gergel,Bruk-Bet,3,3,6,1462,"487,3","243,7"
Aleksandyr Kolew,Sandecja,7,3,10,2459,"351,3","245,9"
Samuel Stefanik,Bruk-Bet,6,2,8,1993,"332,2","249,1"
Bartosz Kwiecień,Jagiellonia,3,1,4,1021,"340,3","255,3"
Gerard Badia,Piast Gliwice,2,2,4,1037,"518,5","259,3"
Patryk Lipski,Lechia Gdańsk,1,4,5,1302,"1302,0","260,4"
Sasa Zivec,Piast Gliwice,6,2,8,2086,"347,7","260,8"
Szymon Drewniak,Cracovia,0,6,6,1574,-,"262,3"
Milos Krasić,Lechia Gdańsk,1,4,5,1355,"1355,0","271,0"
Vladislavs Gutkovskis,Bruk-Bet,3,1,4,1092,"364,0","273,0"
Alan Uryga,Wisła Płock,4,1,5,1372,"343,0","274,4"
Mario Situm,Lech Poznań,2,4,6,1671,"835,5","278,5"
Michał Helik,Cracovia,8,2,10,2802,"350,3","280,2"
Ruben Jurado,Arka Gdynia,5,0,5,1402,"280,4","280,4"
Przemysław Frankowski,Jagiellonia,4,5,9,2565,"641,3","285,0"
Rafał Siemaszko,Arka Gdynia,5,0,5,1444,"288,8","288,8"
Bartłomiej Pawłowski,Zagłębie Lubin,3,3,6,1745,"581,7","290,8"
Martin Bukata,Piast Gliwice,2,3,5,1456,"728,0","291,2"
Łukasz Piątek,Bruk-Bet,6,3,9,2649,"441,5","294,3"
