ZAWODNIK,KLUB,GOLE,LN,PN,G,Inne
Carlitos,Wisła Kraków,24,0,24,0,0
Igor Angulo,Górnik Zabrze,22,15,5,2,0
Krzysztof Piątek,Cracovia,21,0,16,5,0
Christian Gytkjaer,Lech Poznań,19,4,14,1,0
Marcin Robak,Śląsk Wrocław,19,5,10,4,0
Jakub Świerczok,Zagłębie Lubin,16,4,7,5,0
Marco Paixao,Lechia Gdańsk,16,0,9,7,0
Adam Frączczak,Pogoń Szczecin,14,2,11,1,0
Jarosław Niezgoda,Legia Warszawa,13,4,6,2,1
Damian Kądzior,Górnik Zabrze,10,8,2,0,0
Arkadiusz Piech,Śląsk Wrocław,10,2,6,2,0
Flavio Paixao,Lechia Gdańsk,10,1,5,4,0
Mateusz Szwoch,Arka Gdynia,10,0,10,0,0
Arvydas Novikovas,Jagiellonia,9,8,1,0,0
Michal Papadopulos,Piast Gliwice,9,0,3,6,0
Jose Kante,Wisła Płock,9,3,5,1,0
Kasper Hamalainen,Legia Warszawa,8,2,6,0,0
Michał Helik,Cracovia,8,0,3,5,0
Nico Varela,Wisła Płock,8,1,7,0,0
Goran Cvijanović,Korona Kielce,8,1,6,1,0
Jesus Imaz,Wisła Kraków,8,1,7,0,0
Michał Kucharczyk,Legia Warszawa,7,1,6,0,0
Aleksandyr Kolew,Sandecja,7,4,2,1,0
Mateusz Wieteska,Górnik Zabrze,7,0,2,5,0
Nika Kaczarawa,Korona Kielce,7,1,6,0,0
Filip Starzyński,Zagłębie Lubin,6,0,6,0,0
Cillian Sheridan,Jagiellonia,6,2,2,2,0
Łukasz Trałka,Lech Poznań,6,1,2,3,0
Łukasz Piątek,Bruk-Bet,6,2,4,0,0
Wojciech Trochim,Sandecja,6,4,2,0,0
Sasa Zivec,Piast Gliwice,6,1,5,0,0
Robert Pich,Śląsk Wrocław,6,1,5,0,0
Jacek Kiełb,Korona Kielce,6,2,4,0,0
Samuel Stefanik,Bruk-Bet,6,0,6,0,0
Filip Piszczek,Sandecja,6,0,2,4,0
Piotr Celeban,Śląsk Wrocław,5,0,0,5,0
Maciej Makuszewski,Lech Poznań,5,1,3,1,0
Kamil Biliński,Wisła Płock,5,1,3,1,0
Ruben Jurado,Arka Gdynia,5,1,2,2,0
Martin Pospisil,Jagiellonia,5,1,4,0,0
Taras Romanczuk,Jagiellonia,5,2,2,1,0
Adam Buksa,Zagłębie/Pogoń,5,3,0,2,0
Giorgi Merebaszwili,Wisła Płock,5,4,1,0,0
Rafał Siemaszko,Arka Gdynia,5,0,1,4,0
Elia Soriano,Korona Kielce,5,1,4,0,0
Patryk Tuszyński,Zagłębie Lubin,5,3,2,0,0
Kamil Drygas,Pogoń Szczecin,5,2,2,1,0
Javi Hernandez,Cracovia,5,4,1,0,0
Darko Jevtić,Lech Poznań,5,4,1,0,0
Karol Świderski,Jagiellonia,5,3,1,1,0
Spas Delew,Pogoń Szczecin,5,3,2,0,0
Dani Suarez,Górnik Zabrze,4,0,3,1,0
Łukasz Sekulski,Jagiellonia,4,0,4,0,0
Łukasz Wolsztyński,Górnik Zabrze,4,1,3,0,0
Jakub Kosecki,Śląsk Wrocław,4,2,2,0,0
Rafał Boguski,Wisła Kraków,4,1,1,1,1
Maciej Gajos,Lech Poznań,4,0,2,2,0
Ivan Jukić,Korona Kielce,4,1,2,1,0
Sławomir Peszko,Lechia Gdańsk,4,1,3,0,0
Sebastian Szymański,Legia Warszawa,4,4,0,0,0
Damian Szymański,Wisła Płock,4,1,3,0,0
Przemysław Frankowski,Jagiellonia,4,0,4,0,0
Semir Stilić,Wisła Płock,4,3,1,0,0
