SĘDZIA,M,RZK,ŚR.RZK,ARK,BBT,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,PIA,POG,SAN,ŚLĄ,WIS,WPŁ,ZAG
Bartosz Frankowski,26,5,"0,19",0/0,0/0,0/1,2/0,0/0,0/0,0/2,0/0,0/2,0/0,0/0,1/0,0/0,1/0,0/0,1/0
Daniel Stefański,28,13,"0,46",0/0,0/0,0/1,1/1,4/1,2/1,1/1,1/0,0/1,0/1,0/0,1/1,1/2,1/2,1/1,0/0
Dominik Sulikowski,5,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Jarosław Przybył,25,2,"0,08",0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/1,0/0,0/0,0/0,1/0,0/1,0/0,0/0
Krzysztof Jakubik,27,18,"0,67",1/0,0/2,2/1,1/2,1/0,3/2,1/0,0/1,0/0,0/1,1/0,0/2,1/3,3/0,3/2,1/2
Łukasz Szczech,9,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Mariusz Złotek,24,12,"0,50",3/1,1/3,3/1,0/0,1/1,0/1,1/0,0/0,1/1,0/0,1/2,0/0,0/0,0/0,0/1,1/1
Paweł Gil,20,4,"0,20",0/1,0/0,1/0,0/0,0/1,0/0,0/1,0/1,0/0,0/0,0/0,0/0,2/0,0/0,1/0,0/0
Paweł Raczkowski,22,13,"0,59",3/1,0/1,2/0,0/4,3/0,0/1,0/0,0/1,0/0,2/1,2/0,0/0,0/2,1/1,0/1,0/0
Piotr Lasyk,13,6,"0,46",0/0,0/1,1/0,2/0,0/0,0/2,0/0,0/1,2/0,0/2,0/0,0/0,0/0,1/0,0/0,0/0
Szymon Marciniak,24,12,"0,50",0/2,1/1,0/1,1/0,0/1,0/1,0/1,1/1,2/0,1/2,2/0,1/1,2/1,0/0,0/0,1/0
Tomasz Kwiatkowski,30,9,"0,30",0/1,1/1,0/1,0/1,0/0,1/0,0/0,2/1,0/0,1/0,0/1,0/0,2/1,0/1,1/1,1/0
Tomasz Musiał,25,6,"0,24",0/0,1/0,0/0,0/0,0/2,1/0,1/1,1/1,1/1,0/0,0/1,0/0,0/0,0/0,1/0,0/0
Zbigniew Dobrynin,13,10,"0,77",3/1,0/2,1/1,0/0,0/0,1/1,0/0,0/1,0/0,0/0,1/0,0/2,3/1,0/0,1/0,0/1
Artur Aluszyk,2,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Wojciech Myć,1,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
Yusuke Araki (JAP),2,0,"0,00",0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0
