,ARK,BBT,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,PIA,POG,SAN,ŚLĄ,WIS,WPŁ,ZAG,D,W,91:86,84:63,93:58,87:85,73:74,76:72,54:76,79:69,81:73,79:46,74:66,89:52,84:67,87:82,67:70,62:71,
ARK,X,6:2,9:4,5:3,7:5,2:5,7:3,1:4,6:4,4:2,4:3,3:4,5:9,5:7,8:4,2:5,74:64
BBT,3:16,X,4:3,8:11,6:2,4:5,2:2,4:3,3:5,7:1,3:7,5:4,9:3,5:4,2:4,3:4,68:74
CRA,8:7,7:2,X,3:7,7:8,3:5,3:4,6:5,4:3,2:3,7:3,3:4,6:4,7:6,3:7,3:5,72:73
GÓR,6:9,3:5,4:2,X,4:0,3:2,2:7,11:5,5:11,2:2,1:10,9:3,8:1,3:6,8:7,5:2,74:72
JAG,9:2,5:5,5:3,8:3,X,3:3,6:4,6:4,5:3,5:3,7:1,6:2,5:6,9:2,2:3,4:9,85:53
KOR,12:7,5:4,10:6,2:5,1:4,X,9:4,3:9,6:5,7:5,7:2,6:3,9:2,10:4,4:5,4:0,95:65
LPO,6:4,7:5,10:4,8:1,11:3,6:6,X,3:3,10:4,12:2,7:6,8:4,8:3,11:5,4:4,6:5,117:59
LGD,6:5,6:6,9:5,5:7,5:5,8:5,3:5,X,4:8,2:1,5:1,9:4,2:4,6:7,6:5,3:7,79:75
LEG,7:7,6:7,4:7,14:8,5:6,9:7,3:8,5:7,X,7:5,4:3,8:1,3:4,8:2,5:3,5:6,93:81
PIA,3:3,4:2,0:6,6:4,4:3,4:7,1:6,5:5,4:2,X,2:5,9:3,4:4,3:2,4:4,3:2,56:58
POG,7:4,8:6,12:3,8:7,4:5,9:2,4:1,12:2,9:8,3:1,X,2:4,4:4,3:6,2:6,6:2,93:61
SAN,4:3,7:5,5:4,8:1,0:9,5:9,2:10,5:7,2:5,7:1,4:6,X,3:6,4:11,7:3,2:6,65:86
ŚLĄ,8:6,5:6,5:4,0:11,3:10,2:6,3:6,3:5,7:1,4:3,0:6,5:5,X,5:5,5:2,3:7,58:83
WIS,4:6,5:2,6:3,5:5,6:2,9:2,1:6,6:3,6:4,3:5,11:5,2:4,5:9,X,4:9,8:6,81:71
WPŁ,5:6,4:4,6:1,6:1,4:4,4:4,2:7,3:4,8:1,8:7,6:3,7:3,8:3,4:9,X,5:5,80:62
ZAG,3:1,6:2,4:3,1:11,6:8,5:4,6:3,6:3,2:9,6:5,6:5,7:4,5:5,4:6,3:4,X,70:73
