Trener,M,Z,R,P,BZ,BS,ŚR GOLI,ŚR PKT,% zwycięstw,Dni w klubie
Tadeusz Pawłowski,99,35,34,30,126,129,"2,58","1,40","35,4%",92
Leszek Ojrzyński,45,13,13,19,55,61,"2,58","1,16","28,9%",407
Jerzy Brzęczek,37,17,6,14,53,45,"2,65","1,54","45,9%",315
Michał Probierz,37,13,11,13,51,52,"2,78","1,35","35,1%",335
Ireneusz Mamrot,37,20,7,10,55,41,"2,59","1,81","54,1%",344
Gino Lettieri,37,12,13,12,49,54,"2,78","1,32","32,4%",351
Marcin Brosz,37,16,12,9,68,54,"3,30","1,62","43,2%",718
Waldemar Fornalik,28,6,11,11,31,32,"2,25","1,04","21,4%",245
Kosta Runjaić,22,10,6,6,34,28,"2,82","1,64","45,5%",197
Mariusz Lewandowski,20,7,7,6,23,24,"2,35","1,40","35,0%",175
Joan Carrillo,16,6,6,4,21,16,"2,31","1,50","37,5%",141
Kazimierz Moskal,16,2,6,8,14,24,"2,38","0,75","12,5%",154
Jacek Zieliński,14,4,3,7,16,27,"3,07","1,07","28,6%",91
Piotr Stokowiec,11,3,3,5,12,16,"2,55","1,09","27,3%",78
Dean Klafurić,6,5,1,0,12,3,"2,50","2,67","83,3%",37
Rafał Ulatowski,2,0,1,1,1,4,"2,50","0,50","0,0%",12
,,,,,,,,,Średnia dni,231
