KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,% GOLI ZZA,% skut. ZZA
Arka,"12,65","6,41","24,05%","50,64%","15,56%","2,95%"
Bruk-Bet,"12,51","5,30","19,39%","42,33%","8,33%","1,53%"
Cracovia,"12,76","5,51","24,02%","43,22%","6,12%","1,47%"
Górnik,"14,11","6,62","27,76%","46,93%","17,46%","4,49%"
Jagiellonia,"13,70","5,24","22,68%","38,26%","11,32%","3,09%"
Korona,"13,49","6,46","25,94%","47,90%","12,77%","2,51%"
Lech,"13,08","5,30","29,59%","40,50%","13,46%","3,57%"
Lechia,"9,59","3,54","28,24%","36,90%","6,82%","2,29%"
Legia,"12,22","4,86","36,11%","39,82%","19,23%","5,56%"
Piast,"12,05","5,68","31,43%","47,09%","25,64%","4,76%"
Pogoń,"13,32","5,97","28,51%","44,83%","11,36%","2,26%"
Sandecja,"10,38","4,78","22,03%","46,09%","12,90%","2,26%"
Śląsk,"11,30","4,65","21,51%","41,15%","8,00%","2,33%"
Wisła K,"11,05","4,35","29,81%","39,36%","17,65%","5,59%"
Wisła P,"11,84","4,78","25,99%","40,41%","7,84%","2,26%"
Zagłębie,"12,32","5,59","27,05%","45,39%","8,89%","1,93%"
