KLUB,śr./mecz,Zza/mecz,% celn zza,% ogółu zza,% GOLI ZZA,% skut. ZZA
Arka,"13,46","5,57","24,76%","41,37%","8,89%","1,94%"
Bruk-Bet,"13,16","5,76","24,41%","43,74%","16,92%","5,16%"
Cracovia,"14,05","6,11","27,43%","43,46%","21,57%","4,87%"
Górnik,"13,54","6,11","28,76%","45,11%","13,46%","3,10%"
Jagiellonia,"10,95","4,73","27,43%","43,21%","15,79%","3,43%"
Korona,"11,05","4,73","28,00%","42,79%","13,73%","4,00%"
Lech,"9,38","4,51","28,74%","48,13%","16,67%","2,99%"
Lechia,"11,73","4,65","29,07%","39,63%","8,77%","2,91%"
Legia,"11,54","4,78","25,42%","41,45%","5,88%","1,13%"
Piast,"12,11","5,35","25,25%","44,20%","13,33%","3,03%"
Pogoń,"10,35","4,57","24,26%","44,13%","17,65%","5,33%"
Sandecja,"14,22","5,89","28,90%","41,44%","7,69%","1,83%"
Śląsk,"13,49","5,65","22,49%","41,88%","9,26%","2,39%"
Wisła K,"14,19","6,59","24,59%","46,48%","7,50%","1,23%"
Wisła P,"10,84","4,49","25,90%","41,40%","17,78%","4,82%"
Zagłębie,"12,32","5,57","28,64%","45,18%","7,14%","1,46%"
