POZ.,KLUB,MECZE,PUNKTY,Z,R,P,S/P,S/P PRZECIW,B PKT
1.,Legia Warszawa,37,78,25,3,9,15,6,+8
2.,Jagiellonia Białystok,37,69,20,9,8,13,8,+2
3.,Lech Poznań,37,63,18,9,10,6,4,+3
4.,Górnik Zabrze,37,61,17,10,10,11,10,+1
5.,Wisła Kraków,37,56,16,8,13,11,11,+1
6.,Cracovia,37,55,15,10,12,9,4,+5
7.,Wisła Płock,37,55,16,7,14,6,8,-2
8.,Pogoń Szczecin,37,53,16,5,16,8,7,+8
9.,Korona Kielce,37,46,12,10,15,9,9,-3
10.,Zagłębie Lubin,37,46,11,13,13,6,9,-6
11.,Arka Gdynia,37,43,11,10,16,2,6,0
12.,Piast Gliwice,37,41,11,8,18,8,11,+4
13.,Lechia Gdańsk,37,40,9,13,15,5,9,0
14.,Bruk-Bet Nieciecza,37,39,10,9,18,9,8,+3
15.,Śląsk Wrocław,37,38,10,8,19,7,13,-12
16.,Sandecja Nowy Sącz,37,31,5,16,16,6,8,-2
