POZ.,KLUB,MECZE,PUNKTY,Z,R,P,GOLE RAZEM,GOLE PL,GOLE ZAGR,% GOLI PL,B PKT
1.,Śląsk Wrocław,37,76,22,10,5,50,43,7,"86,0%",+26
2.,Zagłębie Lubin,37,66,18,12,7,44,36,8,"81,8%",+14
3.,Legia Warszawa,37,60,15,15,7,54,28,26,"51,9%",-10
4.,Wisła Płock,37,60,16,12,9,53,27,26,"50,9%",+1
5.,Górnik Zabrze,37,56,15,11,11,65,38,27,"58,5%",-1
6.,Arka Gdynia,37,51,12,15,10,46,34,12,"73,9%",+8
7.,Cracovia,37,51,12,15,10,51,32,19,"62,7%",+1
8.,Jagiellonia Białystok,37,51,12,15,10,55,22,33,"40,0%",-16
9.,Pogoń Szczecin,37,48,11,15,11,46,33,13,"71,7%",+3
10.,Lech Poznań,37,48,11,15,11,53,20,33,"37,7%",-12
11.,Korona Kielce,37,43,9,16,12,49,18,31,"36,7%",-6
12.,Sandecja Nowy Sącz,37,40,9,13,15,34,21,13,"61,8%",+7
13.,Piast Gliwice,37,35,6,17,14,41,13,28,"31,7%",-2
14.,Wisła Kraków,37,31,4,19,14,51,11,40,"21,6%",-25
15.,Bruk-Bet Nieciecza,37,30,6,12,19,39,16,23,"41,0%",-6
16.,Lechia Gdańsk,37,30,5,15,17,46,12,34,"26,1%",-10
