KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,17,10,3,4,15,1,2,12
Bruk-Bet,14,8,3,3,22,1,5,16
Cracovia,17,9,6,2,18,4,3,11
Górnik Zabrze,21,12,7,2,14,3,4,7
Jagiellonia,18,15,1,2,16,5,3,8
Korona Kielce,12,9,3,0,21,3,6,12
Lech Poznań,17,14,3,0,12,2,2,8
Lechia Gdańsk,13,8,3,2,21,1,7,13
Legia Warszawa,24,21,1,2,10,0,1,9
Piast Gliwice,12,8,4,0,19,0,4,15
Pogoń Szczecin,15,12,1,2,16,0,2,14
Sandecja,11,5,5,1,21,1,5,15
Śląsk Wrocław,19,12,6,1,17,1,4,12
Wisła Kraków,22,13,5,4,12,2,2,8
Wisła Płock,19,14,2,3,17,3,3,11
Zagłębie Lubin,16,11,4,1,16,2,4,10
