KLUB,1. STRZELA,Z,R,P,1. TRACI,Z,R,P
Arka Gdynia,7,3,1,3,9,0,1,8
Bruk-Bet,5,2,1,2,13,0,3,10
Cracovia,8,5,1,2,9,1,1,7
Górnik Zabrze,9,5,2,2,9,2,2,5
Jagiellonia,11,9,0,2,6,1,2,3
Korona Kielce,5,3,2,0,11,0,5,6
Lech Poznań,5,3,2,0,7,1,1,5
Lechia Gdańsk,7,4,1,2,10,1,3,6
Legia Warszawa,9,7,0,2,6,0,1,5
Piast Gliwice,6,4,2,0,12,0,3,9
Pogoń Szczecin,7,5,0,2,8,0,0,8
Sandecja,5,2,3,0,12,0,2,10
Śląsk Wrocław,6,2,3,1,12,0,2,10
Wisła Kraków,13,7,4,2,4,0,0,4
Wisła Płock,9,6,2,1,9,1,1,7
Zagłębie Lubin,7,5,2,0,11,1,4,6
