KLUB,Z HT,Z,R,P,R HT,Z,R,P,P HT,Z,R,P
Arka Gdynia,6,6,0,0,9,2,6,1,4,0,0,4
Bruk-Bet,4,1,1,2,10,6,2,2,4,0,1,3
Cracovia,6,4,2,0,8,1,5,2,5,2,1,2
Górnik Zabrze,9,6,3,0,6,2,4,0,3,0,1,2
Jagiellonia,5,5,0,0,12,5,3,4,2,0,1,1
Korona Kielce,7,6,1,0,8,3,2,3,3,0,0,3
Lech Poznań,10,10,0,0,4,2,2,0,4,0,1,3
Lechia Gdańsk,4,3,1,0,7,1,3,3,7,0,3,4
Legia Warszawa,8,8,0,0,8,6,1,1,3,0,0,3
Piast Gliwice,3,2,1,0,11,2,6,3,3,0,0,3
Pogoń Szczecin,5,4,1,0,11,3,5,3,3,0,0,3
Sandecja,4,1,2,1,7,2,4,1,7,1,2,4
Śląsk Wrocław,8,7,1,0,8,3,4,1,3,1,1,1
Wisła Kraków,4,2,1,1,9,5,3,1,5,1,0,4
Wisła Płock,4,3,0,1,11,6,2,3,4,1,1,2
Zagłębie Lubin,6,5,1,0,9,2,5,2,3,0,0,3
