KLUB\DZIEŃ,pt Z,pt R,pt P,sb Z,sb R,sb P,nd Z,nd R,nd P,pn Z,pn R,pn P,wt Z,wt R,wt P,śr Z,śr R,śr P
Arka Gdynia,2,4,3,3,1,9,3,3,4,1,1,0,2,0,0,0,1,0
Bruk-Bet,1,2,3,6,3,5,1,0,9,0,1,2,1,3,0,0,0,0
Cracovia,1,3,1,5,6,5,4,0,3,2,2,2,1,0,1,0,0,1
Górnik Zabrze,2,4,1,8,4,2,5,2,4,1,0,1,0,0,1,0,2,0
Jagiellonia,3,2,2,4,3,3,8,1,4,2,1,1,2,0,0,1,0,0
Korona Kielce,3,3,2,5,5,4,2,0,4,2,3,1,0,0,1,0,2,0
Lech Poznań,3,2,2,1,4,2,10,5,4,1,0,0,0,0,0,1,1,1
Lechia Gdańsk,4,2,6,3,7,3,0,0,3,1,3,2,1,1,0,0,0,1
Legia Warszawa,4,0,0,3,3,7,13,1,3,0,0,0,1,0,1,1,0,0
Piast Gliwice,1,4,2,6,6,6,1,2,3,0,0,3,0,0,2,0,1,0
Pogoń Szczecin,0,0,4,9,5,6,1,2,4,1,1,1,0,0,1,1,1,0
Sandecja,1,3,1,1,9,11,4,1,3,0,0,0,0,1,1,0,1,0
Śląsk Wrocław,6,3,4,3,5,2,2,2,2,1,0,3,1,1,1,0,0,1
Wisła Kraków,5,1,1,5,4,2,3,2,6,0,2,3,0,0,0,2,1,0
Wisła Płock,2,1,4,8,1,5,4,2,3,3,1,0,0,0,1,0,1,1
Zagłębie Lubin,0,8,2,4,2,2,4,1,6,4,1,0,1,0,0,0,1,1
