KLUB,DLA xG,G DLA,PRZECIW xG,G PRZECIW
Arka Gdynia,"38,96",45,"42,87",45
Bruk-Bet Nieciecza,"41,03",36,"48,49",65
Cracovia,"47,24",49,"43,51",51
Górnik Zabrze,"45,56",63,"44,57",52
Jagiellonia Białystok,"52,75",53,"37,65",38
Korona Kielce,"45,36",47,"41,76",51
Lech Poznań,"42,35",52,"29,59",30
Lechia Gdańsk,"38,48",44,"48,87",57
Legia Warszawa,"42,50",52,"39,76",34
Piast Gliwice,"34,31",39,"41,41",45
Pogoń Szczecin,"44,39",44,"35,50",51
Sandecja Nowy Sącz,"32,49",31,"46,56",52
Śląsk Wrocław,"42,56",50,"51,44",54
Wisła Kraków,"41,15",51,"42,53",40
Wisła Płock,"45,34",51,"39,84",45
Zagłębie Lubin,"40,14",45,"40,24",42
