KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,42","0,89",49%,"13,84","4,11","6,00","3,74","29,66%","9,89%","5,26","1,21","2,84","19,32","2,58","0,11",ARK
Bruk-Bet,"1,33","1,50",49%,"11,89","3,78","5,72","2,39","31,78%","10,28%","4,78","1,72","2,39","16,50","1,72","0,06",BBT
Cracovia,"1,74","1,74",48%,"13,84","5,11","5,68","3,05","36,88%","12,55%","4,89","1,89","3,00","12,37","1,89","0,00",CRA
Górnik Zabrze,"1,94","1,28",47%,"14,00","4,78","5,94","3,28","34,13%","13,10%","5,17","2,72","3,00","15,56","1,56","0,06",GÓR
Jagiellonia,"1,53","1,00",53%,"15,21","5,05","6,63","3,53","33,22%","10,03%","5,74","2,00","2,37","13,37","2,05","0,00",JAG
Korona Kielce,"1,33","1,33",53%,"14,67","5,28","6,00","3,39","35,98%","8,71%","6,22","2,33","2,44","15,83","2,00","0,06",KOR
Lech Poznań,"1,95","0,95",55%,"15,37","6,32","5,89","3,16","41,10%","12,67%","7,74","1,47","2,21","13,37","1,68","0,05",LPO
Lechia Gdańsk,"1,44","1,78",54%,"10,11","3,72","4,33","2,06","36,81%","13,74%","5,50","2,94","2,61","16,17","1,56","0,06",LGD
Legia Warszawa,"1,74","0,79",56%,"14,11","5,37","5,47","3,26","38,06%","11,94%","5,89","2,00","3,84","13,00","1,74","0,26",LEG
Piast Gliwice,"0,83","1,00",50%,"12,06","3,89","4,50","3,67","32,26%","7,37%","4,00","2,50","2,72","13,44","1,44","0,06",PIA
Pogoń Szczecin,"1,47","1,37",57%,"14,37","5,32","5,58","3,47","37,00%","9,89%","6,21","2,79","2,11","15,47","2,53","0,00",POG
Sandecja,"1,00","1,17",47%,"10,39","3,61","4,22","2,56","34,76%","8,02%","4,50","1,89","2,83","17,33","2,94","0,22",SAN
Śląsk Wrocław,"1,58","0,84",49%,"12,26","4,58","5,21","2,47","37,34%","12,88%","4,00","2,58","2,84","15,63","2,37","0,11",ŚLĄ
Wisła Kraków,"1,39","1,00",54%,"12,17","4,50","4,83","2,83","36,99%","11,42%","5,11","2,22","3,56","15,72","2,89","0,11",WIS
Wisła Płock,"1,58","0,95",49%,"12,11","4,58","5,26","2,26","37,83%","12,61%","5,11","1,05","2,32","16,63","1,95","0,05",WPŁ
Zagłębie Lubin,"1,33","1,00",51%,"13,00","4,50","5,78","2,72","34,62%","10,26%","4,83","2,28","2,94","13,72","2,28","0,11",ZAG
