KLUB,BR Z,BR S,POS,STRZ,STRZ C,STRZ NC,STRZ Z,% STRZ C *,% BR/STRZ *,RZR,SP,OBR BR *,FAULE,Ż,CZ,KLUB
Arka Gdynia,"1,06","1,72",47%,"11,39","4,06","4,72","2,61","35,61%","9,27%","5,50","1,56","4,00","17,61","2,17","0,06",ARK
Bruk-Bet,"0,79","2,05",50%,"13,11","3,58","6,79","2,74","27,31%","5,62%","4,58","1,53","3,74","15,63","2,37","0,11",BBT
Cracovia,"1,00","1,06",43%,"11,61","3,50","5,72","2,39","30,14%","7,66%","3,94","1,89","3,22","14,11","2,33","0,06",CRA
Górnik Zabrze,"1,74","1,63",43%,"14,21","5,42","5,16","3,63","38,15%","11,11%","4,95","2,68","3,26","16,05","2,53","0,21",GÓR
Jagiellonia,"1,44","1,22",49%,"12,11","3,94","5,28","2,89","32,57%","11,01%","4,61","1,61","2,67","12,94","2,17","0,06",JAG
Korona Kielce,"1,32","1,58",50%,"12,37","4,16","5,58","2,63","33,62%","10,21%","4,47","2,74","2,95","17,00","2,32","0,16",KOR
Lech Poznań,"0,89","0,89",52%,"10,67","3,39","4,72","2,56","31,77%","7,81%","4,83","1,94","2,50","14,33","2,33","0,17",LPO
Lechia Gdańsk,"1,05","1,37",51%,"9,11","3,68","4,16","1,26","40,46%","10,98%","4,26","2,37","3,37","15,84","2,89","0,16",LGD
Legia Warszawa,"1,22","1,11",53%,"10,22","3,78","4,33","2,11","36,96%","10,87%","4,61","2,56","2,50","12,56","2,22","0,11",LEG
Piast Gliwice,"1,32","1,58",48%,"12,05","4,00","5,00","3,05","33,19%","10,04%","3,68","1,47","3,05","13,63","2,16","0,05",PIA
Pogoń Szczecin,"1,00","1,56",53%,"12,22","4,22","5,00","3,00","34,55%","7,73%","4,11","2,94","2,72","15,28","2,50","0,17",POG
Sandecja,"0,84","1,74",43%,"10,37","2,58","5,47","2,32","24,87%","8,12%","3,84","1,63","4,26","15,89","2,00","0,05",SAN
Śląsk Wrocław,"1,11","2,11",47%,"10,28","3,17","4,22","2,89","30,81%","10,81%","4,39","2,39","4,11","16,06","2,17","0,06",ŚLĄ
Wisła Kraków,"1,37","1,26",49%,"10,00","3,89","4,16","1,95","38,95%","13,68%","5,21","1,84","3,32","15,16","2,21","0,05",WIS
Wisła Płock,"1,28","1,50",49%,"11,56","4,33","4,83","2,39","37,50%","10,58%","4,72","1,56","2,56","15,22","2,89","0,17",WPŁ
Zagłębie Lubin,"1,11","1,26",52%,"11,68","3,95","5,05","2,68","33,78%","9,46%","5,68","2,05","3,32","14,58","1,84","0,05",ZAG
