KLUB,D-Z,ŚRD-Z,W-Z,ŚRW-Z,RAZEM,2794807,9442,,
ARK,154588,8136,149323,8296
BBT,49989,2777,123091,6478
CRA,92045,4844,166760,9264
GÓR,340551,18920,238185,12536
JAG,208911,10995,183477,10193
KOR,134364,7465,177120,9322
LPO,393241,20697,223659,12426
LGD,194228,10790,172459,9077
LEG,322747,16987,283176,15732
PIA,79484,4416,130847,6887
POG,124021,6527,124271,6904
SAN,30328,1685,156436,8233
ŚLĄ,204211,10748,129216,7179
WIS,259581,14421,221553,11661
WPŁ,95013,5001,169133,9396
ZAG,111505,6195,146101,7690
