KLUB,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,Średnia,DR,ŚREDNIA,"27,38","26,99","26,88","27,17","27,10","27,16","27,03","27,03","27,32","27,24","27,32","27,39","26,88","27,46","27,33","27,38","27,32","27,27","27,24","27,47","27,11","28,08","27,96","27,76","28,07","28,28","27,85","28,07","27,89","27,47","27,45","27,36","27,62","27,43","27,05","27,51","26,82",,
Arka Gdynia,"29,00","27,73","27,36","27,55","27,91","28,36","26,00","28,00","27,82","28,00","27,00","26,73","27,09","27,27","27,64","27,55","27,82","27,82","27,73","27,73","28,45","27,82","28,55","27,55","28,55","28,27","27,09","27,00","27,91","27,00","28,45","28,36","28,64","28,45","26,91","28,55","28,91","27,80",ARK
Bruk-Bet Nieciecza,"27,82","27,18","27,55","27,64","27,36","27,00","27,09","27,55","27,09","28,45","27,18","28,36","28,36","28,82","28,27","28,27","27,82","27,91","28,18","27,91","27,09","29,36","29,45","29,27","29,55","29,91","28,73","29,36","29,00","29,00","28,91","29,09","28,64","28,91","28,00","28,18","28,18","28,28",BBT
Cracovia,"24,18","23,36","23,45","25,45","25,91","26,45","25,64","24,55","24,91","26,09","25,73","25,73","24,36","25,91","26,00","25,00","25,18","24,82","24,73","24,00","23,91","26,91","26,45","27,09","27,09","26,91","26,82","27,27","26,36","27,09","26,45","26,18","25,27","25,27","24,91","25,00","24,18","25,53",CRA
Górnik Zabrze,"23,64","23,64","23,64","23,64","23,64","23,64","24,00","23,09","24,00","24,00","24,45","24,45","23,73","24,36","24,45","24,45","24,45","24,45","24,45","23,91","24,00","24,00","25,55","24,36","24,36","25,18","24,91","25,55","24,09","23,00","24,09","23,73","23,27","23,27","24,45","25,36","23,64","24,13",GÓR
Jagiellonia Białystok,"26,91","28,64","28,45","28,55","28,55","27,91","27,91","26,18","26,55","26,64","28,09","28,82","26,73","27,18","26,82","27,36","27,36","28,09","27,18","26,73","27,82","27,18","27,91","28,36","28,36","28,36","28,45","28,55","28,55","27,64","27,45","28,09","28,09","28,00","28,09","28,09","28,09","27,78",JAG
Korona Kielce,"25,73","25,82","25,36","25,36","25,36","26,27","26,27","26,00","26,27","26,45","26,27","26,00","25,73","27,09","26,55","26,82","26,55","26,27","26,64","27,00","26,36","27,36","27,36","27,91","27,00","27,45","27,00","27,45","27,36","25,91","27,73","26,36","27,82","26,45","27,45","27,18","26,45","26,61",KOR
Lech Poznań,"26,91","26,27","26,91","26,73","28,18","27,55","27,00","27,00","27,64","28,09","27,09","26,91","26,82","27,45","27,00","27,45","26,64","26,18","26,64","26,64","26,36","27,09","28,00","26,45","27,45","28,18","28,27","28,27","28,55","27,09","27,73","27,82","27,64","27,27","26,64","28,09","28,09","27,30",LPO
Lechia Gdańsk,"28,27","28,09","27,27","29,00","29,55","27,55","28,73","28,27","29,27","27,64","28,00","28,00","26,45","27,82","28,27","28,27","28,18","29,27","30,27","30,09","28,27","27,55","27,55","29,09","27,82","27,73","28,91","26,91","28,82","28,27","27,27","27,64","27,18","26,82","26,82","27,82","24,55","28,03",LGD
Legia Warszawa,"28,45","27,55","28,09","28,09","28,64","28,73","29,64","29,09","29,45","28,82","28,64","29,91","29,91","29,91","30,09","29,45","29,45","29,45","29,27","28,64","28,64","28,55","30,27","28,82","29,73","31,91","28,36","30,18","29,64","28,82","28,18","29,45","28,64","28,82","29,09","29,45","28,64","29,15",LEG
Piast Gliwice,"27,00","26,45","26,18","25,82","26,27","27,09","27,45","27,45","27,73","28,73","26,73","25,64","25,00","26,18","26,18","27,36","26,73","28,18","27,64","27,00","25,36","30,18","28,82","28,82","29,45","28,82","28,82","28,82","28,82","28,36","28,91","28,00","28,36","28,64","28,27","28,55","28,27","27,62",PIA
