ZAWODNIK,KLUB,ŻK,CZK BEZP,CZK,żk faul,czk faul,żk ręka,żk rywal,żk sędzia,żk czas,żk syml,żk ciesz,żk inne,czk ręka,czk rywal,czk inne,czk sędzia
Łukasz Burliga,Jagiellonia,15,0,1,14,0,0,1,0,0,0,0,0,0,0,0,0
Płamen Kraczunow,Sandecja,12,0,1,10,0,1,0,0,1,0,0,0,0,0,0,0
Dominik Furman,Wisła Płock,12,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0
Dani Suarez,Górnik Zabrze,11,0,2,9,0,1,0,0,1,0,0,0,0,0,0,0
Kamil Drygas,Pogoń Szczecin,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Damian Szymański,Wisła Płock,11,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0
Artem Putiwcew,Bruk-Bet,10,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0
Ołeksij Dytiatjew,Cracovia,10,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
Jakub Kosecki,Śląsk Wrocław,10,0,0,5,0,0,2,2,1,0,0,0,0,0,0,0
Pol Llonch,Wisła Kraków,10,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0
Dawid Sołdecki,Arka Gdynia,9,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
Miroslav Covilo,Cracovia,9,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0
Daniel Łukasik,Lechia Gdańsk,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Sedlar,Piast Gliwice,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Piotrowski,Pogoń Szczecin,9,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0
Sito Riera,Śląsk Wrocław,9,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0
Jose Kante,Wisła Płock,9,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0
Sasa Balić,Zagłębie Lubin,9,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
Adam Marciniak,Arka Gdynia,8,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0
Grzegorz Piesio,Arka Gdynia,8,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
Michał Marcjanik,Arka Gdynia,8,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0
Michał Nalepa I,Arka Gdynia,8,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0
Rafał Grzelak,Bruk-Bet,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Adam Wolniewicz,Górnik Zabrze,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Taras Romanczuk,Jagiellonia,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
Mateusz Możdżeń,Korona Kielce,8,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0
Emir Dilaver,Lech Poznań,8,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0
Michal Papadopulos,Piast Gliwice,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
Michal Piter-Bućko,Sandecja,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Robak,Śląsk Wrocław,8,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0
Arkadiusz Głowacki,Wisła Kraków,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Jakub Tosik,Zagłębie Lubin,8,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Wieteska,Górnik Zabrze,7,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
