KLUB,1'-15',16'-30',31'-45',45+',46'-60',61'-75',76'-90',90+',RAZEM,I POŁ,II POŁ,RAZEM,101,121,121,21,136,134,148,41,823,364,459
Arka Gdynia,5,3,6,1,9,8,12,5,49,15,34
Cracovia,3,5,7,0,8,11,7,4,45,15,30
Górnik Zabrze,5,5,9,1,7,7,13,1,48,20,28
Jagiellonia,4,9,6,2,12,12,7,3,55,21,34
Korona Kielce,5,5,10,1,7,5,6,3,42,21,21
Lech Poznań,5,9,6,2,9,5,10,3,49,22,27
Lechia Gdańsk,12,8,9,1,6,10,8,0,54,30,24
Legia Warszawa,4,7,8,1,8,7,16,4,55,20,35
Miedź Legnica,9,3,7,3,1,10,5,2,40,22,18
Piast Gliwice,8,15,6,1,6,12,7,2,57,30,27
Pogoń Szczecin,6,10,8,1,10,11,11,0,57,25,32
Śląsk Wrocław,10,8,4,2,10,5,7,3,49,24,25
Wisła Kraków,5,12,13,2,15,8,10,2,67,32,35
Wisła Płock,3,9,9,0,9,10,5,5,50,21,29
Zagłębie Lubin,11,7,8,2,4,7,16,2,57,28,29
Zagłębie Sosnowiec,6,6,5,1,15,6,8,2,49,18,31
