ZAWODNIK,KLUB,L % celn,P % celn,G % celn,R,R celn,% R celn,R Gole,Strzały/gol,GOL/R,KP
Igor Angulo,Górnik Zabrze,"51,8%","57,1%","55,2%",128,68,"53,1%",24,"5,33","18,8%",36
Petteri Forsell,Miedź Legnica,"43,3%","43,6%","0,0%",109,47,"43,1%",13,"8,38","11,9%",62
Carlitos,Legia Warszawa,"47,1%","45,3%","50,0%",94,43,"45,7%",16,"5,88","17,0%",40
Bartłomiej Pawłowski,Zagłębie Lubin,"26,7%","39,1%","40,0%",104,37,"35,6%",8,"13,00","7,7%",35
Flavio Paixao,Lechia Gdańsk,"35,7%","38,9%","47,6%",89,36,"40,4%",15,"5,93","16,9%",34
Jesus Imaz,Wisła K/Jagiellonia,"45,8%","50,0%","12,5%",78,35,"44,9%",16,"4,88","20,5%",29
Radosław Majewski,Pogoń Szczecin,"36,7%","33,8%","100,0%",99,35,"35,4%",8,"12,38","8,1%",62
Vamara Sanogo,Zagłębie Sosnowiec,"44,7%","40,0%","57,1%",74,33,"44,6%",11,"6,73","14,9%",24
Javi Hernandez,Cracovia,"38,0%","35,7%","25,0%",89,33,"37,1%",10,"8,90","11,2%",45
Marcin Robak,Śląsk Wrocław,"54,5%","37,2%","33,3%",77,32,"41,6%",18,"4,28","23,4%",41
Filip Starzyński,Zagłębie Lubin,"33,3%","39,1%","0,0%",82,31,"37,8%",13,"6,31","15,9%",66
Elia Soriano,Korona Kielce,"42,9%","43,4%","12,5%",75,30,"40,0%",14,"5,36","18,7%",31
Ricardinho,Wisła Płock,"57,1%","42,5%","46,7%",62,28,"45,2%",10,"6,20","16,1%",25
Luka Zarandia,Arka Gdynia,"37,7%","60,0%","100,0%",68,28,"41,2%",5,"13,60","7,4%",30
Michał Janota,Arka Gdynia,"37,5%","75,0%",-,68,27,"39,7%",10,"6,80","14,7%",54
Maciej Jankowski,Arka Gdynia,"66,7%","40,7%","60,0%",51,26,"51,0%",10,"5,10","19,6%",45
Damjan Bohar,Zagłębie Lubin,"71,4%","63,3%","50,0%",39,25,"64,1%",10,"3,90","25,6%",34
Adam Buksa,Pogoń Szczecin,"56,5%","45,5%","58,3%",46,25,"54,3%",11,"4,18","23,9%",15
Kamil Drygas,Pogoń Szczecin,"43,3%","27,8%","50,0%",61,25,"41,0%",10,"6,10","16,4%",43
Airam Cabrera,Cracovia,"37,0%","50,0%","66,7%",63,25,"39,7%",14,"4,50","22,2%",24
Joao Amaral,Lech Poznań,"28,6%","40,0%","25,0%",68,25,"36,8%",8,"8,50","11,8%",32
Szymon Żurkowski,Górnik Zabrze,"26,7%","30,4%","0,0%",87,25,"28,7%",3,"29,00","3,4%",38
Marko Kolar,Wisła Kraków,"80,0%","54,5%","25,0%",42,23,"54,8%",11,"3,82","26,2%",14
Christian Gytkjaer,Lech Poznań,"50,0%","34,9%","29,4%",66,23,"34,8%",12,"5,50","18,2%",24
Arvydas Novikovas,Jagiellonia,"27,3%","38,5%",-,79,23,"29,1%",9,"8,78","11,4%",33
Joel Valencia,Piast Gliwice,"26,9%","40,0%","100,0%",62,22,"35,5%",6,"10,33","9,7%",39
Jesus Jimenez,Górnik Zabrze,"66,7%","30,4%","25,0%",66,22,"33,3%",5,"13,20","7,6%",63
Zdenek Ondrasek,Wisła Kraków,"40,0%","55,0%","57,1%",42,21,"50,0%",11,"3,82","26,2%",26
Felicio Brown Forbes,Korona Kielce,"42,9%","65,0%","28,6%",42,20,"47,6%",3,"14,00","7,1%",11
Karol Świderski,Jagiellonia,"48,0%","40,0%","50,0%",42,20,"47,6%",8,"5,25","19,0%",13
Matej Pućko,Korona Kielce,"42,9%","42,5%",-,47,20,"42,6%",5,"9,40","10,6%",37
Mateusz Wdowiak,Cracovia,"42,9%","42,5%","0,0%",51,20,"39,2%",3,"17,00","5,9%",36
Robert Pich,Śląsk Wrocław,"40,0%","34,1%","50,0%",55,20,"36,4%",6,"9,17","10,9%",37
Szymon Pawłowski,Zagłębie Sosnowiec,"7,1%","33,3%",-,71,20,"28,2%",5,"14,20","7,0%",69
Patryk Tuszyński,Zagłębie Lubin,"0,0%","60,0%","60,0%",37,19,"51,4%",10,"3,70","27,0%",35
Giorgi Merebaszwili,Wisła Płock,"33,3%","35,3%","100,0%",48,18,"37,5%",6,"8,00","12,5%",17
Jorge Felix,Piast Gliwice,"71,4%","26,8%","40,0%",53,18,"34,0%",6,"8,83","11,3%",39
Mateusz Możdżeń,Korona/Zagłębie S,"11,1%","37,8%",-,54,18,"33,3%",4,"13,50","7,4%",28
Mateusz Cholewiak,Śląsk Wrocław,"34,3%","25,0%","33,3%",56,18,"32,1%",4,"14,00","7,1%",21
Piotr Parzyszek,Piast Gliwice,"26,3%","41,7%","21,4%",57,18,"31,6%",9,"6,33","15,8%",25
Sebastian Szymański,Legia Warszawa,"25,9%","33,3%","50,0%",65,18,"27,7%",2,"32,50","3,1%",67
Martin Kostal,Wisła K/Jagiellonia,"60,0%","38,9%","0,0%",42,17,"40,5%",2,"21,00","4,8%",20
Lukas Haraslin,Lechia Gdańsk,"30,0%","28,9%","50,0%",57,17,"29,8%",4,"14,25","7,0%",32
Dominik Furman,Wisła Płock,"25,0%","28,8%","0,0%",62,17,"27,4%",6,"10,33","9,7%",80
Dominik Nagy,Legia Warszawa,"40,0%","25,0%","33,3%",42,16,"38,1%",5,"8,40","11,9%",36
Wato Arweladze,Korona Kielce,"20,0%","36,8%","100,0%",44,16,"36,4%",4,"11,00","9,1%",34
Pedro Tiba,Lech Poznań,"20,0%","30,6%","0,0%",56,16,"28,6%",4,"14,00","7,1%",49
Zvonimir Kozulj,Pogoń Szczecin,"11,1%","28,6%","0,0%",68,16,"23,5%",9,"7,56","13,2%",40
Artur Sobiech,Lechia Gdańsk,"71,4%","58,3%","30,0%",29,15,"51,7%",7,"4,14","24,1%",16
Żarko Udovicić,Zagłębie Sosnowiec,"40,0%","60,0%","0,0%",36,15,"41,7%",10,"3,60","27,8%",56
Walerian Gwilia,Górnik Zabrze,"42,9%","40,0%","0,0%",39,15,"38,5%",1,"39,00","2,6%",44
Aleksandyr Kolew,Arka Gdynia,"55,6%","0,0%","44,4%",28,14,"50,0%",1,"28,00","3,6%",8
Nico Varela,Wisła Płock,"0,0%","52,2%","50,0%",31,14,"45,2%",1,"31,00","3,2%",25
Taras Romanczuk,Jagiellonia,"27,3%","66,7%","60,0%",35,14,"40,0%",1,"35,00","2,9%",28
Paweł Zieliński,Miedź Legnica,"60,0%","52,9%","50,0%",24,13,"54,2%",3,"8,00","12,5%",24
Filip Jagiełło,Zagłębie Lubin,"0,0%","37,1%",-,36,13,"36,1%",3,"12,00","8,3%",26
Henrik Ojamaa,Miedź Legnica,"16,7%","36,4%",-,39,13,"33,3%",3,"13,00","7,7%",34
Michal Papadopulos,Piast Gliwice,"0,0%","42,9%","31,8%",39,13,"33,3%",5,"7,80","12,8%",8
Patryk Dziczek,Piast Gliwice,"36,4%","28,0%","50,0%",40,13,"32,5%",3,"13,33","7,5%",15
Filip Mladenović,Lechia Gdańsk,"35,1%","0,0%",-,41,13,"31,7%",3,"13,67","7,3%",68
MIchał Kucharczyk,Legia Warszawa,"37,5%","28,6%","33,3%",42,13,"31,0%",4,"10,50","9,5%",35
Kasper Hamalainen,Legia Warszawa,"100,0%","28,6%","50,0%",26,12,"46,2%",2,"13,00","7,7%",11
Marcin Cebula,Korona Kielce,"80,0%","30,8%",-,31,12,"38,7%",3,"10,33","9,7%",30
Rafał Augustyniak,Miedź Legnica,"40,0%","34,8%","40,0%",33,12,"36,4%",2,"16,50","6,1%",16
Ivan Jukić,Korona Kielce,"62,5%","27,3%","0,0%",34,12,"35,3%",3,"11,33","8,8%",23
Konrad Wrzesiński,Zagłębie Sosnowiec,"27,3%","40,9%","0,0%",34,12,"35,3%",3,"11,33","8,8%",31
Cafu,Legia Warszawa,"100,0%","27,0%","33,3%",41,12,"29,3%",4,"10,25","9,8%",27
Juan Camara,Miedź Legnica,"23,1%","0,0%","0,0%",58,12,"20,7%",3,"19,33","5,2%",38
Aleksandar Sedlar,Piast Gliwice,-,"50,0%","33,3%",24,11,"45,8%",6,"4,00","25,0%",3
Zlatko Janjić,Korona Kielce,"50,0%","42,1%","40,0%",26,11,"42,3%",1,"26,00","3,8%",16
Mateusz Szczepaniak,Cracovia/Miedź,"33,3%","53,3%","16,7%",30,11,"36,7%",3,"10,00","10,0%",17
Michał Nalepa II,Lechia Gdańsk,"100,0%","11,1%","42,9%",31,11,"35,5%",3,"10,33","9,7%",4
Jakub Żubrowski,Korona Kielce,"25,0%","33,3%","0,0%",35,11,"31,4%",0,-,"0,0%",37
Michał Chrapek,Śląsk Wrocław,"33,3%","25,0%","50,0%",38,11,"28,9%",3,"12,67","7,9%",38
Michał Nalepa I,Arka Gdynia,"36,4%","24,1%",-,40,11,"27,5%",2,"20,00","5,0%",19
Iker Guarrotxena,Pogoń Szczecin,"66,7%","22,6%","33,3%",40,11,"27,5%",5,"8,00","12,5%",14
Arkadiusz Piech,Śląsk Wrocław,"30,8%","31,8%","0,0%",41,11,"26,8%",2,"20,50","4,9%",14
Damian Zbozień,Arka Gdynia,"100,0%","46,2%","66,7%",18,10,"55,6%",5,"3,60","27,8%",37
Iuri Medeiros,Legia Warszawa,"66,7%","0,0%","0,0%",18,10,"55,6%",3,"6,00","16,7%",8
Rafał Siemaszko,Arka Gdynia,"60,0%","44,4%","37,5%",22,10,"45,5%",2,"11,00","9,1%",2
Krzysztof Drzazga,Wisła Kraków,"40,0%","40,0%","40,0%",25,10,"40,0%",5,"5,00","20,0%",18
Patryk Lipski,Lechia Gdańsk,"100,0%","37,5%","0,0%",27,10,"37,0%",6,"4,50","22,2%",28
Oskar Zawada,Wisła Płock,"55,6%","22,2%","33,3%",27,10,"37,0%",6,"4,50","22,2%",8
Roman Bezjak,Jagiellonia,"75,0%","28,6%","33,3%",28,10,"35,7%",3,"9,33","10,7%",7
Tom Hateley,Piast Gliwice,"14,3%","40,0%","100,0%",28,10,"35,7%",4,"7,00","14,3%",51
Sławomir Peszko,Lechia/Wisła K,"55,6%","26,3%","0,0%",29,10,"34,5%",3,"9,67","10,3%",8
Tomasz Jodłowiec,Piast Gliwice,"40,0%","28,6%","15,4%",35,10,"28,6%",4,"8,75","11,4%",14
Kamil Zapolnik,Górnik Zabrze,"100,0%","40,0%","80,0%",13,9,"69,2%",2,"6,50","15,4%",27
Sebastian Kowalczyk,Pogoń Szczecin,"50,0%","50,0%",-,18,9,"50,0%",2,"9,00","11,1%",23
Cillian Sheridan,Jagiellonia,"41,7%","100,0%","50,0%",19,9,"47,4%",3,"6,33","15,8%",14
Olaf Nowak,Zagłębie Sosnowiec,"100,0%","46,7%","33,3%",19,9,"47,4%",4,"4,75","21,1%",2
Adnan Kovacević,Korona Kielce,"0,0%","50,0%","50,0%",20,9,"45,0%",2,"10,00","10,0%",9
Przemysław Frankowski,Jagiellonia,"40,0%","37,5%","100,0%",22,9,"40,9%",3,"7,33","13,6%",14
Mateusz Radecki,Śląsk Wrocław,"66,7%","44,4%","30,0%",22,9,"40,9%",4,"5,50","18,2%",12
Cornel Rapa,Cracovia,"75,0%","27,3%","37,5%",23,9,"39,1%",1,"23,00","4,3%",23
Rafał Boguski,Wisła Kraków,"40,0%","37,5%","33,3%",24,9,"37,5%",2,"12,00","8,3%",26
Marcin Budziński,Cracovia,-,"37,5%",-,24,9,"37,5%",0,-,"0,0%",16
Rafał Pietrzak,Wisła Kraków,"36,4%","50,0%",-,24,9,"37,5%",3,"8,00","12,5%",45
Sasa Balić,Zagłębie Lubin,"44,4%","33,3%","30,8%",25,9,"36,0%",1,"25,00","4,0%",13
Filip Piszczek,Cracovia,"12,5%","22,2%","42,9%",31,9,"29,0%",6,"5,17","19,4%",10
Alan Uryga,Wisła Płock,"0,0%","12,5%","40,0%",31,9,"29,0%",3,"10,33","9,7%",15
Joan Roman,Miedź Legnica,"50,0%","28,6%","0,0%",32,9,"28,1%",5,"6,40","15,6%",13
Fabian Piasecki,Miedź Legnica,"0,0%","28,6%","33,3%",34,9,"26,5%",1,"34,00","2,9%",25
Kamil Jóźwiak,Lech Poznań,"0,0%","26,5%","0,0%",41,9,"22,0%",3,"13,67","7,3%",34
Mateusz Matras,Zagłębie L/Górnik,"50,0%","55,6%","50,0%",14,8,"57,1%",3,"4,67","21,4%",11
