ZAWODNIK,KLUB,R,R celn,% R celn,R Gole,ZZA,ZZA celn,ZZA %,ZZA Gole,ZZA GOL/ZZA
Petteri Forsell,Miedź Legnica,109,47,"43,1%",13,80,32,"40,0%",5,"6,3%"
Radosław Majewski,Pogoń Szczecin,99,35,"35,4%",8,65,21,"32,3%",3,"4,6%"
Szymon Żurkowski,Górnik Zabrze,87,25,"28,7%",3,64,17,"26,6%",1,"1,6%"
Michał Janota,Arka Gdynia,68,27,"39,7%",10,49,15,"30,6%",3,"6,1%"
Igor Angulo,Górnik Zabrze,128,68,"53,1%",24,34,14,"41,2%",4,"11,8%"
Filip Starzyński,Zagłębie Lubin,82,31,"37,8%",13,54,14,"25,9%",1,"1,9%"
Javi Hernandez,Cracovia,89,33,"37,1%",10,52,13,"25,0%",2,"3,8%"
Luka Zarandia,Arka Gdynia,68,28,"41,2%",5,39,13,"33,3%",0,"0,0%"
Bartłomiej Pawłowski,Zagłębie Lubin,104,37,"35,6%",8,43,12,"27,9%",1,"2,3%"
Joao Amaral,Lech Poznań,68,25,"36,8%",8,41,12,"29,3%",1,"2,4%"
Szymon Pawłowski,Zagłębie Sosnowiec,71,20,"28,2%",5,39,12,"30,8%",2,"5,1%"
Zvonimir Kozulj,Pogoń Szczecin,68,16,"23,5%",9,50,12,"24,0%",7,"14,0%"
Dominik Furman,Wisła Płock,62,17,"27,4%",6,49,11,"22,4%",3,"6,1%"
Vamara Sanogo,Zagłębie Sosnowiec,74,33,"44,6%",11,24,10,"41,7%",1,"4,2%"
Mateusz Możdżeń,Korona/Zagłębie S,54,18,"33,3%",4,40,10,"25,0%",1,"2,5%"
Wato Arweladze,Korona Kielce,44,16,"36,4%",4,31,10,"32,3%",3,"9,7%"
Pedro Tiba,Lech Poznań,56,16,"28,6%",4,37,10,"27,0%",2,"5,4%"
Filip Mladenović,Lechia Gdańsk,41,13,"31,7%",3,29,10,"34,5%",2,"6,9%"
Ricardinho,Wisła Płock,62,28,"45,2%",10,23,9,"39,1%",1,"4,3%"
