ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,G rez,AS rez,G 1-0/0-1,G I POŁ,G II POŁ
Igor Angulo,Górnik Zabrze,24,3,27,2,0,6,7,17
Carlitos,Legia Warszawa,16,6,22,1,1,6,4,12
Marcin Robak,Śląsk Wrocław,18,2,20,0,0,7,9,9
Filip Starzyński,Zagłębie Lubin,13,6,19,0,0,4,4,9
Żarko Udovicić,Zagłębie Sosnowiec,10,9,19,0,0,2,4,6
Jesus Imaz,Wisła K/Jagiellonia,16,3,19,2,0,5,7,9
Christian Gytkjaer,Lech Poznań,12,5,17,0,0,5,7,5
Damjan Bohar,Zagłębie Lubin,10,7,17,1,1,3,6,4
Zvonimir Kozulj,Pogoń Szczecin,9,8,17,0,0,1,3,6
Flavio Paixao,Lechia Gdańsk,15,1,16,0,0,7,8,7
Airam Cabrera,Cracovia,14,2,16,0,0,5,7,7
Elia Soriano,Korona Kielce,14,1,15,0,0,4,9,5
Michał Janota,Arka Gdynia,10,5,15,0,0,5,4,6
Maciej Jankowski,Arka Gdynia,10,5,15,1,1,2,1,9
Arvydas Novikovas,Jagiellonia,9,5,14,0,0,2,1,8
Petteri Forsell,Miedź Legnica,13,1,14,1,0,3,7,6
Vamara Sanogo,Zagłębie Sosnowiec,11,3,14,1,1,2,6,5
Jesus Jimenez,Górnik Zabrze,5,9,14,0,0,2,4,1
Bartłomiej Pawłowski,Zagłębie Lubin,8,5,13,0,0,4,4,4
Zdenek Ondrasek,Wisła Kraków,11,2,13,0,0,5,7,4
Marko Kolar,Wisła Kraków,11,2,13,1,1,3,6,5
Kamil Drygas,Pogoń Szczecin,10,3,13,0,0,5,6,4
Dominik Furman,Wisła Płock,6,7,13,0,0,3,3,3
Robert Pich,Śląsk Wrocław,6,7,13,0,0,4,5,1
Adam Buksa,Pogoń Szczecin,11,2,13,0,0,5,6,5
Piotr Parzyszek,Piast Gliwice,9,4,13,1,0,7,6,3
Patryk Tuszyński,Zagłębie Lubin,10,2,12,0,0,3,6,4
Ricardinho,Wisła Płock,10,2,12,0,0,5,4,6
Dominik Nagy,Legia Warszawa,5,7,12,1,0,2,3,2
Javi Hernandez,Cracovia,10,2,12,2,0,2,2,8
Radosław Majewski,Pogoń Szczecin,8,4,12,0,0,4,4,4
Filip Mladenović,Lechia Gdańsk,3,9,12,0,0,2,2,1
Joel Valencia,Piast Gliwice,6,4,10,0,0,3,4,2
Joao Amaral,Lech Poznań,8,2,10,1,0,3,3,5
Matej Pućko,Korona Kielce,5,5,10,0,0,2,1,4
Jorge Felix,Piast Gliwice,6,3,9,0,0,3,4,2
Karol Świderski,Jagiellonia,8,1,9,0,0,2,3,5
Konrad Wrzesiński,Zagłębie Sosnowiec,3,6,9,0,0,0,0,3
Lukas Haraslin,Lechia Gdańsk,4,5,9,1,0,1,2,2
Michał Chrapek,Śląsk Wrocław,3,6,9,0,0,2,3,0
Filip Jagiełło,Zagłębie Lubin,3,6,9,0,2,0,2,1
Szymon Pawłowski,Zagłębie Sosnowiec,5,4,9,0,1,0,2,3
Guilherme Sitya,Jagiellonia,2,7,9,0,0,1,2,0
Artur Sobiech,Lechia Gdańsk,7,2,9,2,0,3,5,2
Darko Jevtić,Lech Poznań,3,5,8,0,0,1,2,1
Giorgi Merebaszwili,Wisła Płock,6,2,8,1,0,1,2,4
Michal Papadopulos,Piast Gliwice,5,3,8,1,0,1,2,3
Tom Hateley,Piast Gliwice,4,4,8,1,0,1,1,3
Patryk Lipski,Lechia Gdańsk,6,2,8,0,1,2,2,4
Rafał Boguski,Wisła Kraków,2,6,8,0,0,0,1,1
Martin Konczkowski,Piast Gliwice,0,8,8,0,1,0,0,0
Michał Kucharczyk,Legia Warszawa,4,4,8,0,0,0,3,1
Henrik Ojamaa,Miedź Legnica,3,5,8,0,0,1,2,1
Gerard Badia,Piast Gliwice,2,6,8,1,2,2,1,1
Martin Kostal,Wisła K/Jagiellonia,2,6,8,0,0,0,1,1
Rafał Pietrzak,Wisła Kraków,3,5,8,0,0,1,1,2
Luka Zarandia,Arka Gdynia,5,3,8,0,0,0,2,3
Sebastian Szymański,Legia Warszawa,2,6,8,0,0,0,1,1
Krzysztof Drzazga,Wisła Kraków,5,3,8,0,0,2,3,2
Damian Szymański,Wisła Płock,2,5,7,0,0,2,1,1
Tomasz Jodłowiec,Piast Gliwice,4,3,7,0,1,1,1,3
Damian Zbozień,Arka Gdynia,5,2,7,0,0,1,2,3
Mateusz Wdowiak,Cracovia,3,4,7,0,1,2,1,2
Marcin Cebula,Korona Kielce,3,4,7,0,1,1,2,1
Filip Piszczek,Cracovia,6,1,7,4,0,1,1,5
Jakub Błaszczykowski,Wisła Kraków,5,2,7,0,0,1,3,2
Adam Hlousek,Legia Warszawa,3,3,6,1,0,0,1,2
Aleksandar Sedlar,Piast Gliwice,6,0,6,0,0,2,3,3
Maciej Makuszewski,Lech Poznań,0,6,6,0,0,0,0,0
Martin Pospisil,Jagiellonia,1,5,6,0,1,0,0,1
Roman Bezjak,Jagiellonia,3,3,6,0,0,2,1,2
Nico Varela,Wisła Płock,1,5,6,1,0,0,0,1
Vullnet Basha,Wisła Kraków,3,3,6,0,0,0,0,3
Cafu,Legia Warszawa,4,2,6,0,0,3,3,1
Mateusz Cholewiak,Śląsk Wrocław,4,2,6,1,0,2,2,2
Adnan Kovacević,Korona Kielce,2,4,6,0,2,0,2,0
Sebastian Kowalczyk,Pogoń Szczecin,2,4,6,0,1,0,1,1
Jarosław Kubicki,Lechia Gdańsk,4,2,6,0,0,0,3,1
Marko Poletanović,Jagiellonia,2,4,6,0,0,0,1,1
Iker Guarrotxena,Pogoń Szczecin,5,1,6,0,0,1,0,5
Oskar Zawada,Wisła Płock,6,0,6,3,0,1,2,4
Vukan Savicević,Wisła Kraków,2,4,6,0,0,0,0,2
Sławomir Peszko,Wisła Kraków,3,3,6,0,0,2,3,0
Marko Vejinović,Arka Gdynia,5,1,6,0,0,1,2,3
Arkadiusz Piech,Śląsk Wrocław,2,3,5,0,0,1,1,1
Damian Gąska,Śląsk Wrocław,0,5,5,0,2,0,0,0
Fabian Piasecki,Miedź Legnica,1,4,5,0,2,0,1,0
Kamil Jóźwiak,Lech Poznań,3,2,5,0,1,2,1,2
Pedro Tiba,Lech Poznań,4,1,5,0,0,2,0,4
Paweł Tomczyk,Lech/Piast,4,1,5,2,0,0,2,2
Milan Dimun,Cracovia,1,4,5,0,2,0,0,1
Paweł Zieliński,Miedź Legnica,3,2,5,0,0,1,1,2
Juan Camara,Miedź Legnica,3,2,5,0,1,0,1,2
Adam Deja,Arka Gdynia,2,3,5,0,0,1,1,1
Sandro Kulenović,Legia Warszawa,4,1,5,2,1,1,1,3
Mateusz Możdżeń,Korona/Zagłębie S,4,1,5,0,0,1,1,3
Mateusz Matras,Górnik Zabrze,3,2,5,0,0,2,2,1
Wato Arweladze,Korona Kielce,4,1,5,1,0,2,3,1
Walerian Gwilia,Górnik Zabrze,1,4,5,0,0,1,1,0
Boris Sekulić,Górnik Zabrze,2,3,5,0,0,1,1,1
Kasper Hamalainen,Legia Warszawa,2,3,5,0,0,1,1,1
Joan Roman,Miedź Legnica,5,0,5,1,0,1,3,2
Augusto,Śląsk Wrocław,2,2,4,0,1,1,0,2
Dani Suarez,Górnik Zabrze,3,1,4,0,0,2,2,1
Dawid Kort,Wisła Kraków,3,1,4,0,0,1,1,2
Ivan Jukić,Korona Kielce,3,1,4,0,0,1,1,2
Piotr Celeban,Śląsk Wrocław,3,1,4,0,0,1,1,2
Szymon Żurkowski,Górnik Zabrze,3,1,4,0,0,0,1,2
Jakub Arak,Lechia Gdańsk,1,3,4,0,2,1,1,0
Goran Cvijanović,Arka Gdynia,0,4,4,0,3,0,0,0
Aleksandyr Kolew,Arka Gdynia,1,3,4,0,0,1,0,1
Artur Pikk,Miedź Legnica,1,3,4,0,0,1,1,0
Rafał Augustyniak,Miedź Legnica,2,2,4,0,0,1,1,1
Alan Uryga,Wisła Płock,3,1,4,0,0,1,1,2
Jakub Bartkowski,Wisła K/Pogoń,1,3,4,0,0,0,1,0
Michal Siplak,Cracovia,1,3,4,0,1,1,1,0
Mikkel Kirkeskov,Piast Gliwice,2,2,4,0,0,1,1,1
Ivan Runje,Jagiellonia,3,1,4,0,0,1,2,1
Mateusz Radecki,Śląsk Wrocław,4,0,4,2,0,1,1,3
Łukasz Burliga,Jagiellonia/Wisła K,3,1,4,0,0,0,0,3
Kamil Zapolnik,Górnik Zabrze,2,2,4,0,1,2,1,1
Sergiu Hanca,Cracovia,2,2,4,0,0,1,0,2
Iuri Medeiros,Legia Warszawa,3,1,4,1,0,0,0,3
Olaf Nowak,Zagłębie Sosnowiec,4,0,4,1,0,2,2,2
Daniel Smuga,Górnik Zabrze,1,2,3,0,0,1,0,1
Igor Łasicki,Wisła Płock,1,2,3,0,1,0,1,0
Jose Kante,Legia Warszawa,2,1,3,2,1,0,0,2
Krzysztof Mączyński,Legia/Śląsk,1,2,3,0,0,0,0,1
Maciej Gajos,Lech Poznań,2,1,3,1,0,0,0,2
Marcin Budziński,Cracovia,0,3,3,0,1,0,0,0
Marquitos,Miedź Legnica,2,1,3,1,0,1,1,1
Mateusz Szwoch,Wisła Płock,1,2,3,0,0,0,1,0
Artur Jędrzejczyk,Legia Warszawa,3,0,3,0,0,3,2,1
Taras Romanczuk,Jagiellonia,1,2,3,0,0,0,0,1
Patryk Klimala,Jagiellonia,1,2,3,0,1,0,1,0
Patryk Dziczek,Piast Gliwice,3,0,3,0,0,2,2,1
Zlatko Janjić,Korona Kielce,1,2,3,0,0,0,0,1
Michał Mak,Lechia Gdańsk,2,1,3,1,1,0,0,2
Michał Nalepa I,Arka Gdynia,2,1,3,0,0,0,0,2
Cillian Sheridan,Jagiellonia,3,0,3,0,0,0,0,3
Jakub Czerwiński,Piast Gliwice,3,0,3,0,0,2,2,1
Przemysław Frankowski,Jagiellonia,3,0,3,0,0,2,1,2
Mateusz Szczepaniak,Miedź Legnica,3,0,3,1,0,1,1,2
Sasa Balić,Zagłębie Lubin,1,2,3,0,0,1,1,0
Błażej Augustyn,Lechia Gdańsk,2,1,3,0,0,2,2,0
Spas Delew,Pogoń Szczecin,2,1,3,1,1,1,0,2
Andre Martins,Legia Warszawa,2,1,3,0,0,0,0,2
Łukasz Broź,Śląsk Wrocław,0,3,3,0,0,0,0,0
Paweł Brożek,Wisła Kraków,2,1,3,1,0,0,0,2
Nabil Aankour,Arka Gdynia,2,1,3,1,1,1,1,1
Michał Nalepa II,Lechia Gdańsk,3,0,3,0,0,1,2,1
Matej Palcić,Wisła Kraków,2,1,3,0,0,0,1,1
Janusz Gol,Cracovia,0,3,3,0,0,0,0,0
Tymoteusz Klupś,Lech Poznań,1,2,3,0,0,0,0,1
Filip Marchwiński,Lech Poznań,2,1,3,2,1,1,0,2
Daniel Łukasik,Lechia Gdańsk,1,2,3,0,0,1,1,0
Felicio Brown Forbes,Korona Kielce,3,0,3,0,0,1,1,2
Nikola Vujadinović,Lech Poznań,3,0,3,0,0,2,3,0
Omar Santana,Miedź Legnica,1,2,3,0,0,0,0,1
Grzegorz Kuświk,Wisła Płock,3,0,3,1,0,1,2,1
Giorgi Gabedawa,Zagłębie Sosnowiec,3,0,3,0,0,1,2,1
Alen Stevanović,Wisła Płock,1,2,3,0,1,0,1,0
Farshad Ahmadzadeh,Śląsk Wrocław,1,1,2,0,0,0,1,0
Jakub Mares,Zagłębie Lubin,2,0,2,2,0,0,0,2
Łukasz Kosakiewicz,Korona Kielce,0,2,2,0,0,0,0,0
Marcin Urynowicz,Górnik Zabrze,1,1,2,1,0,0,0,1
Mateusz Mak,Piast Gliwice,1,1,2,0,0,0,1,0
Tomasz Nowak,Zagłębie Sosnowiec,0,2,2,0,0,0,0,0
Cornel Rapa,Cracovia,1,1,2,0,0,0,0,1
Paweł Stolarski,Lechia/Legia,1,1,2,0,0,0,0,1
Domagoj Antolić,Legia Warszawa,0,2,2,0,0,0,0,0
Maciej Górski,Korona Kielce,2,0,2,1,0,1,0,2
Bartosz Rymaniak,Korona Kielce,0,2,2,0,0,0,0,0
Karol Fila,Lechia Gdańsk,1,1,2,0,0,1,1,0
Rafał Siemaszko,Arka Gdynia,2,0,2,1,0,0,0,2
Aleksander Jagiełło,Piast Gliwice,0,2,2,0,1,0,0,0
Steven Vitoria,Lechia Gdańsk,1,1,2,0,1,0,0,1
Bartłomiej Sielewski,Wisła Płock,1,1,2,0,0,0,0,1
Lasza Dwali,Pogoń Szczecin,1,1,2,0,0,0,1,0
Elhadji Pape Diaw,Korona Kielce,2,0,2,0,0,1,1,1
Jakub Żubrowski,Korona Kielce,0,2,2,0,0,0,0,0
Adam Wolniewicz,Górnik Zabrze,0,2,2,0,1,0,0,0
Ricardo Nunes,Pogoń Szczecin,0,2,2,0,0,0,0,0
Karol Angielski,Wisła Płock,2,0,2,1,0,1,0,2
Piotr Polczak,Zagłębie Sosnowiec,2,0,2,0,0,1,1,1
Mateusz Wieteska,Legia Warszawa,0,2,2,0,0,0,0,0
Dorde Cotra,Śląsk Wrocław,1,1,2,0,0,0,1,0
Wołodymyr Kostewycz,Lech Poznań,1,1,2,0,0,0,0,1
Sebastian Walukiewicz,Pogoń Szczecin,1,1,2,0,0,1,0,1
Mateusz Młyński,Arka Gdynia,1,1,2,0,0,1,1,0
Patrik Mraz,Zagłębie Sosnowiec,1,1,2,0,0,0,0,1
Mateusz Machaj,Jagiellonia,0,2,2,0,1,0,0,0
Jakub Łukowski,Wisła Płock,2,0,2,0,0,0,1,1
Niko Datković,Cracovia,1,1,2,0,0,0,0,1
Tomas Podstawski,Pogoń Szczecin,1,1,2,0,0,1,1,0
Alexandre Cristovao,Zagłębie Sosnowiec,2,0,2,0,0,0,0,2
Thomas Rogne,Lech Poznań,1,1,2,0,0,0,1,0
William Remy,Legia Warszawa,2,0,2,0,0,1,1,1
Łukasz Wolsztyński,Górnik Zabrze,1,1,2,1,0,0,0,1
Adrian Purzycki,Miedź Legnica,0,2,2,0,0,0,0,0
Bartosz Kopacz,Zagłębie Lubin,1,1,2,0,0,1,1,0
Robert Gumny,Lech Poznań,1,1,2,0,0,1,1,0
Mariusz Malec,Pogoń Szczecin,1,1,2,0,0,0,0,1
Giorgos Mygas,Zagłębie Sosnowiec,2,0,2,0,0,0,0,2
Ariel Borysiuk,Wisła Płock,2,0,2,0,0,0,1,1
