DR/KOL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,RAZEM,DR/KOL,RAZEM,324,421,237,366,291,496,239,382,467,350,436,418,413,357,390,388,523,295,367,328,452,355,453,430,459,399,349,277,370,423,352,430,435,361,295,339,351,14018,RAZEM
ARK,X,0,X,0,22,0,17,0,14,42,9,48,0,22,80,68,7,0,0,6,0,44,0,0,0,X,0,X,27,33,0,57,51,0,5,67,0,619,ARK
CRA,0,0,X,0,0,0,X,0,82,0,0,28,76,X,0,0,35,67,8,8,40,52,42,0,51,0,71,31,0,40,0,0,0,16,84,16,0,747,CRA
GÓR,16,0,14,43,0,0,0,0,51,0,70,0,52,0,20,0,48,0,26,0,80,6,69,0,0,49,0,4,48,5,37,11,62,0,21,0,21,753,GÓR
JAG,0,54,30,65,37,7,0,46,28,0,36,26,88,52,6,0,27,0,0,0,75,1,0,34,0,0,X,0,71,45,13,69,0,87,0,62,0,959,JAG
KOR,0,25,37,9,15,74,0,0,33,36,0,0,0,17,52,82,0,58,0,X,62,X,0,0,19,53,X,0,0,0,76,0,0,X,0,59,0,707,KOR
LPO,62,70,8,83,42,0,37,0,0,79,0,65,0,0,17,45,0,15,68,15,9,0,82,51,0,0,X,66,0,0,49,9,0,38,0,13,0,923,LPO
LGD,80,71,X,51,67,33,65,19,82,0,60,0,12,64,11,33,75,X,X,76,62,X,49,0,0,82,84,X,80,18,0,8,44,0,0,0,46,1272,LGD
LEG,0,24,X,38,28,0,X,59,52,0,56,56,0,77,0,81,83,X,70,2,25,0,0,68,31,37,0,53,3,40,1,0,10,0,0,0,16,910,LEG
MIE,1,0,46,0,0,3,67,24,0,0,13,9,0,X,0,0,88,54,X,X,0,0,37,0,86,0,0,X,54,0,33,0,86,X,0,0,25,626,MIE
PIA,10,83,17,0,0,75,0,28,0,18,4,56,29,67,0,X,80,4,0,7,15,59,62,86,54,50,0,64,15,73,61,75,35,77,45,X,63,1312,PIA
POG,0,0,0,35,X,8,21,62,76,74,73,0,68,33,79,26,0,27,9,18,0,63,64,68,0,52,X,0,14,35,14,20,43,0,51,X,59,1092,POG
ŚLĄ,49,0,0,10,X,48,0,0,49,41,0,0,75,0,3,37,0,0,37,22,83,0,48,0,82,0,30,X,0,0,0,49,20,58,25,39,78,883,ŚLĄ
WIS,X,47,0,32,35,72,1,26,0,0,71,28,13,0,63,0,0,51,65,0,0,50,0,0,39,76,85,0,21,0,32,45,0,42,31,0,11,936,WIS
WPŁ,0,29,0,0,0,79,31,0,0,15,0,53,0,25,59,16,0,0,0,33,0,0,0,49,25,0,0,0,24,54,20,54,0,43,0,83,X,692,WPŁ
ZAG,75,18,0,0,45,72,0,50,0,0,44,0,0,0,0,0,80,19,84,66,1,75,0,21,72,X,6,0,13,76,16,0,84,0,33,0,32,982,ZAG
ZSO,31,0,85,0,0,25,0,68,0,45,0,49,0,0,0,X,0,0,0,75,0,5,0,53,0,0,73,59,0,4,0,33,0,0,0,0,X,605,ZSO
