ZAWODNIK,KLUB,GOLE,ASYSTY,KANADYJSKA,GOLE DRUŻYNY,% GOL,UDZIAŁ%
Igor Angulo,Górnik Zabrze,24,3,27,48,"50,0%","56,3%"
Jesus Imaz,Wisła K/Jagiellonia,16,3,19,21,"47,6%","47,6%"
Marcin Robak,Śląsk Wrocław,18,2,20,49,"36,7%","40,8%"
Carlitos,Legia Warszawa,16,6,22,55,"29,1%","40,0%"
Marko Vejinović,Arka Gdynia,5,1,6,15,"33,3%","40,0%"
Zdenek Ondrasek,Wisła Kraków,11,2,13,33,"33,3%","39,4%"
Żarko Udovicić,Zagłębie Sosnowiec,10,9,19,49,"20,4%","38,8%"
Airam Cabrera,Cracovia,14,2,16,42,"33,3%","38,1%"
Konrad Wrzesiński,Zagłębie Sosnowiec,3,6,9,24,"12,5%","37,5%"
Elia Soriano,Korona Kielce,14,1,15,42,"33,3%","35,7%"
Petteri Forsell,Miedź Legnica,13,1,14,40,"32,5%","35,0%"
Christian Gytkjaer,Lech Poznań,12,5,17,49,"24,5%","34,7%"
Filip Starzyński,Zagłębie Lubin,13,6,19,57,"22,8%","33,3%"
Michał Janota,Arka Gdynia,10,5,15,49,"20,4%","30,6%"
Maciej Jankowski,Arka Gdynia,10,5,15,49,"20,4%","30,6%"
Damjan Bohar,Zagłębie Lubin,10,7,17,57,"17,5%","29,8%"
Zvonimir Kozulj,Pogoń Szczecin,9,8,17,57,"15,8%","29,8%"
Flavio Paixao,Lechia Gdańsk,15,1,16,54,"27,8%","29,6%"
Jesus Jimenez,Górnik Zabrze,5,9,14,48,"10,4%","29,2%"
Vamara Sanogo,Zagłębie Sosnowiec,11,3,14,49,"22,4%","28,6%"
Javi Hernandez,Cracovia,10,2,12,45,"22,2%","26,7%"
Robert Pich,Śląsk Wrocław,6,7,13,49,"12,2%","26,5%"
Karol Świderski,Jagiellonia,8,1,9,34,"23,5%","26,5%"
Joan Roman,Miedź Legnica,5,0,5,19,"26,3%","26,3%"
Dominik Furman,Wisła Płock,6,7,13,50,"12,0%","26,0%"
Piotr Parzyszek,Piast Gliwice,9,4,13,51,"17,6%","25,5%"
Arvydas Novikovas,Jagiellonia,9,5,14,55,"16,4%","25,5%"
Ricardinho,Wisła Płock,10,2,12,50,"20,0%","24,0%"
Matej Pućko,Korona Kielce,5,5,10,42,"11,9%","23,8%"
Krzysztof Drzazga,Wisła Kraków,5,3,8,34,"14,7%","23,5%"
Damian Szymański,Wisła Płock,2,5,7,30,"6,7%","23,3%"
Bartłomiej Pawłowski,Zagłębie Lubin,8,5,13,57,"14,0%","22,8%"
Kamil Drygas,Pogoń Szczecin,10,3,13,57,"17,5%","22,8%"
Adam Buksa,Pogoń Szczecin,11,2,13,57,"19,3%","22,8%"
Boris Sekulić,Górnik Zabrze,2,3,5,22,"9,1%","22,7%"
Filip Mladenović,Lechia Gdańsk,3,9,12,54,"5,6%","22,2%"
Dominik Nagy,Legia Warszawa,5,7,12,55,"9,1%","21,8%"
Patryk Tuszyński,Zagłębie Lubin,10,2,12,57,"17,5%","21,1%"
Radosław Majewski,Pogoń Szczecin,8,4,12,57,"14,0%","21,1%"
Jakub Błaszczykowski,Wisła Kraków,5,2,7,34,"14,7%","20,6%"
Szymon Pawłowski,Zagłębie Sosnowiec,5,4,9,44,"11,4%","20,5%"
Joao Amaral,Lech Poznań,8,2,10,49,"16,3%","20,4%"
Henrik Ojamaa,Miedź Legnica,3,5,8,40,"7,5%","20,0%"
Mateusz Matras,Górnik Zabrze,3,2,5,25,"12,0%","20,0%"
Walerian Gwilia,Górnik Zabrze,1,4,5,25,"4,0%","20,0%"
Marko Kolar,Wisła Kraków,11,2,13,67,"16,4%","19,4%"
Iuri Medeiros,Legia Warszawa,3,1,4,21,"14,3%","19,0%"
Michał Chrapek,Śląsk Wrocław,3,6,9,49,"6,1%","18,4%"
Roman Bezjak,Jagiellonia,3,3,6,34,"8,8%","17,6%"
Vukan Savicević,Wisła Kraków,2,4,6,34,"5,9%","17,6%"
Sławomir Peszko,Wisła Kraków,3,3,6,34,"8,8%","17,6%"
Joel Valencia,Piast Gliwice,6,4,10,57,"10,5%","17,5%"
Artur Sobiech,Lechia Gdańsk,7,2,9,52,"13,5%","17,3%"
Lukas Haraslin,Lechia Gdańsk,4,5,9,54,"7,4%","16,7%"
Marcin Cebula,Korona Kielce,3,4,7,42,"7,1%","16,7%"
Guilherme Sitya,Jagiellonia,2,7,9,55,"3,6%","16,4%"
Darko Jevtić,Lech Poznań,3,5,8,49,"6,1%","16,3%"
Luka Zarandia,Arka Gdynia,5,3,8,49,"10,2%","16,3%"
Giorgi Merebaszwili,Wisła Płock,6,2,8,50,"12,0%","16,0%"
Mateusz Możdżeń,Korona/Zagłębie S,4,1,5,25,"12,0%","16,0%"
Sergiu Hanca,Cracovia,2,2,4,25,"8,0%","16,0%"
Olaf Nowak,Zagłębie Sosnowiec,4,0,4,25,"16,0%","16,0%"
Jorge Felix,Piast Gliwice,6,3,9,57,"10,5%","15,8%"
Filip Jagiełło,Zagłębie Lubin,3,6,9,57,"5,3%","15,8%"
Mateusz Wdowiak,Cracovia,3,4,7,45,"6,7%","15,6%"
Filip Piszczek,Cracovia,6,1,7,45,"13,3%","15,6%"
Patryk Lipski,Lechia Gdańsk,6,2,8,54,"11,1%","14,8%"
Michał Kucharczyk,Legia Warszawa,4,4,8,55,"7,3%","14,5%"
Sebastian Szymański,Legia Warszawa,2,6,8,55,"3,6%","14,5%"
Damian Zbozień,Arka Gdynia,5,2,7,49,"10,2%","14,3%"
Adnan Kovacević,Korona Kielce,2,4,6,42,"4,8%","14,3%"
Marko Poletanović,Jagiellonia,2,4,6,42,"4,8%","14,3%"
Michal Papadopulos,Piast Gliwice,5,3,8,57,"8,8%","14,0%"
Tom Hateley,Piast Gliwice,4,4,8,57,"7,0%","14,0%"
Martin Konczkowski,Piast Gliwice,0,8,8,57,"0,0%","14,0%"
Gerard Badia,Piast Gliwice,2,6,8,57,"3,5%","14,0%"
Juan Camara,Miedź Legnica,3,2,5,37,"8,1%","13,5%"
Fabian Piasecki,Miedź Legnica,1,4,5,40,"2,5%","12,5%"
Paweł Zieliński,Miedź Legnica,3,2,5,40,"7,5%","12,5%"
Tomasz Jodłowiec,Piast Gliwice,4,3,7,57,"7,0%","12,3%"
Maciej Makuszewski,Lech Poznań,0,6,6,49,"0,0%","12,2%"
Mateusz Cholewiak,Śląsk Wrocław,4,2,6,49,"8,2%","12,2%"
Dawid Kort,Wisła Kraków,3,1,4,33,"9,1%","12,1%"
Nico Varela,Wisła Płock,1,5,6,50,"2,0%","12,0%"
Oskar Zawada,Wisła Płock,6,0,6,50,"12,0%","12,0%"
Rafał Boguski,Wisła Kraków,2,6,8,67,"3,0%","11,9%"
Rafał Pietrzak,Wisła Kraków,3,5,8,67,"4,5%","11,9%"
Adam Deja,Arka Gdynia,2,3,5,42,"4,8%","11,9%"
Wato Arweladze,Korona Kielce,4,1,5,42,"9,5%","11,9%"
Jarosław Kubicki,Lechia Gdańsk,4,2,6,54,"7,4%","11,1%"
Milan Dimun,Cracovia,1,4,5,45,"2,2%","11,1%"
Adam Hlousek,Legia Warszawa,3,3,6,55,"5,5%","10,9%"
Martin Pospisil,Jagiellonia,1,5,6,55,"1,8%","10,9%"
Cafu,Legia Warszawa,4,2,6,55,"7,3%","10,9%"
Aleksandar Sedlar,Piast Gliwice,6,0,6,57,"10,5%","10,5%"
Sebastian Kowalczyk,Pogoń Szczecin,2,4,6,57,"3,5%","10,5%"
Iker Guarrotxena,Pogoń Szczecin,5,1,6,57,"8,8%","10,5%"
Arkadiusz Piech,Śląsk Wrocław,2,3,5,49,"4,1%","10,2%"
Damian Gąska,Śląsk Wrocław,0,5,5,49,"0,0%","10,2%"
Kamil Jóźwiak,Lech Poznań,3,2,5,49,"6,1%","10,2%"
