SĘDZIA,M,RZK,ŚR.RZK,ARK,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,ŚLĄ,WIS,WPŁ,ZAG,ZSO
Artur Aluszyk,2,4,"2,00",0/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,2/1,0/0,0/0,0/0,1/2,0/1
Zbigniew Dobrynin,8,5,"0,63",0/0,0/0,0/0,1/1,0/0,0/0,1/0,0/0,1/0,0/0,0/1,0/0,0/0,0/0,1/0,1/3
Bartosz Frankowski,25,10,"0,40",2/0,2/2,0/0,2/0,0/1,0/1,1/1,1/1,0/1,0/0,0/0,0/0,1/0,1/1,0/0,0/2
Paweł Gil,19,7,"0,37",0/0,0/0,0/1,1/0,0/0,0/0,1/2,0/0,0/0,1/0,0/2,0/1,3/1,0/0,1/0,0/0
Krzysztof Jakubik,21,10,"0,48",0/1,2/0,0/1,0/0,1/2,0/0,1/2,0/0,1/1,1/0,0/0,0/2,0/1,2/0,1/0,1/0
Tomasz Kwiatkowski,29,16,"0,55",1/0,1/1,0/0,1/1,1/1,1/2,0/1,0/0,3/2,0/1,1/0,1/0,3/2,0/1,2/1,1/3
Piotr Lasyk,20,7,"0,35",2/2,2/0,0/0,0/0,0/0,0/1,0/0,0/1,0/2,0/0,0/0,0/0,1/0,0/1,2/0,0/0
Szymon Marciniak,25,12,"0,48",1/0,0/1,2/2,2/0,0/2,0/0,2/1,0/1,0/0,1/1,2/0,1/3,1/1,0/0,0/0,0/0
Tomasz Musiał,17,6,"0,35",1/0,0/0,0/0,0/1,0/0,1/0,1/0,1/1,0/2,1/0,0/1,0/0,0/0,0/0,0/0,1/1
Wojciech Myć,16,9,"0,56",1/0,0/2,1/1,0/0,1/0,0/0,1/0,1/0,1/1,0/1,1/1,1/0,0/1,0/2,1/0,0/0
Jarosław Przybył,29,12,"0,41",0/0,1/0,0/1,3/0,0/1,1/0,0/2,0/2,0/0,1/3,0/0,0/0,2/1,1/1,2/0,1/1
Paweł Raczkowski,27,13,"0,48",1/2,1/2,1/0,1/0,1/0,1/0,1/0,0/0,0/1,2/1,1/1,1/1,0/2,0/2,0/0,2/1
Daniel Stefański,24,6,"0,25",0/0,0/0,0/0,2/0,0/1,0/2,1/1,1/0,0/0,0/0,0/0,0/1,1/0,0/0,1/0,0/1
Dominik Sulikowski,5,3,"0,60",0/0,0/1,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,1/0,0/0,0/0,1/0,0/1,0/1
Łukasz Szczech,12,3,"0,25",1/1,0/0,0/0,0/0,1/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/1,0/0,1/1
Mariusz Złotek,17,6,"0,35",0/0,2/0,0/1,0/0,1/0,0/1,0/1,1/0,0/0,0/0,2/0,0/1,0/0,0/1,0/0,0/1
