,ARK,CRA,GÓR,JAG,KOR,LPO,LGD,LEG,MIE,PIA,POG,ŚLĄ,WIS,WPŁ,ZAG,ZSO,D,W,97:55,77:62,91:64,84:75,50:75,77:74,72:67,72:76,78:77,67:78,67:80,67:83,106:75,69:63,94:79,88:66,
ARK,X,9:5,7:2,9:2,7:3,6:12,6:8,4:2,7:4,2:3,5:5,9:5,14:9,13:1,4:11,2:5,104:77
CRA,8:5,X,4:4,2:6,2:8,5:5,6:4,5:3,6:2,4:4,4:4,2:9,9:6,1:3,9:5,5:2,72:70
GÓR,7:4,7:3,X,6:6,3:5,6:5,2:5,6:2,3:5,3:4,2:8,6:6,3:7,3:9,3:3,2:3,62:75
JAG,7:3,4:4,3:3,X,2:8,9:5,3:2,4:4,4:5,8:5,4:3,3:4,8:6,2:2,7:8,5:6,73:68
KOR,5:5,7:6,5:2,9:6,X,5:1,7:7,5:6,9:8,7:4,5:9,2:5,9:3,5:7,11:4,5:2,96:75
LPO,4:0,4:3,7:7,4:8,3:3,X,5:3,1:5,4:4,4:2,3:6,2:0,5:2,3:3,5:15,4:3,58:64
LGD,10:4,4:6,3:12,2:4,1:6,4:5,X,7:5,2:6,2:5,2:4,4:9,3:2,7:2,3:6,11:4,65:80
LEG,5:4,8:3,8:3,6:8,3:3,3:5,7:7,X,3:1,6:5,9:5,5:6,6:4,5:4,4:5,2:4,80:67
MIE,2:3,5:7,5:4,7:5,6:8,6:4,3:3,6:7,X,4:8,3:4,7:5,2:7,4:3,4:4,7:3,71:75
PIA,5:5,6:4,9:4,9:5,4:3,3:5,1:1,9:6,3:2,X,0:9,4:3,11:2,9:5,10:2,11:8,94:64
POG,4:6,6:6,5:4,5:5,1:10,8:6,12:3,5:4,8:5,9:4,X,3:6,8:1,5:3,8:3,4:5,91:71
ŚLĄ,4:2,5:1,11:3,6:4,2:7,5:3,7:4,2:4,6:5,3:3,7:3,X,6:6,2:6,5:6,12:5,83:62
WIS,7:1,1:9,9:11,3:6,4:1,4:4,3:6,8:7,6:7,4:11,9:2,2:10,X,4:3,5:1,5:6,74:85
WPŁ,8:3,4:2,5:2,6:3,2:5,5:2,3:5,4:6,8:7,3:9,9:3,2:3,10:3,X,8:2,8:6,85:61
ZAG,11:3,3:1,4:2,8:2,1:3,5:6,1:5,3:5,6:10,4:6,3:3,5:9,9:9,3:7,X,5:4,71:75
ZSO,10:7,4:2,6:1,2:5,9:2,3:6,6:4,3:10,3:6,4:5,2:12,11:3,3:8,3:5,8:4,X,77:80
