KLUB,DLA,PRZECIW,% WYK.,% WYK.przeciw
Arka Gdynia,71,75,"40,85%","32,00%"
Cracovia,79,58,"27,85%","25,86%"
Górnik Zabrze,81,61,"32,10%","31,15%"
Jagiellonia Białystok,76,87,"34,21%","34,48%"
Korona Kielce,81,65,"27,16%","50,77%"
Lech Poznań,71,91,"29,58%","32,97%"
Lechia Gdańsk,85,52,"28,24%","32,69%"
Legia Warszawa,88,52,"31,82%","38,46%"
Miedź Legnica,45,88,"26,67%","31,82%"
Piast Gliwice,76,60,"42,11%","30,00%"
Pogoń Szczecin,55,64,"36,36%","37,50%"
Śląsk Wrocław,83,68,"34,94%","36,76%"
Wisła Kraków,83,85,"45,78%","32,94%"
Wisła Płock,66,93,"33,33%","27,96%"
Zagłębie Lubin,90,85,"35,56%","35,29%"
Zagłębie Sosnowiec,75,121,"40,00%","38,02%"
